DateTime,AddedIPs,RemovedIPs
1442182267,0,346758059
1442269230,346758059,0
1453534814,0,2097152
1495482316,0,233907652
1495568795,233907652,0
1500066089,0,456
1500152550,456,448
1500238995,448,1944
1500325466,1944,71648
1500411930,71648,66281
1500498376,66281,913
1500585017,913,920
1500671589,920,1113
1500758090,1113,84233
1500844514,84233,65737
1500931014,65737,912
1501017434,912,5345
1501103910,5345,547
1501190489,547,672
1501276961,672,857
1501363410,857,432
1501449860,432,634
1501536381,634,5920
1501622844,5920,117576
1501709332,117576,9130
1501795814,9130,135718
1501882316,135718,976
1501968744,976,68760
1502055195,68760,1632
1502141659,1632,1841
1502228218,1841,632
1502314636,632,6825
1502401222,6825,602
1502487678,602,1544
1502574147,1544,552
1502660619,552,672
1502747074,672,1737
1502833570,1737,1216
1502920039,1216,72257
1503006498,72257,197360
1503092978,197360,66184
1503179432,66184,1393
1503265886,1393,26208
1503352376,26208,208
1503438842,208,2489
1503525316,2489,4560
1503611774,4560,1867
1503698246,1867,2456
1503871156,2456,411
1503957660,411,17201
1504044101,17201,19112
1504130551,19112,12136
1504217011,12136,131417
1504303484,131417,1418
1504389923,1418,11712
1504476380,11712,8631
1504562846,8631,12654
1504649305,12654,68227
1504735757,68227,148089
1504822216,148089,1136
1504908678,1136,66306
1504995134,66306,69416
1505081608,69416,1144
1505168074,1144,65968
1505254516,65968,131738
1505340988,131738,334
1505427434,0,0
1505523303,334,33264
1505609833,33264,67321
1505696309,67321,640
1505782782,640,66448
1505869241,66448,4776
1505955675,4776,4392
1506042139,4392,224
1506128599,224,1448
1506215063,1448,216
1506301527,216,1907
1506387995,1907,98
1506474435,98,136048
1507339045,136048,66281
1507425499,66281,68985
1507511976,68985,688
1507598414,688,224
1507684985,224,1825
1507771473,1825,66937
1507857932,66937,18819
1507944438,18819,1264
1508030932,1264,65888
1508117416,65888,197440
1508203925,197440,1138
1508290416,1138,2272
1508376861,2272,65928
1508463359,65928,65896
1508549839,65896,2688
1508636353,2688,1704
1508722815,1704,576
