DateTime,AddedIPs,RemovedIPs
1438612203,136,288
1500055144,0,8452
1500141606,8455,1873
1500228062,1873,36
1500314524,33,10751
1500400983,10751,3520
1500487448,3520,495
1500573903,495,4141
1500660363,4141,9
1500746825,8,93
1500833281,95,771
1500919743,770,25510
1501006203,25513,1856
1501092664,1856,281
1501179124,278,55
1501265598,55,18
1501352045,18,110
1501438503,110,543
1501524970,543,415
1501611422,415,10
1501697886,10,9
1501784351,9,13
1501870803,13,3524
1501957272,3524,518
1502043729,518,16
1502130184,16,27
1502216643,28,33
1502303103,33,73
1502389568,72,8203
1502476025,8202,7
1502562486,8,40
1502648943,40,277
1502735403,277,793
1502821863,793,21
1502908324,21,47
1502994783,47,12
1503081243,12,530
1503167703,530,33
1503254163,33,11
1503340623,11,15
1503427084,15,35
1503513545,35,394
1503600003,394,538
1503686472,538,264
1503859386,264,316
1503945844,316,303
1504032302,303,74
1504118762,74,8205
1504205222,8205,23
1504291696,23,781
1504378146,781,257
1504464603,257,2375
1504551066,2374,399
1504637523,400,2113
1504723984,2113,12333
1504810444,12333,408
1504896904,408,281
1504983368,281,523
1505069823,523,235
1505156283,235,2308
1505242744,2308,519
1505329203,519,248
1505415662,0,0
1505502125,248,559
1505588586,559,291
1505675043,291,1290
1505761503,1290,31
1505847963,31,8724
1505934426,8724,274
1506020886,274,285
1506107345,285,519
1506193802,519,23
1506280269,23,554
1506366736,554,779
1506453186,779,659
1507317783,659,2578
1507404247,2578,16680
1507490703,16680,16
1507577162,16,8213
1507663623,8213,539
1507750084,539,876
1507836546,876,147
1507923002,147,280
1508009521,280,264
1508095989,264,280
1508182442,280,32
1508268903,32,1160
1508355365,1160,38
1508441827,38,274
1508528284,274,525
1508614756,525,578
1508701204,578,9
