DateTime,AddedIPs,RemovedIPs
1461590222,0,12
1461676623,3,5
1461763022,2,16
1461849423,1,14
1461935824,1,4
1462022222,1,16
1462108623,1,11
1462195024,0,29
1462281423,1,21
1462367823,0,52
1462454223,1,3
1462627023,1,1
1462713423,0,1
1462799823,1,1
1462886223,4,0
1462972623,1,1
1463059023,2,2
1463145423,2,2
1463231823,0,1
1463318224,1,1
1463404623,0,1
1463491024,0,2
1463577423,1,0
1463663824,0,2
1463750223,0,1
1463836623,1,3
1463923023,0,1
1464009423,1,0
1464095823,0,1
1464182223,0,1
1464268624,1,0
1464355023,1,2
1464441423,1,3
1464527823,0,1
1464614224,0,1
1464700624,1,2
1464787023,0,1
1464873423,1,0
1464959824,0,2
1465046224,1,0
1465132624,1,2
1465219024,0,2
1465305424,1,2
1465391824,2,1
1465478224,1,1
1465564624,3,1
1465651024,2,1
1465737423,0,1
1465910224,1,1
1466083024,1,1
1466169423,1,0
1466255823,0,1
1466342223,1,0
1466428623,1,0
1466515024,1,0
1466601425,0,1
1466687823,1,3
1466774224,0,1
1466860623,1,2
1466947024,1,1
1467033424,1,0
1467119823,2,0
1467206223,0,2
1467292624,1,0
1467379024,1,2
1467465423,0,2
1467551824,1,1
1467638224,1,0
1467724623,1,1
1467811024,1,1
1467897423,2,1
1467983823,1,1
1468070224,0,1
1468156624,1,2
1468243024,1,1
1468329424,1,0
1468415824,1,0
1468502224,1,1
1468761424,0,1
1468847823,0,2
1468934224,0,1
1469107023,0,4
1469193424,0,1
1469279824,0,1
1469452623,0,2
1469625423,0,1
1469711824,0,1
1469798223,0,2
1469884623,0,1
1469971024,0,1
1470057423,0,1
1470143824,0,1
1470230224,0,2
1470316624,0,1
1470403024,0,2
1470489423,0,1
1470575824,0,1
1470662224,0,3
1470748623,0,3
1470835024,0,3
1470921423,0,1
1471007824,0,2
1471094223,0,1
1471180623,0,2
1471267023,0,18
1471439823,0,1
1472563024,4,3
1472649424,13,22
1472735824,6,0
1472822224,4,0
1472908624,6,0
1472995023,3,0
1473081424,5,0
1473167824,4,0
1473254224,14,0
1473340624,15,0
1473427024,13,1
1473513424,12,0
1473599824,23,0
1473686224,21,0
1473772624,10,0
1473859024,15,0
1473945424,8,0
1474031824,20,0
1474118224,24,0
1474204624,14,0
1474291024,12,0
1474463824,10,0
1474550225,15,4
1474636625,18,0
1474723024,15,2
1474809425,13,0
1474895824,11,0
1474982224,11,0
1475068624,12,5
1475155024,17,5
1475241425,12,4
1475327825,20,4
1475414225,17,4
1475500624,17,6
1475587025,16,2
1475673425,6,3
1475759824,11,3
1475846224,14,8
1475932624,6,16
1476019025,11,10
1476105424,10,9
1476191825,13,13
1476278224,13,21
1476364624,10,8
1476451025,8,6
1476537424,11,10
1476623825,13,12
1476710225,11,15
1476796624,8,12
1476883025,17,6
1476969425,11,8
1477055824,5,3
1477142225,20,10
1477228625,5,13
1477315024,4,8
1477401425,7,11
1477487825,8,21
1477574225,3,13
1477660625,5,11
1477747025,4,12
1477833425,11,15
1477919825,15,20
1478006225,11,20
1478092625,4,8
1478179025,5,15
1478265425,11,16
1478351825,10,15
1478441825,2,11
1478528224,1,13
1478614625,5,7
1478701025,5,14
1478787425,6,14
1478873825,4,14
1478960225,6,9
1479046625,6,11
1479133025,12,7
1479219425,8,13
1479305825,8,12
1479392225,9,10
1479478625,7,12
1479565025,8,16
1479651425,10,9
1479737825,1,20
1479824225,0,8
1479910625,3,4
1479997025,7,14
1480083425,10,12
1480169825,15,4
1480342621,23,12
1480429021,12,5
1480515422,13,19
1480601821,9,11
1480688222,11,9
1480774622,10,8
1480861021,7,6
1480947421,2,10
1481033821,4,5
1481120221,6,0
1481206621,9,5
1481293022,5,4
1481379422,4,7
1481465822,9,5
1481552222,4,3
1481638621,6,3
1481725021,5,7
1481811422,15,13
1481897822,25,7
1481984221,9,7
1482070621,8,14
1482157022,3,6
1482243421,6,11
1482329822,5,1
1482416222,2,0
1482502622,4,5
1482589021,7,14
1482675422,8,9
1482761822,4,13
1482848222,2,6
1482934622,2,8
1483021022,2,15
1483107422,2,16
1483193822,1,15
1483280222,3,13
1483366621,2,7
1483453022,2,8
1483539422,1,3
1483625821,2,2
1483712222,1,6
1483798622,0,6
1483885022,2,11
1483971422,1,6
1484057822,0,8
1484144222,1,4
1484230621,0,8
1484317022,1,4
1484403422,1,20
1484489821,1,16
1484576222,1,13
1484662623,0,8
1484749021,0,4
1484835422,2,6
1484921822,1,5
1485008222,1,6
1485094621,1,11
1485181021,1,10
1485267422,0,24
1485353822,0,2
1485440222,1,2
1485526622,0,2
1485613022,2,2
1485699421,1,2
1485785822,1,0
1485872222,1,2
1485958622,1,2
1486045021,1,1
1486131421,1,1
1486217822,1,1
1486304221,1,1
1486477022,1,0
1486563422,1,1
1486649822,0,1
1486736221,3,1
1486822622,2,0
1486909022,1,1
1486995421,1,0
1487081822,1,1
1487168221,2,1
1487254622,2,1
1487341022,1,0
1487427422,1,1
1487513821,1,1
1487600222,1,1
1487686622,1,0
1487773022,1,1
1487859422,2,1
1487945822,1,1
1488032221,1,1
1488118621,0,1
1488205022,1,2
1488291422,1,1
1488377822,0,1
1488464221,1,1
1488550622,1,1
1488723421,1,2
1488809822,1,1
1488896222,0,1
1488982621,1,0
1489069021,1,2
1489155422,1,1
1489241822,1,2
1489324621,1,1
1489411021,1,2
1489497422,1,2
1489583822,1,1
1489670222,1,2
1489756621,1,2
1489843022,1,1
1489929421,1,1
1490015822,1,1
1490102222,1,1
1490188622,1,1
1490275021,1,1
1490361422,1,1
1490447822,1,0
1490534222,1,2
1490620622,1,1
1490707021,1,0
1490793422,1,1
1490879821,0,1
1490966222,1,1
1491052622,2,1
1491139022,1,1
1491225421,2,1
1491311822,2,1
1491398222,0,1
1491484622,2,0
1491571022,1,1
1491657422,1,1
1491743822,2,1
1491830222,1,1
1491916622,1,1
1492003022,0,1
1492089422,1,0
1492175822,1,1
1492262221,2,1
1492348623,1,1
1492435022,1,1
1492521422,1,1
1492607822,1,1
1492694222,1,1
1492780622,1,1
1492867022,1,1
1492953422,1,1
1493039822,1,1
1493126223,0,1
1493212622,1,0
1493299022,1,1
1493385422,1,2
1493471822,1,1
1493558222,1,2
1493644622,1,2
1493731022,1,1
1493817422,1,1
1493903823,2,1
1493990222,2,0
1494076622,2,1
1494163022,0,2
1494249423,1,0
1494335823,3,1
1494422223,0,1
1494508622,0,1
1494595022,1,1
1494681422,0,1
1494767822,1,1
1494854223,1,1
1494940622,0,1
1495027023,1,1
1495113422,3,1
1495199822,0,1
1495286222,1,1
1495372622,1,1
1495459022,0,1
1495545422,2,1
1495631822,0,1
1495804622,1,1
1495891022,1,1
1495977422,0,1
1496063822,1,2
1496150223,1,1
1496236622,3,2
1496323022,7,2
1496409422,6,1
1496495823,0,1
1496582222,0,1
1496668622,3,1
1496755022,1,1
1496841422,2,1
1497014222,0,1
1497100623,0,1
1497187022,2,0
1497446222,0,1
1497532622,0,1
1497619022,0,1
1497705423,8,1
1497791823,11,0
1497878222,2,1
1497964623,2,1
1498051022,1,1
1498137422,6,1
1498223823,17,0
1498310223,15,1
1498396622,13,1
1498483022,27,2
1498569423,17,2
1498655822,22,1
1498742223,12,2
1498828623,9,5
1498915023,16,6
1499001423,17,2
1499087823,10,2
1499174222,17,0
1499260623,5,1
1499347023,20,2
1499433422,13,0
1499519823,14,1
1499865421,0,1
1500383821,0,12
1500470222,7,1
1500556621,0,2
1500643022,2,0
1500729421,5,2
1500815821,2,10
1500902222,0,11
1500988622,0,1
1501075022,0,29
1501161422,2,14
1501247822,4,21
1501334222,0,23
1501420621,2,7
1501507022,0,15
1501593422,0,17
1501679822,0,10
1501766221,1,20
1501852621,0,8
1501939021,1,30
1502025421,0,26
1502111821,0,27
1502198221,0,2
1502889421,7,0
1502975821,5,0
1503062222,6,1
1503148621,9,6
1503235021,10,0
1503321421,2,0
1503407821,3,0
1503494222,5,1
1503580622,4,1
1503667022,5,0
1503753421,3,1
1503839821,4,1
1503926221,0,1
1504012621,3,0
1504099021,8,1
1504185421,1,0
1504271822,6,1
1504358222,1,0
1504444622,1,0
1504531021,0,1
1504617421,0,1
1504703821,1,0
1504790222,3,0
1504876622,6,0
1504963022,7,0
1505049421,4,0
1505135822,0,1
1505308621,4,0
1505395022,2,4
1505481422,6,1
1505567822,16,10
1505654222,3,8
1505740621,2,7
1505827021,2,4
1505913421,7,4
1505999822,14,6
1506086221,20,3
1506172622,10,3
1506259022,9,2
1506345421,1,4
1506431822,3,1
1506518222,5,7
1506604622,11,4
1506691022,11,7
1506777422,21,4
1506863822,7,6
1507036622,0,1
1507123022,2,1
1507209422,17,0
1507295822,13,1
1507382222,11,1
1507468621,8,3
1507555022,1,7
1507641422,2,0
1507727822,8,1
1507814222,8,1
1507900623,3,3
1507987022,7,3
1508073422,8,3
1508159822,3,4
1508246222,0,3
1508332622,4,5
1508419022,0,6
1508505422,8,13
1508591822,3,10
1508678222,4,12
