DateTime,Entries,UniqueIPs
1508300101,4959,4959
1508301001,4976,4976
1508301901,5013,5013
1508302801,4898,4898
1508303702,4913,4913
1508304601,4854,4854
1508305501,4803,4803
1508306401,4727,4727
1508307301,4666,4666
1508308201,4664,4664
1508309101,4633,4633
1508310901,4497,4497
1508311801,4414,4414
1508312701,4366,4366
1508313601,4284,4284
1508314501,4166,4166
1508315401,4218,4218
1508316301,4244,4244
1508317202,4054,4054
1508318102,4457,4457
1508319001,8020,8020
1508319901,14870,14870
1508320803,21751,21751
1508321703,28294,28294
1508322604,34016,34016
1508323504,38744,38744
1508324405,39996,39996
1508325304,39997,39997
1508326204,39996,39996
1508327104,39996,39996
1508328004,39996,39996
1508328905,39996,39996
1508329805,39995,39995
1508330705,39997,39997
1508331606,39997,39997
1508332506,39997,39997
1508333405,39997,39997
1508334305,39996,39996
1508335204,39994,39994
1508336105,39992,39992
1508337004,39991,39991
1508337904,39991,39991
1508338804,39990,39990
1508339704,39990,39990
1508340604,39989,39989
1508341505,39989,39989
1508342404,39989,39989
1508343304,39988,39988
1508344204,39988,39988
1508345103,37494,37494
1508346003,33321,33321
1508346903,29180,29180
1508347803,25667,25667
1508348703,27127,27127
1508349603,28690,28690
1508350503,29060,29060
1508351404,29024,29024
1508352303,28791,28791
1508353203,28145,28145
1508354103,26907,26907
1508355003,26215,26215
1508355902,25672,25672
1508356803,26327,26327
1508357703,26995,26995
1508358603,27467,27467
1508359502,27855,27855
1508360403,28343,28343
1508361303,28776,28776
1508362204,29165,29165
1508363104,29717,29717
1508364004,30229,30229
1508364903,30621,30621
1508365803,31107,31107
1508366703,31439,31439
1508368504,31324,31324
1508369402,31470,31470
1508370303,31776,31776
1508371203,28442,28442
1508372103,25799,25799
1508373003,24674,24674
1508373903,24627,24627
1508374802,24890,24890
1508375703,25813,25813
1508376603,26521,26521
1508377503,26851,26851
1508378403,27163,27163
1508379302,27669,27669
1508380203,28119,28119
1508381102,28684,28684
1508382003,29206,29206
1508382902,29601,29601
1508383803,30357,30357
1508384703,31563,31563
1508385603,32241,32241
1508386503,33082,33082
1508387403,34259,34259
1508388304,35396,35396
1508389204,36692,36692
1508390103,37887,37887
1508391004,38828,38828
1508391904,39965,39965
1508392803,39985,39985
1508393704,39985,39985
1508394603,39984,39984
1508395503,39984,39984
1508396404,39984,39984
1508397304,39991,39991
1508398204,39995,39995
1508399105,39998,39998
1508400004,39998,39998
1508400904,39997,39997
1508401805,39998,39998
1508402706,39998,39998
1508403607,39998,39998
1508404508,39998,39998
1508405408,39996,39996
1508406307,39996,39996
1508407207,39994,39994
1508408107,39994,39994
1508409008,39994,39994
1508409908,39993,39993
1508410807,39993,39993
1508411707,39994,39994
1508412607,39993,39993
1508413507,39993,39993
1508414407,39993,39993
1508415307,39997,39997
1508416208,39997,39997
1508417109,39999,39999
1508418009,39998,39998
1508418909,39997,39997
