DateTime,AddedIPs,RemovedIPs
1491688509,1,0
1491803707,0,3
1491847038,3,0
1491890107,0,14
1491904508,3,0
1491933307,1,0
1491947708,1,0
1491976507,0,14
1491990908,0,3
1492005308,11,0
1492019708,3,0
1492034107,2,0
1492048508,3,0
1492063036,0,10
1492120508,6,0
1492163707,1,0
1492206907,3,0
1492235707,0,9
1492408507,0,1
1492437308,1,0
1492466107,1,0
1492494908,0,8
1492523707,1,0
1492538107,1,0
1492552507,1,0
1492581307,0,8
1492595707,2,0
1492624508,1,0
1492638907,1,0
1492667707,1,9
1492710907,3,0
1492754107,0,9
1492768507,3,0
1492797306,4,0
1492811709,15,0
1492826107,1,0
1492840507,0,7
1492869308,12,0
1492926907,2,0
1493013307,0,2
1493027707,1,0
1493056507,1,0
1493070907,15,0
1493099707,0,7
1493128521,2,0
1493142907,1,0
1493157308,6,0
1493171708,3,0
1493186107,1,5
1493229307,1,0
1493243708,5,0
1493272508,0,17
1493286908,2,0
1493315707,4,0
1493330107,2,0
1493358907,0,3
1493373308,2,0
1493402107,1,0
1493416508,7,0
1493445308,0,6
1493531707,0,1
1493560507,1,0
1493632508,1,0
1493661307,1,0
1493675708,1,0
1493704507,0,8
1493718907,1,0
1493762107,4,0
1493790907,1,14
1493805308,2,0
1493834107,1,0
1493877307,0,8
1493891711,1,0
1493920507,2,0
1493949308,4,0
1493963707,0,11
1493992508,2,0
1494021308,3,0
1494050108,0,16
1494064508,1,0
1494078908,1,0
1494093307,1,0
1494208507,1,0
1494266108,3,0
1494280508,5,0
1494309308,0,12
1494338107,1,0
1494352508,1,0
1494366907,1,0
1494395708,0,6
1494410108,2,0
1494438907,1,0
1494453309,3,0
1494482107,1,15
1494510907,1,0
1494525307,1,0
1494568507,0,11
1494622507,1,0
1494636908,4,0
1494651307,3,0
1494665708,0,3
1494680108,1,0
1494766508,1,0
1494852908,1,0
1494867307,1,0
1494896107,2,0
1494924911,0,1
1494953707,1,0
1495011307,1,10
1495040108,3,0
1495054507,7,0
1495097711,0,7
1495112108,1,0
1495155307,2,0
1495184107,0,13
1495212908,11,0
1495241708,1,0
1495356907,0,1
1495428907,1,0
1495472107,1,0
1495529708,0,3
1495572908,1,0
1495616107,0,2
1495659307,1,0
1495688107,1,0
1495702508,2,3
1495731307,1,0
1495745707,1,0
1495760107,2,0
1495788907,0,7
1495803307,1,0
1495832107,1,0
1495846508,1,0
1495875308,0,16
1495968907,2,1
1496012107,1,0
1496040908,3,2
1496141708,1,6
1496170507,4,0
1496184908,1,0
1496213708,0,3
1496228107,2,0
1496242508,1,0
1496300107,0,2
1496314507,1,0
1496343307,3,0
1496357707,2,0
1496386507,0,4
1496415306,1,0
1496429707,1,0
1496472908,0,9
1496645708,0,1
1496660107,1,0
1496674508,1,0
1496688908,3,0
1496732108,1,1
1496746508,1,0
1496760909,1,0
1496775307,1,0
1496789709,4,0
1496818507,0,1
1496832908,1,0
1496847306,1,0
1496861707,3,0
1496876107,2,0
1496890510,1,0
1496904908,0,7
1496962508,1,0
1496991308,0,3
1497077708,0,3
1497164108,0,1
1497264908,0,2
1497293707,2,0
1497308107,1,0
1497351308,1,2
1497380111,2,0
1497394510,2,0
1497423307,0,4
1497437707,2,0
1497466508,6,0
1497480909,1,0
1497509707,0,5
1497524106,1,0
1497567307,4,0
1497610510,0,2
1497624908,1,0
1497639308,1,0
1497653707,1,0
1497682508,0,4
1497725708,1,0
1497855307,0,1
1497884108,1,0
1497941707,1,4
1497970507,1,0
1497999308,1,0
1498013707,2,0
1498042507,3,1
1498071309,2,0
1498128907,1,8
1498143307,1,0
1498172108,610,0
1498215307,7,0
1498229707,2,0
1498244108,17,0
1498287307,0,8
1498460107,0,1
1498488907,1,0
1498517706,2,0
1498546506,0,5
1498560906,1,0
1498575306,1,0
1498589706,5,0
1498632906,0,634
1498676106,10,0
1498719306,0,8
1498762506,1,0
1498776907,1,0
1498805706,1,0
1498906505,0,2
1498992905,0,1
1499050505,2,0
1499079305,2,3
1499108106,2,0
1499122506,4,0
1499151306,1,5
1499165706,1,0
1499194506,1,0
1499208905,1,0
1499237705,0,5
1499280905,2,0
1499295305,1,0
1499338508,2,2
1499352906,1,0
1499367306,1,0
1499396106,1,0
1499410505,1,3
1499453705,1,0
1499482508,2,0
1499496906,0,5
1499597706,1,0
1499655305,1,0
1499684106,1,0
1499698506,1,0
1499727306,1,0
1499770505,0,12
1499799306,2,0
1499856906,1,3
1499885706,1,0
1499900106,2,0
1499928905,0,4
1499957706,1,0
1499972105,2,0
1499986505,5,0
1500029705,0,8
1500044105,4,0
1500116105,1,2
1500130505,1,0
1500288906,1,0
1500303307,4,0
1500317706,2,0
1500360905,0,3
1500389705,2,0
1500418506,1,0
1500447305,0,1
1500476106,1,0
1500490506,1,0
1500548105,1,11
1500576908,1,0
1500591306,1,0
1500634506,0,4
1500706636,0,3
1500764236,1,0
1500807436,0,2
1500879436,0,1
1500908235,1,0
1500922636,2,0
1500980234,1,0
1501009035,3,0
1501037836,2,0
1501052236,0,3
1501066635,1,0
1501109835,1,0
1501153035,0,4
1501210635,1,0
1501239436,0,8
1501268235,2,0
1501325835,1,2
1501354636,0,0
1501441035,1,0
1501469836,1,0
1501484236,0,2
1501498635,4,0
1501527436,1,0
1501556235,1,0
1501570637,1,4
1501613835,2,0
1501671437,1,2
1501685837,1,0
1501714636,3,0
1501743437,0,3
1501757836,1,0
1501772236,4,0
1501801039,4,0
1501844235,1,5
1501873036,2,0
1501916237,0,4
1502089035,1,2
1502103437,1,0
1502132236,1,0
1502175436,0,5
1502189836,2,0
1502204237,2,0
1502218637,5,0
1502247436,2,0
1502261835,0,4
1502319435,1,0
1502348236,0,4
1502391437,3,0
1502405836,1,0
1502420236,1,0
1502434635,0,2
1502463436,1,0
1502521036,0,4
1502593036,1,0
1502607435,0,2
1502621835,1,0
1502751436,1,0
1502794637,1,7
1502809036,2,0
1502881036,0,3
1502924236,2,0
1502967435,0,13
1503010637,1,0
1503039436,0,3
1503082637,1,0
1503125705,0,1
1503356106,2,0
1503399305,0,2
1503442505,6,0
1503456905,1,0
1503471305,0,3
1503514505,2,0
1503572106,1,2
1503586505,1,0
1503600907,1,0
1503615309,2,0
1503644105,0,4
1503658506,1,0
1503687306,3,0
1503701708,2,0
1503730506,0,2
1503773706,2,0
1503917706,0,1
1503946507,2,0
1503960905,1,0
1503975308,1,0
1503989706,0,4
1504004105,2,0
1504018505,1,0
1504032906,2,0
1504090505,1,3
1504104905,1,0
1504162505,0,3
1504176905,1,0
1504202106,5,0
1504223705,39,0
1504238106,1,0
1504252506,0,15
1504281305,4,0
1504295706,1,0
1504425305,0,1
1504482909,1,0
1504526106,7,0
1504547705,1,0
1504576506,1,0
1504590905,0,6
1504634106,2,0
1504648506,3,0
1504677305,1,5
1504734908,2,0
1504763706,0,3
1504778105,1,0
1504806905,3,0
1504850105,1,13
1504893306,2,0
1504907705,3,0
1504922107,1,0
1504936506,0,8
1504994108,1,0
1505022906,4,0
1505051708,1,0
1505109306,0,1
1505152505,2,0
1505166906,3,0
1505195705,0,7
1505224505,1,0
1505238949,2,0
1505253307,3,0
1505267708,35,0
1505282105,1,12
1505325305,2,0
1505339705,1,0
1505354105,2,0
1505368505,0,4
1505397306,1,0
1505411706,1,0
1505426105,1,0
1505440505,2,0
1505454905,0,17
1505541305,0,9
1505598906,1,0
1505613306,2,0
1505642105,1,0
1505685307,1,0
1505699706,1,0
1505728505,2,0
1505757305,2,0
1505771707,1,0
1505800506,0,2
1505814906,1,0
1505843705,1,0
1505858106,1,0
1505886906,0,7
1505901305,1,0
1505915705,1,0
1505930105,7,0
1505944505,1,0
1505973305,1,1
1506002110,1,0
1506016506,1,0
1506059705,0,6
1506074105,1,0
1506102905,2,0
1506117306,1,0
1506146106,0,6
1506232505,0,2
1506318905,0,1
1506405305,0,5
1506419705,1,0
1506462906,1,0
1506491706,0,33
1506506106,1,0
1506563706,2,0
1506578105,0,10
1506660905,1,0
1506675307,0,1
1506689705,1,0
1506704106,1,0
1506732906,1,0
1506761706,0,3
1506819306,1,0
1506848106,0,1
1506934506,0,1
1506963306,1,0
1506977707,1,0
1507020905,0,1
1507049706,3,0
1507078508,1,0
1507107306,0,3
1507150506,3,0
1507193705,1,11
1507222507,1,0
1507236906,2,0
1507280106,1,7
1507308905,1,0
1507366506,1,3
1507409707,1,0
1507438506,1,0
1507539305,1,2
1507568105,1,0
1507596906,1,0
1507625705,0,2
1507654505,2,0
1507712105,1,0
1507755305,1,0
1507784105,2,0
1507798506,0,6
1507812906,2,0
1507841708,2,0
1507884906,0,3
1507928106,2,0
1508057706,0,1
1508086506,3,0
1508172906,2,0
1508230506,0,2
1508244908,1,0
1508273706,2,0
1508316906,0,2
1508403306,0,5
1508432105,1,0
1508460906,1,0
1508475305,1,0
1508489705,2,4
1508518506,1,0
1508532907,2,0
1508561706,1,0
1508576108,0,2
1508662506,0,2
1508705706,1,0
1508748905,0,1
