DateTime,AddedIPs,RemovedIPs
1501589415,37,10
1501603815,28,13
1501618215,19,4
1501632616,22,21
1501647015,24,3
1501661415,6,76
1501675815,17,29
1501690214,29,25
1501704616,19,15
1501719017,23,23
1501733415,16,6
1501747816,23,44
1501762217,20,16
1501776615,21,22
1501791017,30,20
1501805414,14,16
1501819815,16,8
1501834215,21,28
1501848614,10,20
1501863017,23,22
1501877414,16,15
1501891816,12,21
1501906214,21,26
1501920615,10,25
1501935015,5,28
1501949415,7,18
1501963817,12,18
1501978217,8,17
1501992615,8,21
1502007015,3,14
1502021415,7,21
1502035814,18,11
1502050212,11,12
1502064613,10,27
1502079013,22,7
1502093414,3,3
1502107814,15,8
1502122213,29,13
1502136613,44,9
1502151017,18,2
1502165414,30,4
1502179813,20,15
1502194215,31,9
1502208613,26,10
1502223014,24,19
1502237417,23,15
1502251815,28,3
1502266216,40,15
1502280615,41,32
1502295014,26,39
1502309416,24,21
1502323868,22,31
1502338216,25,15
1502352617,15,40
1502367017,26,20
1502381418,40,19
1502395819,22,30
1502410218,20,32
1502424614,15,42
1502439015,2,35
1502453415,6,29
1502467850,17,16
1502482215,14,23
1502496615,10,27
1502511014,12,18
1502525415,2,41
1502539814,5,27
1502554214,13,19
1502568615,14,22
1502583016,8,12
1502597415,3,3
1502611815,3,12
1502626214,6,10
1502640614,29,5
1502655015,12,11
1502669414,12,16
1502683814,14,4
1502698215,1,9
1502712613,8,10
1502727015,16,13
1502741417,20,9
1502755815,18,6
1502770216,28,0
1502784616,4,12
1502799016,17,26
1502813416,24,12
1502827815,6,15
1502842215,10,7
1502856615,9,1
1502871016,3,9
1502885415,4,18
1502899814,12,20
1502914229,7,12
1502928618,12,31
1502943062,28,2
1502957413,5,29
1502971813,9,13
1502986214,19,5
1503000614,8,13
1503015017,19,10
1503029414,4,1
1503043815,9,9
1503058214,9,10
1503072615,15,8
1503087014,17,20
1503101413,14,17
1503115813,28,7
1503130215,11,9
1503144614,10,20
1503159013,16,13
1503173414,12,12
1503187813,5,7
1503202218,4,6
1503216613,11,12
1503231013,8,16
1503245413,19,16
1503259812,21,15
1503274212,16,22
1503288613,1,13
1503303013,13,12
1503317412,9,13
1503331813,49,12
1503346213,18,6
1503360614,15,7
1503375013,20,5
1503389413,8,20
1503403813,19,8
1503418214,30,24
1503432613,12,13
1503447014,10,1
1503461413,23,13
1503475814,9,23
1503490214,39,40
1503504614,31,19
1503519014,27,15
1503533415,26,19
1503547814,36,3
1503562214,23,34
1503576614,26,17
1503605414,85,24
1503619814,17,21
1503634214,27,14
1503648614,5,43
1503663013,9,23
1503677414,38,26
1503691814,24,23
1503706214,17,45
1503720614,28,15
1503735017,4,43
1503745892,10,39
1503760215,24,27
1503774629,8,17
1503789038,18,28
1503803429,29,5
1503817838,4,10
1503832238,3,36
1503846637,20,24
1503861017,15,17
1503875476,15,28
1503886277,21,3
1503897125,5,12
1503907829,6,18
1503922237,21,11
1503936646,13,20
1503951018,24,12
1503961821,9,24
1503969061,20,0
1503983437,27,1
1503994237,6,16
1504019446,53,25
1504033846,6,16
1504048223,9,19
1504059062,20,3
1504073461,18,17
1504087813,11,19
1504095071,22,7
1504109417,46,27
1504120218,21,11
1504134621,17,38
1504145427,19,7
1504159823,22,13
1504167030,4,22
1504181454,28,20
1504188639,17,4
1504199479,23,7
1504213860,37,24
1504228278,25,17
1504242619,39,11
1504257019,25,39
1504271478,36,42
1504300218,62,43
1504314678,8,23
1504329014,17,17
1504343416,1,32
1504357815,11,29
1504372215,16,37
1504386615,18,29
1504401015,24,36
1504415414,20,29
1504429814,14,28
1504444213,19,48
1504458614,27,9
1504473013,23,19
1504487413,6,8
1504501813,6,9
1504516213,8,7
1504530614,26,13
1504545013,19,19
1504559414,16,31
1504573813,21,14
1504588215,18,11
1504602614,2,26
1504617014,20,19
1504631426,10,27
1504645819,11,2
1504660219,32,11
1504674614,24,5
1504689014,2,26
1504703414,22,19
1504717815,26,16
1504732217,31,27
1504746615,29,8
1504761014,37,4
1504775414,8,20
1504789813,51,9
1504804215,27,17
1504818614,12,35
1504833014,38,15
1504847413,25,0
1504861813,4,35
1504876214,41,16
1504890614,20,32
1504905014,29,39
1504919414,23,27
1504933814,7,9
1504948214,4,58
1504962615,17,18
1504977015,16,21
1504991414,31,35
1505005815,6,18
1505020214,7,9
1505034614,3,44
1505049019,17,15
1505063417,18,36
1505077820,16,18
1505092220,14,3
1505106616,16,3
1505121018,2,23
1505135414,24,20
1505149813,29,23
1505164214,36,5
1505178613,18,7
1505193014,17,6
1505207413,11,22
1505221814,11,13
1505236217,24,15
1505250614,42,17
1505265013,18,10
1505279414,4,4
1505293813,3,29
1505308213,3,32
1505322613,12,29
1505337015,11,20
1505351415,11,13
1505365813,9,11
1505380213,4,18
1505394614,9,20
1505409023,8,40
1505423414,10,16
1505437813,9,2
1505452212,13,2
1505466613,2,3
1505481014,3,16
1505495438,9,13
1505509813,11,11
1505524213,10,6
1505538612,10,5
1505553013,5,10
1505567412,1,9
1505581813,5,11
1505596213,8,13
1505610616,8,8
1505625013,4,1
1505639412,4,3
1505653812,4,9
1505668212,4,13
1505682612,10,10
1505697012,7,10
1505711412,2,2
1505725812,5,2
1505740216,7,5
1505754612,9,7
1505769011,10,8
1505783412,8,4
1505797811,4,5
1505812211,4,4
1505826612,3,7
1505841012,17,6
1505855411,14,7
1505869811,7,4
1505884211,1,4
1505898611,1,7
1505913011,6,11
1505927411,8,9
1505941811,9,8
1505956211,8,4
1505970611,5,3
1505985011,7,9
1505999411,8,15
1506013810,7,12
1506028212,13,5
1506042610,12,1
1506057012,8,2
1506071471,5,7
1506085812,6,7
1506100210,5,10
1506114612,14,11
1506129013,7,0
1506143413,2,9
1506157813,3,6
1506172214,1,9
1506186615,5,14
1506201015,6,13
1506215414,5,5
1506229814,6,4
1506244214,11,8
1506258614,3,7
1506273014,4,10
1506287413,8,6
1506301813,4,3
1506316213,4,3
1506330612,4,2
1506345012,3,5
1506359413,4,6
1506373812,10,5
1506388214,6,13
1506402612,9,3
1506417013,2,3
1506431418,5,6
1506445813,4,5
1506460215,8,7
1506474617,11,3
1506489015,9,3
1506503415,6,3
1506517815,9,6
1506532217,11,8
1506546617,15,7
1506561016,15,6
1506575415,9,3
1506589817,11,4
1506604216,9,6
1506618617,16,9
1506633016,14,10
1506647416,15,8
1506661817,13,7
1506676216,13,8
1506690617,8,13
1506705021,5,17
1506719416,12,14
1506733817,9,9
1506748216,6,9
1506762616,3,11
1506777016,4,16
1506791416,7,15
1506805817,4,15
1506820216,5,11
1506834616,5,13
1506849016,2,7
1506863415,12,7
1506877816,14,10
1506892217,15,9
1506906614,15,7
1506921015,16,2
1506935415,28,4
1506949815,25,9
1506964214,21,4
1506978738,19,6
1506993014,12,1
1507007414,9,7
1507021814,8,14
1507036214,14,12
1507050613,15,16
1507065014,14,10
1507079415,17,20
1507093813,19,30
1507108215,18,26
1507122615,14,17
1507137016,15,17
1507151414,23,13
1507165814,10,9
1507180215,5,9
1507194615,6,18
1507209015,7,12
1507223415,10,15
1507237817,19,17
1507252214,12,16
1507266615,24,18
1507281016,13,15
1507295415,21,17
1507309818,22,19
1507324214,8,9
1507338614,8,7
1507353014,18,4
1507367415,15,10
1507381814,17,13
1507396213,19,17
1507410613,10,16
1507425012,6,16
1507439412,15,16
1507453812,23,23
1507468211,17,17
1507482611,15,6
1507497011,14,11
1507511411,12,17
1507525811,12,16
1507540211,24,21
1507554611,21,13
1507569012,20,12
1507583411,20,6
1507597811,16,15
1507612211,18,23
1507626611,17,19
1507641012,10,10
1507655416,22,18
1507669811,15,12
1507684211,11,17
1507698611,24,19
1507713011,13,33
1507727411,16,12
1507741812,10,18
1507756212,5,13
1507770613,4,22
1507785013,11,12
1507799412,9,15
1507813813,13,20
1507828213,8,14
1507842613,18,18
1507857013,7,21
1507871413,18,10
1507885814,11,12
1507900217,20,10
1507914615,11,6
1507929014,6,4
1507943415,9,11
1507957814,7,13
1507972214,15,10
1507986615,5,9
1508001014,9,18
1508015414,5,12
1508029814,11,15
1508044214,10,20
1508058613,7,7
1508073013,8,12
1508087413,8,5
1508101812,6,7
1508116213,0,10
1508130613,6,12
1508145013,7,7
1508159414,10,8
1508173818,15,7
1508188217,12,13
1508202614,8,7
1508217015,12,7
1508231415,7,7
1508245815,12,7
1508260217,22,6
1508274618,10,3
1508289017,8,4
1508303416,12,7
1508317819,9,22
1508332216,17,4
1508346616,12,13
1508361017,5,10
1508375416,7,8
1508389815,13,9
1508404216,8,9
1508418616,23,17
1508433017,9,9
1508447416,7,6
1508461816,9,14
1508476213,9,9
1508490621,11,16
1508505016,13,12
1508519416,14,5
1508533815,7,10
1508548217,10,13
1508562615,7,10
1508577016,5,23
1508591416,2,13
1508605816,14,7
1508620217,6,6
1508634617,8,11
1508649016,11,15
1508663415,10,8
1508677815,6,14
1508692215,9,11
1508706615,3,5
1508721014,11,9
1508735414,13,4
1508749815,3,2
