DateTime,AddedIPs,RemovedIPs
1457808024,49,49
1457895382,40,40
1457982060,43,43
1458070570,38,38
1458155537,45,45
1458243863,45,45
1458328595,42,42
1458415211,41,41
1458503535,41,41
1458588739,43,43
1458676577,45,45
1458765389,45,45
1458851074,43,43
1458935798,39,39
1459024587,42,42
1459109068,45,45
1459197852,42,42
1459282829,46,46
1459371874,44,44
1459458139,44,44
1459542985,41,41
1459632501,34,34
1459717468,42,42
1459802666,39,39
1459891448,39,39
1459976676,46,46
1460065458,46,46
1460150211,44,44
1460237550,43,43
1460322058,46,46
1460410117,40,40
1460496984,43,43
1460582187,44,44
1460671723,45,45
1460757149,44,44
1460842584,40,40
1460928511,36,36
1461015392,42,42
1461104256,44,44
1461190575,43,43
1461280825,40,40
1461364819,47,47
1461449298,41,41
1461537615,47,47
1461622581,46,46
1461711377,42,42
1461798245,36,36
1461882980,36,36
1461969377,37,37
1462057448,42,42
1462146012,45,45
1462232417,43,43
1462318811,44,44
1462403291,41,41
1462491613,38,38
1462576104,44,44
1462664648,41,41
1462752971,40,40
1462837454,40,40
1462925795,42,42
1463011243,46,46
1463096181,44,44
1463260095,41,41
1463348647,40,40
1463433137,43,43
1463521690,43,43
1463606657,46,46
1463695225,45,45
1463781629,42,42
1463868491,45,45
1463953218,42,42
1464043450,38,38
1464127933,37,37
1464216255,35,35
1464302891,39,39
1464387610,36,36
1464475939,42,42
1464560649,40,40
1464648979,34,34
1464733455,37,37
1464821777,37,37
1464906505,38,38
1464994845,48,48
1465079539,38,38
1465168097,36,36
1465300574,35,35
1465389131,32,32
1465473627,40,40
1465561455,40,40
1465649778,45,45
1465734503,44,44
1465823064,46,46
1465907853,36,36
1465996341,38,38
1466081540,39,39
1466166494,41,41
1466254838,41,41
1466343613,44,44
1466428346,39,39
1466516657,42,42
1466601142,37,37
1466689459,28,28
1466777778,41,41
1466862253,41,41
1466950815,40,40
1467039628,37,37
1467124340,37,37
1467209053,42,42
1467297372,33,33
1467387847,48,48
1467672268,48,48
1467757214,38,38
1467845776,39,39
1467930755,39,39
1468019547,37,37
1468102584,37,37
1468191143,38,38
1468277534,38,38
1468362256,38,38
1468451781,44,44
1468536254,42,42
1468625060,41,41
1468709552,39,39
1468796431,39,39
1468882830,36,36
1468971141,42,42
1469055864,44,44
1469144196,42,42
1469228654,41,41
1469315058,42,42
1469401695,36,36
1469490013,36,36
1469578576,41,41
1469663064,42,42
1469751401,38,38
1469835851,45,45
1469924187,46,46
1470008649,42,42
1470095299,39,39
1470181703,38,38
1470270016,44,44
1470358333,36,36
1470442833,37,37
1470531138,39,39
1470615616,35,35
1470702257,37,37
1470790573,39,39
1470874911,28,28
1470963378,33,33
1471048111,32,32
1471136451,37,37
1471224736,43,43
1471309230,44,44
1471397536,40,40
1471482033,40,40
1471570589,41,41
1471655800,44,44
1471744342,39,39
1471829060,38,38
1471917862,37,37
1472004496,37,37
1472089212,38,38
1472177802,32,32
1472262317,41,41
1472349142,41,41
1472437934,35,35
1472522472,37,37
1472610982,37,37
1472695696,35,35
1472784249,33,33
1472869467,31,31
1472957778,39,39
1473042984,42,42
1473129384,38,38
1473213856,39,39
1473302180,39,39
1473390745,40,40
1473475219,40,40
1473563779,35,35
1473648502,41,41
1473734902,39,39
1473823453,39,39
1473908449,44,44
1473996983,44,44
1474081938,43,43
1474166646,42,42
1474254982,42,42
1474343304,42,42
1474428017,40,40
1474516591,43,43
1474601303,43,43
1474687943,39,39
1474772660,40,40
1474862020,38,38
1474948343,36,36
1475036660,40,40
1475121140,37,37
1475206340,37,37
1475293215,39,39
1475381793,36,36
1475470108,45,45
1475556493,45,45
1475643137,42,42
1475730251,40,40
1475816894,37,37
1475907222,40,40
1475991614,42,42
1476076334,38,38
1476162973,37,37
1476252255,36,36
1476336774,38,38
1476423142,40,40
1476511694,42,42
1476598575,41,41
1476686888,36,36
1476771620,38,38
1476860464,35,35
1476944899,41,41
1477033456,41,41
1477118416,44,44
1477208680,48,48
1477295298,50,50
1477383851,36,36
1477470251,36,36
1477554763,40,40
1477643535,39,39
1477729932,44,44
1477817290,43,43
1477902067,47,47
1477986977,45,45
1478077261,39,39
1478160743,40,40
1478249770,41,41
1478334741,39,39
1478423309,37,37
1478508250,44,44
1478592978,41,41
1478681295,42,42
1478769861,41,41
1478856509,38,38
1478941460,41,41
1479029544,43,43
1479114263,44,44
1479207177,48,48
1479292344,50,50
1479378993,38,38
1479467551,39,39
1479553955,40,40
1479639152,39,39
1479727697,41,41
1479817944,47,47
1479902512,44,44
1479987141,39,39
1480076171,40,40
1480161381,41,41
1480246598,43,43
1480334904,42,42
1480423221,37,37
1480508439,43,43
1480616652,50,50
1480682185,50,50
1480770996,34,34
1480855534,49,49
1480944737,49,49
1481031353,36,36
1481117795,41,41
1481207544,49,49
1481292750,50,50
1481377703,39,39
1481462679,44,44
1481551298,46,46
1481640265,38,38
1481724755,39,39
1481813555,42,42
1481898268,40,40
1481986573,41,41
1482071800,42,42
1482156762,39,39
1482245564,43,43
1482332204,43,43
1482417403,40,40
1482505954,46,46
1482969864,45,45
1483035148,36,36
1483125863,33,33
1483210350,38,38
1483294828,34,34
1483383149,33,33
1483467628,39,39
1483556171,36,36
1483640905,34,34
1483729291,35,35
1490858173,50,50
1490912647,50,50
1491000971,43,43
1491086187,39,39
1491174498,42,42
1491259220,46,46
1491347350,43,43
1491432267,44,44
1491517215,49,49
1491605784,46,46
1491690506,46,46
1491779307,47,47
1491864011,49,49
1491952829,47,47
1492037533,47,47
1492122515,49,49
1492211542,43,43
1492296749,45,45
1492381947,43,43
1492470747,43,43
1492559065,40,40
1492643778,42,42
1492728494,44,44
1492817552,45,45
1492902518,43,43
1492991313,42,42
1493076263,42,42
1493163627,47,47
1493248588,46,46
1493337698,41,41
1493420908,44,44
1493507781,41,41
1493597308,41,41
1493682492,42,42
1493767538,43,43
1493856510,44,44
1493940984,44,44
1494027963,47,47
1494112830,47,47
1494201864,45,45
1494286827,50,50
1494375150,49,49
1494460111,47,47
1494545052,47,47
1494633870,45,45
1494720514,47,47
1494805933,46,46
1494894992,47,47
1494979958,43,43
1495064893,48,48
1495153695,37,37
1495238544,42,42
1495326971,39,39
1495413376,46,46
1495498569,50,50
1495587152,48,48
1495673794,48,48
1495758735,47,47
1495843722,47,47
1495932265,45,45
1496017232,50,50
1496102677,46,46
1496189546,48,48
1496278884,42,42
1496362114,46,46
1496451700,44,44
1496536109,42,42
1496624911,43,43
1496709387,46,46
1496795071,46,46
1496883868,41,41
1496968340,44,44
1497053311,43,43
1497142350,45,45
1497227060,43,43
1497315867,48,48
1497400594,49,49
1497485534,47,47
1497574094,43,43
1497659068,42,42
1497747378,40,40
1497833075,41,41
1497918750,44,44
1498007325,45,45
1498091771,44,44
1498176993,48,48
1498266269,48,48
1498351449,46,46
1498440014,45,45
1498523547,48,48
1498612836,50,50
1498697791,48,48
1498782756,43,43
1498871776,37,37
1498956743,43,43
1499044829,43,43
1499130747,49,49
1499216181,45,45
1499304987,41,41
1499389950,45,45
1499475132,40,40
1499563708,41,41
1499648892,44,44
1499737225,46,46
1499822439,49,49
1499909542,48,48
1499994751,45,45
1500083308,43,43
1500167788,45,45
1500253295,42,42
1500342270,45,45
1500427229,45,45
1500512183,43,43
1500600971,46,46
1500685943,43,43
1500774992,45,45
1500859703,49,49
1500948268,44,44
1501033463,41,41
1501118425,40,40
1501204114,41,41
1501293394,41,41
1501380272,40,40
1501466187,44,44
1501550671,46,46
1501636110,44,44
1501724907,45,45
1501809633,44,44
1501898544,46,46
1501983872,45,45
1502072653,44,44
1502157389,41,41
1502242825,44,44
1502331873,44,44
1502417308,43,43
1502502730,45,45
1502591308,44,44
1502676734,44,44
1502761937,46,46
1502847874,40,40
1502936658,47,47
1503021709,44,44
1503107071,43,43
1503195861,44,44
1503280901,47,47
1503369134,41,41
1503454095,47,47
1503542409,45,45
1503678012,50,50
1503762735,50,50
1503847927,48,48
1503933139,46,46
1504021929,48,48
1504107383,48,48
1504115055,36,36
1504195688,49,49
1504280416,47,47
1504365136,41,41
1504452488,43,43
1504541053,48,48
1504626009,49,49
1504715060,46,46
1504800039,48,48
