DateTime,AddedIPs,RemovedIPs
1458278415,42,46
1458365289,44,83
1458449769,48,42
1458534735,43,0
1458623063,42,87
1458711155,42,44
1458796595,42,46
1458882051,40,0
1458970351,42,90
1459055313,41,44
1459140036,41,36
1459228830,45,39
1459313563,47,0
1459399709,46,45
1459485152,42,43
1459574666,43,42
1459659621,42,45
1459744812,42,42
1459837499,41,88
1459918583,38,43
1460003788,41,0
1460092360,43,85
1460177068,37,0
1460266362,41,82
1460352059,41,44
1460436989,45,0
1460524103,41,80
1460609053,47,40
1460694985,39,0
1460784263,44,75
1460869478,38,0
1460957545,36,85
1461040600,39,0
1461127231,41,45
1461213618,45,41
1461300031,41,89
1461387871,38,0
1461476175,42,75
1461560904,42,0
1461645850,39,78
1461734409,40,43
1461821297,41,45
1461906042,44,37
1461992425,45,0
1462080740,43,42
1462165220,43,42
1462251624,44,84
1462338031,44,0
1462426345,43,85
1462510825,41,0
1462599138,44,86
1462683854,43,0
1462772177,38,88
1462856780,46,41
1462944979,37,43
1463030667,47,0
1463115378,38,39
1463260096,41,90
1463287213,42,0
1463375552,44,42
1463460012,47,39
1463548816,41,41
1463633535,37,43
1463722100,43,82
1463806574,37,0
1463895377,38,86
1463980095,44,0
1464066502,39,85
1464152908,41,0
1464237860,44,36
1464327140,40,79
1464411618,37,40
1464500181,41,40
1464584652,40,0
1464673215,44,82
1464757692,37,0
1464842650,38,38
1464931696,41,45
1465016174,41,43
1465104736,41,39
1465189451,38,34
1465320742,38,81
1465370665,41,42
1465455852,40,42
1465544416,41,39
1465628895,42,43
1465717217,40,40
1465801945,36,40
1465888583,40,0
1465977144,43,78
1466061857,37,42
1466147302,42,0
1466235618,39,76
1466320575,38,0
1466409137,37,83
1466493612,35,39
1466581937,35,0
1466666416,39,39
1466754739,38,74
1466839227,38,0
1466927779,39,72
1467012737,41,0
1467097292,43,38
1467186011,43,36
1467270495,41,39
1467358818,42,45
1467445950,37,79
1467672269,46,78
1467757215,45,46
1467841940,39,45
1467930755,38,43
1468015459,40,42
1468104252,39,44
1468188737,35,0
1468275383,42,0
1468361787,39,38
1468447266,43,73
1468535778,43,39
1468620255,38,0
1468708578,36,41
1468794495,35,75
1468878977,41,0
1468967300,43,81
1469052088,42,40
1469140346,42,0
1469224842,36,42
1469311240,30,42
1469400247,38,69
1469484972,39,46
1469571615,48,0
1469659935,41,80
1469744663,38,0
1469829146,39,40
1469917462,42,72
1470003847,42,0
1470088572,41,39
1470176896,40,81
1470261368,39,0
1470349933,45,86
1470434442,42,43
1470522737,38,42
1470607453,35,0
1470696253,39,78
1470782431,46,41
1470866897,41,40
1470955211,38,41
1471039940,35,37
1471128254,38,39
1471212974,47,42
1471299373,43,0
1471387690,41,88
1471472177,43,41
1471560733,40,37
1471645695,44,38
1471730174,37,0
1471818976,40,83
1471903694,36,0
1471992988,41,85
1472077713,36,41
1472162180,43,0
1472250735,34,81
1472337396,45,36
1472422341,35,0
1472510902,40,78
1472595615,42,0
1472683943,42,72
1472768903,40,39
1472854102,42,0
1472942411,43,81
1473027374,40,42
1473114248,38,0
1473198975,39,40
1473287538,41,42
1473372052,40,42
1473461052,42,79
1473545538,39,0
1473634339,44,82
1473720737,40,38
1473805221,43,40
1473892336,44,0
1473977054,40,85
1474065372,44,0
1474149849,40,40
1474238426,39,40
1474322902,43,43
1474409358,44,42
1474497853,41,86
1474582578,42,42
1474676899,37,42
1474761372,36,45
1474849459,41,42
1474936819,41,41
1475021297,41,42
1475109619,34,37
1475195295,37,31
1475279806,32,0
1475368343,30,76
1475453062,31,0
1475541611,40,41
1475628253,37,82
1475713214,37,0
1475801768,30,69
1475886782,45,31
1475971263,33,0
1476059542,40,62
1476146176,38,0
1476231375,38,38
1476318271,35,69
1476404676,44,0
1476492972,39,82
