DateTime,AddedIPs,RemovedIPs
1458365289,48,48
1458449769,50,50
1458534735,48,48
1458623063,45,45
1458711155,48,48
1458796595,46,46
1458882051,48,48
1458970351,46,46
1459055313,46,46
1459140036,45,45
1459228830,46,46
1459313563,48,48
1459399709,47,47
1459485152,48,48
1459574666,48,48
1459659621,46,46
1459744812,46,46
1459837499,46,46
1459918583,45,45
1460003788,47,47
1460092360,47,47
1460177068,43,43
1460266362,44,44
1460352059,46,46
1460436989,48,48
1460524103,50,50
1460609053,50,50
1460694985,47,47
1460784263,47,47
1460869478,43,43
1460957545,44,44
1461040600,46,46
1461127231,48,48
1461213618,48,48
1461300031,47,47
1461387871,44,44
1461476175,45,45
1461560904,46,46
1461645850,46,46
1461734409,48,48
1461821297,45,45
1461906042,49,49
1461992425,47,47
1462080740,48,48
1462165220,48,48
1462251624,46,46
1462338031,47,47
1462426345,49,49
1462510825,46,46
1462599138,48,48
1462683854,47,47
1462772177,46,46
1462856780,50,50
1462944979,48,48
1463030667,49,49
1463115378,45,45
1463260096,43,43
1463287213,47,47
1463375552,49,49
1463460012,49,49
1463548816,46,46
1463633535,45,45
1463722100,45,45
1463806574,46,46
1463895377,45,45
1463980095,48,48
1464066502,46,46
1464152908,47,47
1464237860,48,48
1464327140,49,49
1464411618,47,47
1464500181,46,46
1464584652,44,44
1464673215,48,48
1464757692,44,44
1464842650,48,48
1464931696,46,46
1465016174,46,46
1465104736,48,48
1465189451,46,46
1465320742,46,46
1465370665,45,45
1465455852,45,45
1465544416,48,48
1465628895,46,46
1465717217,44,44
1465801945,45,45
1465888583,45,45
1465977144,48,48
1466061857,46,46
1466147302,49,49
1466235618,43,43
1466320575,44,44
1466409137,46,46
1466493612,44,44
1466581937,44,44
1466666416,47,47
1466754739,48,48
1466839227,45,45
1466927779,44,44
1467012737,46,46
1467097292,45,45
1467186011,49,49
1467270495,48,48
1467358818,46,46
1467445950,44,44
1467672269,48,48
1467757215,48,48
1467841940,43,43
1467930755,45,45
1468015459,46,46
1468104252,47,47
1468188737,40,40
1468275383,46,46
1468361787,46,46
1468447266,46,46
1468535778,48,48
1468620255,49,49
1468708578,48,48
1468794495,40,40
1468878977,45,45
1468967300,49,49
1469052088,44,44
1469140346,43,43
1469224842,44,44
1469311240,41,41
1469400247,41,41
1469484972,44,44
1469571615,49,49
1469659935,46,46
1469744663,46,46
1469829146,47,47
1469917462,46,46
1470003847,48,48
1470088572,48,48
1470176896,45,45
1470261368,44,44
1470349933,48,48
1470434442,47,47
1470522737,45,45
1470607453,43,43
1470696253,47,47
1470782431,47,47
1470866897,47,47
1470955211,43,43
