DateTime,AddedIPs,RemovedIPs
1458240038,49,48
1458328594,48,46
1458415210,47,44
1458499701,43,0
1458588738,44,89
1458672742,43,0
1458761553,44,95
1458846743,45,45
1458931955,43,0
1459020742,43,92
1459105224,42,44
1459194029,50,44
1459278995,44,45
1459363947,44,0
1459450101,45,43
1459539146,43,87
1459624824,42,0
1459709798,37,45
1459798828,38,45
1459884747,38,93
1459969939,40,41
1460058738,37,45
1460142264,44,0
1460231780,43,74
1460318198,43,42
1460401474,42,0
1460492901,40,75
1460574050,47,0
1460663782,46,75
1460749455,40,46
1460834906,36,0
1460920574,37,44
1461007710,41,86
1461092918,41,0
1461179055,37,82
1461265480,40,0
1461353295,37,42
1461441623,38,74
1461526099,35,39
1461614895,39,41
1461699847,39,32
1461786497,39,45
1461875297,43,40
1461959781,34,37
1462045934,37,0
1462134499,31,74
1462220856,42,37
1462307302,39,40
1462391775,40,37
1462480097,41,0
1462564573,39,37
1462653131,36,76
1462737613,40,0
1462825941,35,76
1462910438,37,0
1462995859,40,39
1463084655,37,40
1463169641,40,80
1463259628,37,39
1463344582,41,39
1463433136,37,40
1463521689,40,36
1463606655,41,40
1463695224,41,36
1463779698,39,38
1463866825,36,36
1463951539,35,38
1464038171,41,42
1464127221,39,41
1464213853,41,40
1464298345,41,0
1464386891,40,77
1464472096,40,39
1464556809,40,38
1464645142,42,39
1464729611,38,0
1464817933,38,38
1464902658,42,42
1464990979,37,43
1465075698,40,42
1465164253,32,75
1465300572,44,38
1465339214,42,40
1465423695,37,38
1465511553,42,40
1465596017,41,42
1465684579,42,36
1465770975,44,35
1465857867,39,0
1465942585,35,39
1466031138,44,81
1466116099,41,0
1466201089,40,85
1466289856,33,42
1466374337,34,0
1466462896,32,87
1466547373,38,0
1466635697,37,35
1466720179,30,42
1466808499,35,76
1466893219,38,0
1466981532,42,60
1467066502,46,0
1467151468,44,33
1467239773,41,42
1467324268,43,37
1467411400,36,34
1467672267,43,164
1467757213,42,44
1467841939,36,0
1467930754,34,86
1468015457,39,0
1468102583,41,36
1468191141,35,0
1468277533,38,39
1468362255,43,37
1468447695,46,36
1468536254,46,36
1468620977,44,44
1468709551,43,40
1468796431,41,40
1468882829,39,42
1468967299,46,45
1469052086,41,0
1469140344,40,45
1469224838,40,43
1469311239,40,42
1469397863,38,40
1469486176,35,40
1469570893,38,45
1469659217,46,77
1469743696,42,0
1469832009,40,82
1469916494,42,39
1470004812,41,39
1470091211,46,41
1470177852,45,42
1470262373,44,0
1470350660,47,83
1470435131,42,0
1470523453,41,85
1470607941,42,0
1470694573,42,42
1470782905,42,87
1470867232,43,45
1470955694,42,45
1471040424,41,38
1471128752,35,41
1471213233,43,44
1471301534,41,45
1471386030,37,0
1471474341,38,85
1471559056,39,0
1471648097,39,74
1471732811,40,0
1471817581,35,41
1471906341,35,81
1471992986,45,42
1472077711,38,0
1472166079,42,76
1472250734,43,0
1472337395,44,32
1472426418,41,81
1472510901,44,0
1472595614,42,41
1472683942,41,80
1472768901,40,0
1472857943,42,88
1472942410,42,43
1473031216,41,0
1473114019,44,38
1473202346,40,86
1473286819,43,0
1473375378,42,81
1473459859,46,0
1473548180,41,84
1473633146,42,0
1473719548,44,88
1473808106,42,41
1473893056,42,41
1473981620,42,45
1474066577,42,41
1474151293,46,0
1474239650,37,85
1474324101,42,0
1474412459,38,41
1474497141,38,41
1474585940,41,44
1474676431,42,85
1474765006,39,43
1474849456,42,38
1474936816,43,41
1475021296,39,40
1475109616,37,31
1475194811,37,41
1475279805,37,0
1475368343,32,39
1475453061,30,43
1475539459,40,39
1475627779,37,83
1475714656,35,38
1475801057,33,33
1475886088,46,33
1475974573,29,33
1476059308,35,31
1476144492,43,44
1476233055,37,38
1476317540,34,0
1476403944,36,31
1476492494,31,73
1476579151,35,0
1476663622,38,32
1476751941,31,80
1476836415,38,0
1476922809,40,73
1477009451,42,31
1477097775,43,35
1477182499,33,0
1477269140,41,79
1477357455,41,32
1477441935,37,38
1477530496,43,42
1477614970,44,44
1477703355,42,40
1477789946,40,39
1477873229,41,0
1477971146,43,80
1478047979,39,43
1478132656,40,0
1478221295,44,81
1478308345,43,44
1478392832,40,40
1478481380,43,41
1478566094,41,0
1478650573,38,43
1478739146,42,80
1478825769,39,0
1478910752,38,44
1478999001,43,79
1479083619,45,0
1479172109,42,84
1479257781,48,39
1479342506,44,0
1479430866,45,80
1479517466,43,43
1479602190,43,0
1479690977,45,86
1479775949,46,0
1479863303,44,92
1479947787,43,42
1480036347,46,46
1480120822,44,0
1480209373,43,83
1480294099,44,0
1480378828,44,48
1480465966,37,44
1480554523,44,94
1480639694,44,0
1480724425,44,45
1480813287,43,41
1480899689,43,83
1480986355,36,43
1481073701,43,45
1481157143,39,0
1481246430,39,81
1481331376,40,41
1481416587,40,0
1481505155,44,73
1481590104,46,0
1481678664,45,79
1481763151,45,40
1481848355,44,0
1481936658,39,86
1482021383,40,0
1482110198,43,91
1482195383,44,42
1482280100,45,0
1482367218,39,47
1482454108,36,85
1482539064,35,0
1482968423,43,205
1482987688,42,42
1483076661,40,41
1483162108,39,43
1483246883,44,0
1483335161,40,0
1483421551,38,0
1483509865,45,0
1483594584,46,83
1483679295,39,0
1483767627,43,76
1490858173,49,317
1490916491,46,0
1491004894,44,0
1491090028,42,0
1491174498,44,0
1491263059,39,0
1491347349,37,0
1491436096,43,0
1491521066,43,40
