DateTime,AddedIPs,RemovedIPs
1506094835,6,3
1506100235,6,9
1506105035,2,5
1506112233,8,8
1506115835,4,3
1506120036,2,8
1506126035,5,5
1506131437,3,7
1506138035,1,3
1506144635,4,13
1506149435,7,4
1506154834,0,9
1506160234,1,7
1506165635,0,1
1506171039,0,13
1506176435,7,6
1506184231,18,3
1506187835,12,3
1506191432,3,0
1506195035,3,4
1506199235,4,9
1506204035,1,7
1506207633,5,0
1506211235,2,8
1506215435,0,3
1506222037,13,4
1506226835,2,5
1506231635,1,1
1506237034,4,3
1506242435,13,10
1506247835,64,3
1506253834,27,7
1506259236,4,5
1506264635,12,6
1506270035,3,8
1506274835,4,7
1506280235,9,6
1506283833,28,0
1506289235,5,7
1506295234,7,5
1506300035,2,9
1506306635,2,7
1506311435,20,4
1506316835,10,11
1506322235,2,6
1506328236,4,5
1506333037,3,15
1506337835,6,10
1506343834,2,8
1506349235,9,8
1506354036,1,8
1506358835,5,4
1506362432,6,0
1506366635,5,0
1506372635,7,20
1506378035,10,6
1506383435,2,16
1506388835,4,15
1506394234,2,11
1506400234,2,11
1506405035,7,3
1506409836,3,9
1506415835,3,10
1506420636,1,8
1506431435,4,29
1506436835,3,4
1506441635,3,4
1506448832,6,6
1506452435,2,0
1506460232,3,13
1506465635,3,6
1506471036,5,3
1506477034,4,6
1506482435,3,5
1506487835,9,1
1506493235,14,13
1506498635,3,6
1506504034,6,6
1506513634,0,10
1506517835,2,9
1506523834,6,12
1506528634,5,4
1506534034,6,1
1506537632,5,0
1506543036,2,6
1506547835,5,9
1506555032,9,0
1506559235,5,11
1506565235,3,2
1506571235,4,0
1506576635,4,11
1506582035,2,12
1506587435,3,7
1506592236,2,5
1506597635,0,3
1506602434,1,7
1506608435,2,8
1506612635,3,3
1506616835,41,3
1506620432,15,5
1506625836,4,6
1506631235,3,1
1506640236,4,6
1506645638,1,4
1506652240,5,12
1506657642,4,3
1506662438,3,5
1506667236,3,0
1506672637,1,5
1506678037,3,7
1506681033,2,7
1506684635,1,0
1506689436,5,12
1506695435,2,0
1506700234,4,8
1506705035,1,0
1506709835,1,0
1506714035,8,11
1506717633,6,4
1506723035,2,3
1506728434,1,8
1506733835,1,6
1506740436,3,7
1506745836,4,10
1506750055,3,8
1506755435,1,3
1506761434,7,7
1506766835,2,4
1506771635,4,4
1506777636,6,8
1506782435,4,5
1506787834,5,1
1506792634,3,2
1506796232,0,2
1506800435,1,1
1506803433,4,0
1506807035,3,0
1506811235,7,8
1506816634,1,4
1506822635,2,5
1506828034,0,3
1506834035,54,3
1506838834,77,9
1506844234,6,3
1506849035,7,13
1506859835,4,14
1506865835,4,6
1506870636,6,4
1506876035,1,3
1506882035,7,5
1506889833,6,5
1506894036,1,9
1506897633,7,0
1506903034,4,6
1506909035,2,6
1506914435,2,11
1506920435,2,8
1506925835,47,5
1506930037,3,2
1506936035,2,8
1506941435,8,8
1506946835,4,12
1506953434,1,5
1506958836,13,5
1506963035,8,3
1506967835,4,5
1506973836,8,14
1506978636,0,5
1506982232,1,0
1506985835,3,11
1506991835,10,10
1506997235,5,10
1507003235,6,7
1507008636,2,6
1507014036,0,4
1507019435,8,7
1507024835,7,5
1507029635,7,9
1507035635,0,12
1507040435,4,0
1507045235,2,5
1507050634,5,9
1507054233,4,2
1507059636,5,12
1507063233,1,0
1507068636,2,4
1507074036,2,3
1507080035,1,4
1507085436,5,8
1507090835,4,5
1507096236,2,8
1507101634,3,15
1507107035,0,6
1507111834,5,11
1507117835,4,0
1507123835,1,7
1507128635,1,10
1507133435,2,0
1507138236,0,16
1507142438,4,3
1507147835,9,5
1507153239,3,9
1507158635,2,6
1507164035,3,0
1507170635,2,15
1507176034,4,7
1507180834,5,0
1507186235,1,15
1507191634,0,9
1507196435,1,5
1507201835,1,9
1507206034,9,6
1507211434,2,2
1507216835,1,5
1507221635,3,5
1507226435,2,15
1507230634,1,5
1507236035,11,7
1507239633,4,0
1507243235,152,0
1507249235,185,8
1507255236,29,9
1507260636,61,6
1507266036,4,12
1507271437,21,7
1507276836,17,5
1507281635,43,3
1507287035,4,9
1507293036,19,0
1507299035,7,3
1507305035,12,3
1507309835,23,5
1507315235,21,9
1507321235,5,9
1507326036,10,0
1507331435,4,4
1507335032,11,0
1507341635,9,13
1507347036,18,5
1507353035,3,4
1507359635,5,3
1507365035,2,6
1507370435,4,3
1507375235,4,4
1507380635,12,2
1507386635,6,3
1507392036,2,1
1507396835,3,2
1507401636,44,2
1507405232,12,0
1507410635,11,13
1507414233,17,0
1507419635,5,2
1507425635,5,9
1507432836,7,3
1507439435,21,7
1507446037,1,5
1507450835,6,8
1507456235,3,6
1507461635,3,0
1507467635,4,17
1507473036,4,7
1507477835,0,3
1507482635,35,8
1507488636,1,7
1507494036,12,3
1507498836,5,0
1507504836,124,6
1507510236,36,3
1507516835,23,5
1507525236,15,29
1507531836,5,0
1507538436,17,15
1507545635,14,6
1507553436,16,21
1507559435,8,15
1507564235,5,5
1507569635,2,4
1507575035,9,5
1507580435,11,7
1507585835,5,10
1507591836,36,4
1507597236,4,4
