DateTime,AddedIPs,RemovedIPs
1506115835,194,102
1506120036,114,84
1506126035,175,145
1506131437,187,162
1506138035,122,202
1506144635,216,472
1506149435,104,149
1506154834,120,138
1506160234,155,218
1506165635,103,109
1506171039,132,174
1506176435,218,289
1506184231,162,176
1506187835,119,73
1506191432,128,111
1506195035,98,62
1506199235,91,84
1506204035,250,138
1506207633,248,169
1506211235,132,85
1506215435,77,81
1506222037,177,250
1506226835,78,125
1506231635,108,111
1506237034,194,285
1506242435,192,192
1506247835,196,128
1506253834,215,174
1506259236,107,135
1506264635,124,147
1506270035,230,250
1506274835,161,164
1506280235,148,135
1506283833,163,83
1506289235,198,122
1506295234,119,116
1506300035,224,139
1506306635,233,251
1506311435,123,156
1506316835,166,197
1506322235,101,121
1506328236,148,184
1506333037,174,205
1506337835,156,167
1506343834,154,204
1506349235,143,165
1506354036,80,132
1506358835,127,93
1506362432,181,123
1506366635,204,147
1506372635,247,171
1506378035,196,115
1506383435,208,175
1506388835,135,147
1506394234,173,273
1506400234,175,260
1506405035,127,171
1506409836,119,122
1506415835,188,195
1506420636,107,129
1506426035,162,213
1506431435,193,210
1506436835,151,175
1506441635,141,116
1506448832,245,178
1506452435,70,56
1506460232,341,241
1506465635,263,175
1506471036,155,151
1506477034,185,215
1506482435,124,146
1506487835,186,222
1506493235,190,212
1506498635,191,215
1506504034,128,179
1506513634,206,265
1506517835,115,92
1506523834,209,237
1506528634,233,201
1506534034,212,134
1506537632,174,125
1506543036,140,122
1506547835,137,115
1506555032,317,216
1506559235,234,158
1506565235,195,180
1506571235,149,203
1506576635,125,161
1506582035,153,228
1506587435,163,227
1506592236,155,214
1506597635,130,167
1506602434,130,161
1506608435,106,132
1506612635,137,139
1506616835,182,111
1506620432,222,140
1506625836,228,182
1506631235,179,151
1506640236,249,186
1506645638,202,155
1506652240,209,318
1506657642,127,194
1506662438,124,190
1506667236,91,153
1506672637,99,110
1506678037,178,210
1506681033,170,87
1506684635,176,107
1506689436,179,135
1506695435,138,195
1506700234,88,143
1506705035,144,137
1506709835,183,136
1506714035,227,192
1506717633,123,82
1506723035,188,144
1506728434,138,149
1506733835,99,85
1506740436,252,266
1506745836,190,274
1506750055,144,166
1506755435,135,145
1506761434,130,154
1506766835,89,115
1506771635,159,228
1506777636,206,269
1506782435,129,145
1506787834,144,119
1506792634,158,79
1506796232,91,53
1506800435,149,116
1506803433,135,98
1506807035,240,153
1506811235,151,94
1506816634,170,126
1506822635,171,169
1506828034,110,139
1506834035,205,211
1506838834,281,266
1506844234,118,137
1506849035,133,138
1506859835,198,277
1506865835,215,265
1506870636,212,227
1506876035,154,134
1506882035,152,186
1506889833,232,160
1506894036,175,120
1506897633,230,135
1506903034,233,198
1506909035,166,162
1506914435,115,124
1506920435,111,158
1506925835,220,258
1506930037,254,255
1506936035,166,167
1506941435,116,191
1506946835,137,176
1506953434,142,138
1506958836,227,262
1506963035,195,211
1506967835,187,133
1506973836,161,163
1506978636,102,115
1506982232,76,67
1506985835,195,172
1506991835,329,244
1506997235,189,130
1507003235,165,156
1507008636,95,152
1507014036,109,147
1507019435,199,297
1507024835,192,224
1507029635,143,129
1507035635,126,190
1507040435,82,113
1507045235,87,135
1507050634,329,208
1507054233,219,161
1507059636,162,97
1507063233,121,106
1507068636,170,95
1507074036,129,107
1507080035,219,234
1507085436,283,254
1507090835,149,150
1507096236,138,208
1507101634,94,158
1507107035,118,149
1507111834,256,243
1507117835,257,239
1507123835,143,153
1507128635,133,164
1507133435,98,135
1507138236,193,136
1507142438,257,186
1507147835,272,210
1507153239,134,110
1507158635,141,136
1507164035,160,125
1507170635,182,237
1507176034,217,345
1507180834,106,138
1507186235,74,91
1507191634,139,202
1507196435,122,126
1507201835,175,187
1507206034,209,254
1507211434,145,165
1507216835,101,151
1507221635,128,124
1507226435,114,101
1507230634,117,125
1507236035,314,198
1507239633,158,93
1507243235,237,61
