DateTime,Entries,UniqueIPs
1506115835,1404,1404
1506120036,1434,1434
1506126035,1464,1464
1506131437,1489,1489
1506138035,1409,1409
1506144635,1153,1153
1506149435,1108,1108
1506154834,1090,1090
1506160234,1027,1027
1506165635,1021,1021
1506171039,979,979
1506176435,908,908
1506184231,894,894
1506187835,940,940
1506191432,957,957
1506195035,993,993
1506199235,1000,1000
1506204035,1112,1112
1506207633,1191,1191
1506211235,1238,1238
1506215435,1234,1234
1506222037,1161,1161
1506226835,1114,1114
1506231635,1111,1111
1506237034,1020,1020
1506242435,1020,1020
1506247835,1088,1088
1506253834,1129,1129
1506259236,1101,1101
1506264635,1078,1078
1506270035,1058,1058
1506274835,1055,1055
1506280235,1068,1068
1506283833,1148,1148
1506289235,1224,1224
1506295234,1227,1227
1506300035,1312,1312
1506306635,1294,1294
1506311435,1261,1261
1506316835,1230,1230
1506322235,1210,1210
1506328236,1174,1174
1506333037,1143,1143
1506337835,1132,1132
1506343834,1082,1082
1506349235,1060,1060
1506354036,1008,1008
1506358835,1042,1042
1506362432,1100,1100
1506366635,1157,1157
1506372635,1233,1233
1506378035,1314,1314
1506383435,1347,1347
1506388835,1335,1335
1506394234,1235,1235
1506400234,1150,1150
1506405035,1106,1106
1506409836,1103,1103
1506415835,1096,1096
1506420636,1074,1074
1506426035,1023,1023
1506431435,1006,1006
1506436835,982,982
1506441635,1007,1007
1506448832,1074,1074
1506452435,1088,1088
1506460232,1188,1188
1506465635,1276,1276
1506471036,1280,1280
1506477034,1250,1250
1506482435,1228,1228
1506487835,1192,1192
1506493235,1170,1170
1506498635,1146,1146
1506504034,1095,1095
1506513634,1036,1036
1506517835,1059,1059
1506523834,1031,1031
1506528634,1063,1063
1506534034,1141,1141
1506537632,1190,1190
1506543036,1208,1208
1506547835,1230,1230
1506555032,1331,1331
1506559235,1407,1407
1506565235,1422,1422
1506571235,1368,1368
1506576635,1332,1332
1506582035,1257,1257
1506587435,1193,1193
1506592236,1134,1134
1506597635,1097,1097
1506602434,1066,1066
1506608435,1040,1040
1506612635,1038,1038
1506616835,1109,1109
1506620432,1191,1191
1506625836,1237,1237
1506631235,1265,1265
1506640236,1328,1328
1506645638,1375,1375
1506652240,1266,1266
1506657642,1199,1199
1506662438,1133,1133
1506667236,1071,1071
1506672637,1060,1060
1506678037,1028,1028
1506681033,1111,1111
1506684635,1180,1180
1506689436,1224,1224
1506695435,1167,1167
1506700234,1112,1112
1506705035,1119,1119
1506709835,1166,1166
1506714035,1201,1201
1506717633,1242,1242
1506723035,1286,1286
1506728434,1275,1275
1506733835,1289,1289
1506740436,1275,1275
1506745836,1191,1191
1506750055,1169,1169
1506755435,1159,1159
1506761434,1135,1135
1506766835,1109,1109
1506771635,1040,1040
1506777636,977,977
1506782435,961,961
1506787834,986,986
1506792634,1065,1065
1506796232,1103,1103
1506800435,1136,1136
1506803433,1173,1173
1506807035,1260,1260
1506811235,1317,1317
1506816634,1361,1361
1506822635,1363,1363
1506828034,1334,1334
1506834035,1328,1328
1506838834,1343,1343
1506844234,1324,1324
1506849035,1319,1319
1506859835,1240,1240
1506865835,1190,1190
1506870636,1175,1175
1506876035,1195,1195
1506882035,1161,1161
1506889833,1233,1233
1506894036,1288,1288
1506897633,1383,1383
1506903034,1418,1418
1506909035,1422,1422
1506914435,1413,1413
1506920435,1366,1366
1506925835,1328,1328
1506930037,1327,1327
1506936035,1326,1326
1506941435,1251,1251
1506946835,1212,1212
1506953434,1216,1216
1506958836,1181,1181
1506963035,1165,1165
1506967835,1219,1219
1506973836,1217,1217
1506978636,1204,1204
1506982232,1213,1213
1506985835,1236,1236
1506991835,1321,1321
1506997235,1380,1380
1507003235,1389,1389
1507008636,1332,1332
1507014036,1294,1294
1507019435,1196,1196
1507024835,1164,1164
1507029635,1178,1178
1507035635,1114,1114
1507040435,1083,1083
1507045235,1035,1035
1507050634,1156,1156
1507054233,1214,1214
1507059636,1279,1279
1507063233,1294,1294
1507068636,1369,1369
1507074036,1391,1391
1507080035,1376,1376
1507085436,1405,1405
1507090835,1404,1404
1507096236,1334,1334
1507101634,1270,1270
1507107035,1239,1239
1507111834,1252,1252
1507117835,1270,1270
1507123835,1260,1260
1507128635,1229,1229
1507133435,1192,1192
1507138236,1249,1249
1507142438,1320,1320
1507147835,1382,1382
1507153239,1406,1406
1507158635,1411,1411
1507164035,1446,1446
1507170635,1391,1391
1507176034,1263,1263
1507180834,1231,1231
1507186235,1214,1214
1507191634,1151,1151
1507196435,1147,1147
1507201835,1135,1135
1507206034,1090,1090
1507211434,1070,1070
1507216835,1020,1020
1507221635,1024,1024
1507226435,1037,1037
1507230634,1029,1029
1507236035,1145,1145
1507239633,1210,1210
1507243235,1386,1386
1507249235,1541,1541
1507255236,1518,1518
1507260636,1520,1520
1507266036,1494,1494
1507271437,1449,1449
1507276836,1293,1293
1507281635,1320,1320
1507287035,1306,1306
1507293036,1318,1318
1507299035,1246,1246
1507305035,1200,1200
1507309835,1243,1243
1507315235,1285,1285
1507321235,1283,1283
1507326036,1311,1311
1507331435,1381,1381
1507335032,1452,1452
1507341635,1496,1496
1507347036,1470,1470
1507353035,1384,1384
1507359635,1322,1322
1507365035,1299,1299
1507370435,1248,1248
1507375235,1255,1255
1507380635,1287,1287
1507386635,1285,1285
1507392036,1260,1260
1507396835,1260,1260
1507401636,1391,1391
1507405232,1503,1503
1507410635,1623,1623
1507414233,1707,1707
1507419635,1767,1767
1507425635,1782,1782
1507432836,1632,1632
1507439435,1545,1545
1507446037,1466,1466
1507450835,1443,1443
1507456235,1408,1408
1507461635,1368,1368
1507467635,1335,1335
1507473036,1296,1296
1507477835,1239,1239
1507482635,1357,1357
1507488636,1413,1413
1507494036,1484,1484
1507498836,1527,1527
1507504836,1693,1693
1507510236,1840,1840
1507516835,1858,1858
1507525236,1786,1786
1507531836,1654,1654
1507538436,1539,1539
1507545635,1497,1497
1507553436,1389,1389
1507559435,1308,1308
1507564235,1284,1284
1507569635,1355,1355
1507575035,1406,1406
1507580435,1487,1487
1507585835,1575,1575
1507591836,1666,1666
1507597236,1729,1729
1507603236,1694,1694
1507610436,1545,1545
1507617036,1491,1491
1507622435,1479,1479
1507627835,1456,1456
1507632635,1444,1444
1507638636,1474,1474
1507644035,1418,1418
1507649436,1364,1364
1507653635,1409,1409
1507659636,1518,1518
1507664435,1530,1530
1507669836,1565,1565
1507673432,1613,1613
1507677036,1693,1693
1507683036,1729,1729
1507688436,1776,1776
1507695035,1698,1698
1507702835,1600,1600
1507708836,1565,1565
1507714835,1492,1492
1507719035,1462,1462
1507725036,1455,1455
1507731035,1414,1414
1507737635,1364,1364
1507742435,1353,1353
1507747235,1441,1441
1507752635,1500,1500
1507758635,1560,1560
1507764035,1599,1599
1507770035,1627,1627
1507776035,1575,1575
1507781434,1443,1443
1507788035,1398,1398
1507793434,1313,1313
1507798234,1294,1294
1507803635,1235,1235
1507809034,1258,1258
1507815034,1247,1247
1507819835,1237,1237
1507824639,1266,1266
1507830637,1369,1369
1507835435,1426,1426
1507841435,1455,1455
1507846835,1458,1458
1507852236,1510,1510
1507857635,1533,1533
1507863635,1483,1483
1507869033,1458,1458
1507873834,1444,1444
1507879833,1411,1411
1507885234,1384,1384
1507889434,1356,1356
1507895433,1283,1283
1507900834,1253,1253
1507906232,1242,1242
1507911033,1254,1254
1507916434,1316,1316
