DateTime,AddedIPs,RemovedIPs
1503086427,101,137
1503097824,68,115
1503110427,71,90
1503124825,66,186
1503138627,91,100
1503150028,244,91
1503161427,79,94
1503171627,77,86
1503183027,335,0
1503195026,107,75
1503205226,112,82
1503216629,144,89
1503228028,84,79
1503238828,83,87
1503249627,74,74
1503261028,181,84
1503271827,119,92
1503283226,87,112
1503295227,163,116
1503300028,52,70
1503311430,83,0
1503322228,89,67
1503333028,75,72
1503343227,81,62
1503354027,75,90
1503365427,148,78
1503376229,72,149
1503387032,49,29
1503397229,119,238
1503408628,60,0
1503418828,66,57
1503429628,145,62
1503440428,104,161
1503450627,73,85
1503462027,74,0
1503473429,79,91
1503486028,64,191
1503496828,61,96
1503506428,62,109
1503517827,67,101
1503531625,86,104
1503546027,81,164
1503557426,56,100
1503567630,87,131
1503578429,80,187
1503589228,59,111
1503600028,102,91
1503614426,106,117
1503624027,61,106
1503634226,61,83
1503645029,104,94
1503655828,94,99
1503666628,64,69
1503677427,129,80
1503688828,88,78
1503702026,119,72
1503711626,117,97
1503723027,63,82
1503736829,80,63
1503748229,87,70
1503758429,47,96
1503772228,78,72
1503783026,115,84
1503796227,88,87
1503810627,316,65
1503825028,335,194
1503837028,90,71
1503848428,137,89
1503860429,172,92
1503870627,98,86
1503881427,102,148
1503892826,146,0
1503903629,91,130
1503914428,77,128
1503925228,111,112
1503935428,63,88
1503946227,66,97
1503957027,125,0
1503967826,94,252
1503978626,69,125
1503988826,102,0
1504000248,80,184
1504011028,81,130
1504021828,93,146
1504035628,151,166
1504047028,112,71
1504057227,110,126
1504069227,128,90
1504079430,69,64
1504090830,66,71
1504101029,88,65
1504111228,54,93
1504122628,58,72
1504137027,144,117
1504147827,85,117
1504159227,70,107
1504169428,98,102
1504179628,74,107
1504190428,71,72
1504201228,100,67
1504212631,104,123
1504222826,91,81
1504234226,80,0
1504245026,80,97
1504255828,60,103
1504266028,48,160
1504277428,83,0
1504287628,68,165
1504302027,114,82
1504313427,143,76
1504324826,95,102
1504336829,66,72
1504347628,99,64
1504358428,82,73
1504372226,131,45
1504386628,113,53
1504397426,89,80
1504409427,60,72
1504419626,97,79
1504431029,85,96
1504441829,284,66
1504454429,111,62
1504464628,64,104
1504475428,104,59
1504486229,76,99
1504497627,105,119
1504508429,70,98
1504519228,68,113
1504529428,88,151
1504540829,76,117
1504550428,76,0
1504561827,128,84
1504573227,115,183
1504584027,83,97
1504594226,69,0
1504605029,115,89
1504617029,53,74
1504631428,105,130
1504642229,80,97
1504656627,116,67
1504668626,93,93
1504679427,70,100
1504690230,67,86
1504701029,74,92
1504711229,58,97
1504721428,74,67
1504733427,77,91
1504747827,166,133
1504758627,79,79
1504770029,57,90
1504779631,108,104
1504791628,76,55
1504806028,100,35
1504820426,131,48
1504831227,55,209
1504843227,116,0
1504854029,64,83
1504864229,52,83
1504876229,46,81
1504890629,86,92
1504904426,60,86
1504915825,126,55
1504927827,73,117
1504938027,40,48
1504948829,107,85
1504961429,197,94
1504974028,55,86
1504984827,109,55
1504995628,90,82
1505007027,79,68
1505017827,80,59
1505028629,64,98
1505039430,52,64
1505052629,171,91
1505064028,64,99
1505077828,71,47
1505087426,126,67
1505098827,90,125
1505109627,51,87
1505120430,114,104
1505130629,110,161
1505143829,78,59
1505154028,116,80
1505164829,125,81
1505175627,91,92
1505187627,128,74
1505199630,55,89
1505209229,70,76
