DateTime,Entries,UniqueIPs
1503086427,690,690
1503097824,675,675
1503110427,669,669
1503124825,645,645
1503138627,642,642
1503150028,838,838
1503161427,809,809
1503171627,817,817
1503183027,1054,1054
1503195026,1062,1062
1503205226,1027,1027
1503216629,964,964
1503228028,926,926
1503238828,864,864
1503249627,902,902
1503261028,1080,1080
1503271827,1125,1125
1503283226,1150,1150
1503295227,1105,1105
1503300028,1142,1142
1503311430,1066,1066
1503322228,960,960
1503333028,965,965
1503343227,1004,1004
1503354027,1077,1077
1503365427,1147,1147
1503376229,1114,1114
1503387032,1088,1088
1503397229,1142,1142
1503408628,1069,1069
1503418828,1049,1049
1503429628,1136,1136
1503440428,1155,1155
1503450627,1136,1136
1503462027,1079,1079
1503473429,1078,1078
1503486028,976,976
1503496828,832,832
1503506428,767,767
1503517827,786,786
1503531625,805,805
1503546027,799,799
1503557426,723,723
1503567630,745,745
1503578429,705,705
1503589228,683,683
1503600028,741,741
1503614426,789,789
1503624027,812,812
1503634226,715,715
1503645029,730,730
1503655828,732,732
1503666628,718,718
1503677427,768,768
1503688828,811,811
1503702026,847,847
1503711626,893,893
1503723027,853,853
1503736829,837,837
1503748229,765,765
1503758429,718,718
1503772228,716,716
1503783026,863,863
1503796227,891,891
1503810627,1087,1087
1503825028,1210,1210
1503837028,1107,1107
1503848428,1015,1015
1503860429,1103,1103
1503870627,1126,1126
1503881427,1220,1220
1503892826,1199,1199
1503903629,1178,1178
1503914428,1062,1062
1503925228,1006,1006
1503935428,862,862
1503946227,875,875
1503957027,983,983
1503967826,1037,1037
1503978626,971,971
1503988826,893,893
1504000248,883,883
1504011028,890,890
1504021828,927,927
1504035628,1056,1056
1504047028,1131,1131
1504057227,1172,1172
1504069227,1118,1118
1504079430,1057,1057
1504090830,991,991
1504101029,914,914
1504111228,851,851
1504122628,920,920
1504137027,1058,1058
1504147827,1087,1087
1504159227,1013,1013
1504169428,947,947
1504179628,926,926
1504190428,856,856
1504201228,943,943
1504212631,1005,1005
1504222826,1045,1045
1504234226,1048,1048
1504245026,975,975
1504255828,937,937
1504266028,900,900
1504277428,820,820
1504287628,868,868
1504302027,1016,1016
1504313427,1163,1163
1504324826,1142,1142
1504336829,1057,1057
1504347628,1022,1022
1504358428,969,969
1504372226,1009,1009
1504386628,1118,1118
1504397426,1279,1279
1504409427,1229,1229
1504419626,1199,1199
1504431029,1161,1161
1504441829,1271,1271
1504454429,1160,1160
1504464628,1101,1101
1504475428,1120,1120
1504486229,1216,1216
1504497627,1227,1227
1504508429,1111,1111
1504519228,1091,1091
1504529428,1068,1068
1504540829,958,958
1504550428,1035,1035
1504561827,1193,1193
1504573227,1313,1313
1504584027,1255,1255
1504594226,1174,1174
1504605029,1208,1208
1504617029,1064,1064
1504631428,1036,1036
1504642229,1135,1135
1504656627,1287,1287
1504668626,1216,1216
1504679427,1174,1174
1504690230,1121,1121
1504701029,969,969
1504711229,937,937
1504721428,961,961
1504733427,1141,1141
1504747827,1381,1381
1504758627,1328,1328
1504770029,1210,1210
1504779631,1121,1121
1504791628,1062,1062
1504806028,1068,1068
1504820426,1251,1251
1504831227,1306,1306
1504843227,1297,1297
1504854029,1271,1271
1504864229,1154,1154
1504876229,1058,1058
1504890629,1019,1019
1504904426,1068,1068
1504915825,1311,1311
1504927827,1335,1335
1504938027,1257,1257
1504948829,1254,1254
1504961429,1347,1347
1504974028,1205,1205
1504984827,1257,1257
1504995628,1414,1414
1505007027,1473,1473
1505017827,1438,1438
1505028629,1381,1381
1505039430,1261,1261
1505052629,1085,1085
1505064028,1018,1018
1505077828,1151,1151
1505087426,1308,1308
1505098827,1312,1312
1505109627,1263,1263
1505120430,1224,1224
1505130629,1312,1312
1505143829,1197,1197
1505154028,1361,1361
1505164829,1464,1464
1505175627,1505,1505
1505187627,1351,1351
1505199630,1199,1199
1505209229,1304,1304
1505221829,1160,1160
1505234429,1032,1032
1505245829,1143,1143
1505256028,1305,1305
1505267427,1326,1326
1505279427,1217,1217
1505291430,1211,1211
1505302229,1132,1132
1505315428,906,906
1505328627,1027,1027
1505339428,1076,1076
1505353827,1364,1364
1505366427,1279,1279
1505377829,1133,1133
1505388029,1081,1081
1505399429,955,955
1505409028,1012,1012
1505420428,1184,1184
1505430627,1258,1258
1505442626,1266,1266
1505453426,1180,1180
1505463629,1096,1096
1505476229,1140,1140
1505487629,1096,1096
1505497829,1167,1167
1505508628,1296,1296
1505520027,1435,1435
1505531427,1363,1363
1505542827,1265,1265
1505553629,1185,1185
1505564429,1171,1171
1505575228,1072,1072
1505586028,1117,1117
1505596228,1251,1251
1505607026,1407,1407
1505618427,1468,1468
1505629826,1388,1388
1505640629,1271,1271
1505651429,1140,1140
1505661628,1076,1076
1505672428,1167,1167
1505683228,1312,1312
1505694027,1303,1303
1505704826,1291,1291
1505716226,1248,1248
1505726429,1117,1117
1505737229,1127,1127
1505749229,1088,1088
1505760628,1094,1094
1505771428,1300,1300
1505782228,1388,1388
1505793628,1219,1219
1505804429,1098,1098
1505815229,1000,1000
1505826628,836,836
1505841028,786,786
1505851827,834,834
1505862627,1012,1012
1505874627,1058,1058
1505884227,981,981
1505895030,988,988
1505907031,979,979
1505917830,877,877
1505927429,860,860
1505938228,969,969
1505949027,959,959
1505960427,1099,1099
1505971227,1021,1021
1505982029,903,903
1505996429,887,887
1506007228,816,816
1506019228,1007,1007
1506030028,1041,1041
1506040827,1104,1104
1506052226,971,971
1506063026,895,895
1506073228,889,889
1506084628,860,860
1506094828,884,884
1506109228,1008,1008
1506120028,1248,1248
1506131428,1294,1294
1506144627,964,964
1506154829,902,902
1506165629,844,844
1506176429,752,752
1506187828,789,789
1506199228,850,850
1506211227,1067,1067
1506222027,982,982
1506231626,928,928
1506242429,853,853
1506253829,964,964
1506264629,911,911
1506280228,897,897
1506289228,1050,1050
1506300028,1122,1122
1506311427,1068,1068
1506322227,1017,1017
1506333030,962,962
1506343829,915,915
1506354030,846,846
1506366628,986,986
1506378028,1136,1136
1506388827,1151,1151
1506400227,970,970
1506409830,926,926
1506420629,909,909
1506431428,839,839
1506445827,874,874
1506460226,1035,1035
1506471027,1108,1108
1506482426,1059,1059
1506493226,1004,1004
1506504029,949,949
1506517829,920,920
1506528628,924,924
1506543029,1054,1054
1506555026,1167,1167
1506565227,1249,1249
1506576627,1158,1158
1506587429,1025,1025
1506597629,931,931
1506608428,879,879
1506620426,1023,1023
1506631228,1086,1086
1506645627,1196,1196
1506657626,1020,1020
1506667227,897,897
1506681028,951,951
1506695429,1004,1004
1506709828,994,994
1506723028,1112,1112
1506733827,1116,1116
1506745827,1006,1006
1506755429,977,977
1506766828,929,929
1506777629,804,804
1506787828,814,814
1506800428,964,964
1506811227,1135,1135
1506822626,1175,1175
1506834026,1131,1131
1506844229,1124,1124
1506849029,1125,1125
1506859829,1052,1052
1506870629,1014,1014
1506882028,994,994
1506894028,1116,1116
1506903026,1234,1234
1506914427,1228,1228
1506925827,1152,1152
1506936029,1161,1161
1506946829,1052,1052
1506958829,1017,1017
1506967829,1057,1057
1506982226,1048,1048
1506991827,1149,1149
1507003227,1213,1213
1507014030,1119,1119
1507024830,1014,1014
1507035629,968,968
1507045228,890,890
1507059628,1107,1107
1507074028,1214,1214
1507085427,1239,1239
1507096226,1166,1166
1507107029,1078,1078
1507117829,1097,1097
1507128628,1061,1061
1507142428,1146,1146
1507153231,1222,1222
1507164027,1262,1262
1507176026,1062,1062
1507186227,1016,1016
1507196429,949,949
1507206029,915,915
1507216828,839,839
1507230628,848,848
1507243228,1149,1149
1507255227,1262,1262
1507266027,1212,1212
1507276829,1086,1086
1507287029,1092,1092
1507299029,1038,1038
1507309828,1031,1031
1507321228,1074,1074
1507335025,1245,1245
1507347027,1265,1265
1507359629,1118,1118
1507370429,1062,1062
1507380628,1096,1096
1507392029,1070,1070
1507405226,1303,1303
1507419627,1559,1559
1507432827,1424,1424
1507446031,1227,1227
1507456229,1177,1177
1507467628,1116,1116
1507477828,1053,1053
1507488628,1219,1219
1507498828,1326,1326
1507510227,1618,1618
1507516826,1630,1630
1507525226,1560,1560
1507538428,1321,1321
1507545628,1292,1292
1507559428,1102,1102
1507569627,1152,1152
1507580427,1273,1273
1507591827,1457,1457
1507603227,1471,1471
1507617026,1263,1263
1507627829,1229,1229
1507638629,1259,1259
1507649428,1159,1159
1507659628,1320,1320
1507673425,1405,1405
1507683027,1504,1504
1507695026,1469,1469
1507708829,1344,1344
1507719028,1251,1251
1507731028,1215,1215
1507742427,1147,1147
1507752627,1295,1295
1507764027,1378,1378
1507776026,1350,1350
1507788026,1164,1164
1507798229,1081,1081
1507809028,1056,1056
1507824633,1065,1065
1507835428,1216,1216
1507846827,1245,1245
1507857626,1316,1316
1507869026,1224,1224
1507879829,1187,1187
1507889429,1132,1132
1507900829,1059,1059
1507911027,1058,1058
1507921828,1183,1183
1507934426,1452,1452
1507947027,1403,1403
1507959027,1271,1271
1507969828,1129,1129
1507980028,1015,1015
1507990828,1046,1046
1508004628,1145,1145
1508015427,1244,1244
1508026226,1317,1317
1508038826,1233,1233
1508048425,1178,1178
1508059229,1114,1114
1508070628,1043,1043
1508080827,962,962
1508094627,1108,1108
1508109025,1240,1240
1508119826,1416,1416
1508130626,1254,1254
1508142029,1237,1237
1508152828,1084,1084
1508164828,1056,1056
1508176228,1002,1002
1508190025,1182,1182
1508201427,1250,1250
1508212826,1210,1210
1508223025,1106,1106
1508233828,1082,1082
1508245229,973,973
1508255428,943,943
