DateTime,AddedIPs,RemovedIPs
1506115833,15,0
1506120033,19,0
1506126033,18,0
1506131434,16,0
1506138032,10,0
1506144633,11,0
1506149432,15,0
1506154832,13,0
1506160232,15,0
1506165632,13,0
1506171036,10,0
1506176432,9,11
1506184229,13,26
1506187832,8,0
1506191429,11,10
1506195032,13,7
1506199232,14,27
1506204033,7,0
1506207630,11,0
1506211232,10,10
1506215432,13,10
1506222034,13,12
1506226832,11,10
1506231632,13,7
1506237032,11,13
1506242432,7,14
1506247833,14,13
1506253832,10,10
1506259233,12,11
1506264633,5,12
1506270033,9,9
1506274832,16,21
1506280232,11,10
1506283830,12,0
1506289232,14,14
1506295232,10,25
1506300032,8,12
1506306632,10,12
1506311432,11,13
1506316832,11,9
1506322233,7,11
1506328233,9,11
1506333033,11,8
1506337832,11,13
1506343832,6,11
1506349232,9,12
1506354033,12,8
1506358833,17,13
1506362430,11,0
1506366632,8,12
1506372633,8,28
1506378032,14,15
1506383432,13,9
1506388832,9,12
1506394232,11,11
1506400232,13,12
1506405032,13,6
1506409833,9,10
1506415832,12,9
1506420633,11,7
1506426032,8,10
1506431432,11,10
1506436833,9,7
1506441633,14,10
1506448830,12,24
1506452432,9,0
1506460230,12,12
1506465632,11,25
1506471033,16,12
1506477032,14,13
1506482432,8,8
1506487832,9,13
1506493232,10,11
1506498632,9,7
1506504032,14,9
1506513632,12,22
1506517832,9,8
1506523832,14,0
1506528632,10,26
1506534032,16,10
1506537629,15,0
1506543033,11,12
1506547832,10,13
1506555030,11,14
1506559233,10,11
1506565232,14,15
1506571232,16,14
1506576632,11,14
1506582032,8,8
1506587433,12,12
1506592233,16,13
1506597633,11,0
1506602431,12,11
1506608433,12,8
1506612632,10,14
1506616833,9,12
1506620430,10,0
1506625833,8,21
1506631233,14,8
1506640233,7,12
1506645635,11,13
1506652236,9,22
1506657637,11,14
1506662434,11,11
1506667234,10,0
1506672635,13,12
1506678034,12,8
1506681030,10,13
1506684632,14,0
1506689433,11,23
1506695432,10,12
1506700232,11,12
1506705032,8,22
1506709832,16,0
1506714032,12,13
1506717630,9,0
1506723032,12,19
1506728432,11,0
1506733832,10,10
1506740433,8,9
1506745833,13,10
1506750032,8,7
1506755432,9,10
1506761432,8,9
1506766832,11,23
1506771633,10,12
1506777633,13,10
1506782432,8,10
1506787832,7,10
1506792632,11,10
1506796230,8,0
1506800433,12,12
1506803430,11,7
1506807033,11,10
1506811232,17,12
1506816632,14,11
1506822632,10,12
1506828032,11,9
1506834032,18,12
1506838831,10,11
1506844232,8,6
1506849032,15,10
1506859832,11,15
1506865832,13,20
1506870633,9,6
1506876033,12,9
1506882032,13,24
1506889830,10,15
1506894033,10,20
1506897630,13,0
1506903032,7,29
1506909032,10,0
1506914432,13,24
1506920433,7,0
1506925833,15,11
1506930034,8,19
1506936033,9,0
1506941432,14,12
1506946833,9,13
1506953432,15,7
1506958833,8,13
1506963033,12,15
1506967833,11,9
1506973833,15,0
1506978633,14,11
1506982229,7,0
1506985832,12,23
1506991832,10,12
1506997232,10,11
1507003232,12,16
1507008633,11,7
1507014033,8,11
1507019433,10,8
1507024833,10,12
1507029633,11,10
1507035632,8,10
1507040433,10,12
1507045232,10,8
1507050632,16,9
1507054230,10,0
1507059633,11,16
1507063230,10,12
1507068632,9,20
1507074033,12,12
1507080032,12,11
1507085433,13,12
1507090832,11,14
1507096232,8,14
1507101632,13,12
1507107032,9,10
1507111831,7,9
1507117832,8,12
1507123832,12,9
1507128632,11,10
1507133432,10,13
1507138233,5,10
1507142432,12,11
1507147833,11,23
1507153236,14,0
1507158632,12,11
1507164032,8,10
1507170632,8,10
1507176032,17,12
1507180832,14,10
1507186233,11,6
1507191632,14,11
1507196432,11,15
1507201832,7,9
1507206032,7,9
1507211432,10,11
1507216832,8,7
1507221632,9,8
1507226432,7,6
1507230632,9,13
1507236032,9,14
1507239630,9,0
1507243233,18,13
1507249232,14,13
1507255232,8,10
1507260633,17,9
1507266033,13,12
1507271434,13,12
1507276833,12,11
1507281632,10,16
1507287032,6,9
1507293033,15,11
1507299033,10,23
1507305032,16,11
1507309833,11,6
1507315232,14,12
1507321232,8,13
1507326033,17,21
1507331432,15,8
1507335029,10,0
1507341632,11,12
1507347033,11,26
1507353033,9,0
1507359632,11,22
1507365032,14,14
1507370432,13,8
1507375233,9,10
1507380632,9,13
1507386632,13,7
1507392033,11,15
1507396832,9,12
1507401633,13,13
1507405229,14,0
1507410633,13,8
1507414230,9,0
1507419632,12,41
1507425632,13,0
1507432833,8,11
1507439432,13,12
1507446034,15,26
1507450832,13,0
1507456232,14,12
1507461632,11,10
1507467632,13,12
1507473033,9,19
1507477832,11,0
1507482632,14,10
1507488633,16,22
1507494033,10,14
1507498833,11,24
1507504833,16,0
1507510232,12,16
1507516832,13,10
1507525232,14,23
1507531833,7,0
1507538432,11,14
1507545632,12,25
1507553433,7,13
1507559432,13,14
1507564232,12,17
1507569632,17,0
1507575032,12,17
1507580432,18,15
1507585832,12,14
1507591833,17,13
1507597233,9,28
1507603233,9,7
1507610433,10,0
1507617033,11,13
1507622432,13,12
1507627832,12,11
1507632632,16,10
1507638633,2,0
1507644032,10,14
1507649433,9,11
1507653632,10,14
1507659632,13,14
1507664432,12,9
1507669833,9,11
1507673429,15,0
1507677033,9,10
1507683033,11,15
1507688433,15,6
1507695032,11,11
1507702832,15,20
1507708833,10,0
1507714832,9,22
1507719032,14,17
1507725033,10,11
1507731032,7,0
1507737633,15,21
1507742432,14,11
1507747233,14,0
1507752632,12,26
1507758633,11,23
1507764032,15,12
1507770032,17,13
1507776032,12,11
1507781432,16,7
1507788032,12,0
1507793432,12,15
1507798232,12,12
1507803632,13,12
1507809032,12,13
1507815032,12,16
1507819832,12,9
1507824637,15,14
1507830634,12,10
1507835433,9,9
1507841433,14,13
1507846831,10,12
1507852233,14,13
1507857632,11,17
1507863633,11,15
1507869031,12,12
1507873830,8,11
1507879831,12,0
1507885232,10,13
1507889431,7,23
1507895431,13,0
1507900832,11,11
1507906230,12,7
