DateTime,Entries,UniqueIPs
1505661633,2461,2481
1505667033,2458,2478
1505672433,2458,2478
1506079232,2178,2196
1506090033,2182,2200
1506094832,2182,2200
1506100232,2184,2202
1506105032,2179,2197
1506112230,2177,2195
1506115833,2182,2200
1506120033,2186,2204
1506126033,2184,2202
1506131434,2188,2206
1506138032,2187,2205
1506144633,2186,2204
1506149432,2184,2202
1506154832,2187,2203
1506160232,2184,2200
1506165632,2187,2203
1506171036,2182,2198
1506176432,2181,2197
1506184229,2183,2199
1506187832,2186,2202
1506191429,2189,2205
1506195032,2186,2203
1506199232,2189,2207
1506204033,2185,2203
1506207630,2190,2208
1506211232,2188,2206
1506215432,2189,2207
1506222034,2191,2209
1506226832,2185,2203
1506231632,2186,2204
1506237032,2190,2208
1506242432,2193,2211
1506247833,2194,2212
1506253832,2196,2214
1506259233,2194,2212
1506264633,2194,2212
1506270033,2191,2209
1506274832,2197,2215
1506280232,2203,2221
1506283830,2201,2219
1506289232,2205,2223
1506295232,2200,2218
1506300032,2202,2220
1506306632,2203,2221
1506311432,2203,2220
1506316832,2201,2218
1506322233,2194,2211
1506328233,2196,2213
1506333033,2194,2211
1506337832,2192,2209
1506343832,2191,2207
1506349232,2189,2205
1506354033,2193,2209
1506358833,2193,2209
1506362430,2195,2211
1506366632,2198,2214
1506372633,2189,2205
1506378032,2184,2205
1506383432,2182,2203
1506388832,2179,2201
1506394232,2178,2200
1506400232,2178,2201
1506405032,2176,2199
1506409833,2175,2198
1506415832,2179,2202
1506420633,2173,2196
1506426032,2174,2197
1506431432,2174,2197
1506436833,2175,2198
1506441633,2179,2202
1506448830,2181,2204
1506452432,2184,2207
1506460230,2179,2202
1506465632,2181,2204
1506471033,2181,2204
1506477032,2179,2202
1506482432,2179,2202
1506487832,2182,2205
1506493232,2179,2202
1506498632,2177,2200
1506504032,2170,2193
1506513632,2165,2188
1506517832,2163,2186
1506523832,2167,2190
1506528632,2169,2192
1506534032,2166,2188
1506537629,2170,2192
1506543033,2168,2190
1506547832,2170,2192
1506555030,2169,2191
1506559233,2164,2186
1506565232,2168,2190
1506571232,2164,2186
1506576632,2164,2186
1506582032,2168,2190
1506587433,2169,2191
1506592233,2171,2194
1506597633,2172,2195
1506602431,2176,2199
1506608433,2173,2196
1506612632,2170,2193
1506616833,2174,2197
1506620430,2176,2199
1506625833,2169,2192
1506631233,2171,2194
1506640233,2167,2190
1506645635,2162,2185
1506652236,2160,2184
1506657637,2162,2186
1506662434,2159,2183
1506667234,2156,2180
1506672635,2157,2181
1506678034,2158,2182
1506681030,2162,2186
1506684632,2159,2183
1506689433,2162,2186
1506695432,2162,2186
1506700232,2163,2187
1506705032,2163,2187
1506709832,2165,2189
1506714032,2163,2187
1506717630,2166,2190
1506723032,2170,2194
1506728432,2168,2192
1506733832,2168,2192
1506740433,2165,2189
1506745833,2164,2188
1506750032,2164,2188
1506755432,2167,2191
1506761432,2164,2188
1506766832,2164,2188
1506771633,2156,2180
1506777633,2157,2181
1506782432,2157,2181
1506787832,2158,2182
1506792632,2157,2181
1506796230,2158,2182
1506800433,2153,2178
1506803430,2154,2179
1506807033,2152,2177
1506811232,2152,2178
1506816632,2151,2177
1506822632,2151,2177
1506828032,2151,2177
1506834032,2157,2183
1506838831,2160,2186
1506844232,2161,2187
1506849032,2165,2190
1506859832,2158,2183
1506865832,2160,2185
1506870633,2160,2184
1506876033,2163,2187
1506882032,2165,2191
1506889830,2164,2190
1506894033,2163,2189
1506897630,2168,2194
1506903032,2169,2197
1506909032,2170,2198
1506914432,2168,2196
1506920433,2168,2196
1506925833,2168,2195
1506930034,2166,2193
1506936033,2165,2192
1506941432,2166,2193
1506946833,2163,2190
1506953432,2159,2186
1506958833,2157,2184
1506963033,2151,2178
1506967833,2155,2182
1506973833,2157,2184
1506978633,2154,2181
1506982229,2155,2182
1506985832,2159,2186
1506991832,2151,2178
1506997232,2151,2178
1507003232,2147,2174
1507008633,2147,2174
1507014033,2149,2176
1507019433,2149,2176
1507024833,2148,2175
1507029633,2146,2173
1507035632,2147,2174
1507040433,2140,2167
1507045232,2142,2169
1507050632,2145,2172
1507054230,2146,2173
1507059633,2141,2168
1507063230,2145,2172
1507068632,2141,2168
1507074033,2141,2168
1507080032,2137,2164
1507085433,2138,2165
1507090832,2138,2165
1507096232,2134,2161
1507101632,2130,2157
1507107032,2134,2162
1507111831,2133,2161
1507117832,2131,2159
1507123832,2132,2160
1507128632,2134,2162
1507133432,2132,2160
1507138233,2129,2157
1507142432,2129,2157
1507147833,2129,2157
1507153236,2130,2158
1507158632,2129,2157
1507164032,2132,2160
1507170632,2129,2157
1507176032,2129,2157
1507180832,2133,2161
1507186233,2137,2165
1507191632,2134,2162
1507196432,2131,2159
1507201832,2128,2156
1507206032,2127,2155
1507211432,2124,2152
