DateTime,AddedIPs,RemovedIPs
1506115833,26,26
1506120033,25,25
1506126033,25,26
1506131434,25,25
1506138032,23,25
1506144633,23,22
1506149432,23,21
1506154832,23,24
1506160232,24,25
1506165632,25,24
1506171036,23,25
1506176432,22,20
1506184229,26,25
1506187832,18,21
1506191429,22,21
1506195032,22,22
1506199232,24,21
1506204033,22,25
1506207630,21,20
1506211232,21,20
1506215432,23,24
1506222034,23,23
1506226832,19,22
1506231632,25,22
1506237032,25,24
1506242432,21,24
1506247833,24,22
1506253832,24,25
1506259233,25,24
1506264633,23,25
1506270033,22,19
1506274832,25,26
1506280232,22,23
1506283830,22,24
1506289232,25,22
1506295232,25,23
1506300032,22,25
1506306632,25,24
1506311432,24,25
1506316832,24,24
1506322233,19,20
1506328233,22,22
1506333033,23,23
1506337832,23,23
1506343832,24,23
1506349232,21,21
1506354033,23,23
1506358833,26,24
1506362430,24,24
1506366632,22,23
1506372633,24,25
1506378032,26,23
1506383432,24,26
1506388832,19,21
1506394232,24,22
1506400232,23,24
1506405032,24,23
1506409833,23,25
1506415832,22,22
1506420633,20,21
1506426032,21,17
1506431432,20,24
1506436833,23,20
1506441633,24,23
1506448830,22,24
1506452432,22,20
1506460230,22,26
1506465632,26,22
1506471033,25,26
1506477032,25,25
1506482432,23,23
1506487832,26,25
1506493232,18,20
1506498632,22,23
1506504032,22,21
1506513632,24,24
1506517832,22,23
1506523832,22,19
1506528632,21,23
1506534032,22,21
1506537629,25,24
1506543033,24,25
1506547832,23,24
1506555030,25,24
1506559233,23,24
1506565232,26,24
1506571232,24,24
1506576632,21,24
1506582032,23,21
1506587433,24,25
1506592233,27,24
1506597633,26,27
1506602431,24,26
1506608433,24,24
1506612632,23,23
1506616833,19,21
1506620430,21,19
1506625833,22,23
1506631233,24,23
1506640233,19,19
1506645635,25,24
1506652236,22,24
1506657637,24,23
1506662434,21,21
1506667234,23,23
1506672635,24,22
1506678034,25,26
1506681030,19,21
1506684632,25,23
1506689433,24,24
1506695432,24,25
1506700232,24,23
1506705032,21,24
1506709832,25,22
1506714032,22,23
1506717630,22,22
1506723032,25,23
1506728432,25,26
1506733832,24,25
1506740433,26,24
1506745833,23,24
1506750032,22,23
1506755432,22,23
1506761432,23,23
1506766832,26,23
1506771633,24,26
1506777633,22,21
1506782432,22,23
1506787832,20,22
1506792632,23,20
1506796230,25,23
1506800433,26,27
1506803430,22,24
1506807033,24,24
1506811232,26,24
1506816632,24,23
1506822632,25,26
1506828032,21,24
1506834032,26,23
1506838831,22,25
1506844232,23,23
1506849032,26,23
1506859832,26,26
1506865832,24,26
1506870633,23,22
1506876033,26,25
1506882032,25,26
1506889830,24,24
1506894033,24,24
