DateTime,Entries,UniqueIPs
1508507289,5219,5219
1508507765,5218,5218
1508508251,5227,5227
1508508725,5218,5218
1508509205,5220,5220
1508509689,5216,5216
1508510171,5219,5219
1508510648,5218,5218
1508511124,5217,5217
1508511616,5223,5223
1508512091,5222,5222
1508512568,5221,5221
1508513045,5217,5217
1508513526,5232,5232
1508514008,5221,5221
1508514484,5214,5214
1508514966,5221,5221
1508515446,5219,5219
1508515930,5217,5217
1508516406,5221,5221
1508516890,5220,5220
1508517368,5219,5219
1508517848,5219,5219
1508518328,5209,5209
1508518809,5224,5224
1508519288,5218,5218
1508519767,5222,5222
1508520249,5216,5216
1508520728,5229,5229
1508521205,5225,5225
1508521687,5220,5220
1508522165,5220,5220
1508522647,5220,5220
1508523126,5215,5215
1508523609,5220,5220
1508525296,5222,5222
1508525768,5207,5207
1508526249,5223,5223
1508526724,5211,5211
1508527208,5228,5228
1508527689,5214,5214
1508528164,5223,5223
1508528644,5216,5216
1508529129,5221,5221
1508529622,5218,5218
1508530087,5218,5218
1508530565,5221,5221
1508531046,5219,5219
1508531537,5223,5223
1508532004,5216,5216
1508532484,5217,5217
1508532966,5218,5218
1508533453,5218,5218
1508533928,5229,5229
1508534404,5220,5220
1508534889,5220,5220
1508535367,5221,5221
1508535846,5214,5214
1508536325,5222,5222
1508536818,5215,5215
1508537289,5217,5217
1508537768,5222,5222
1508538245,5215,5215
1508538724,5220,5220
1508539209,5214,5214
1508539684,5214,5214
1508540166,5213,5213
1508540646,5224,5224
1508541128,5216,5216
1508541605,5217,5217
1508542084,5216,5216
1508542564,5211,5211
1508543047,5219,5219
1508543524,5223,5223
1508544015,5220,5220
1508544485,5212,5212
1508544967,5216,5216
1508545930,5213,5213
1508546405,5217,5217
1508546892,5220,5220
1508547365,5218,5218
1508547847,5226,5226
1508548325,5213,5213
1508548812,5219,5219
1508549286,5209,5209
1508549764,5211,5211
1508550245,5210,5210
1508550733,5215,5215
1508551218,5211,5211
1508551685,5215,5215
1508552168,5229,5229
1508552649,5219,5219
1508553126,5222,5222
1508553606,5225,5225
1508554090,5212,5212
1508554573,5222,5222
1508555047,5216,5216
1508555528,5232,5232
1508556005,5217,5217
1508556733,5224,5224
1508557205,5217,5217
1508557685,5220,5220
1508558418,5214,5214
1508558887,5209,5209
1508559368,5225,5225
1508559846,5215,5215
1508560330,5220,5220
1508560805,5222,5222
1508561285,5214,5214
1508561765,5221,5221
1508562252,5216,5216
1508562728,5220,5220
1508563205,5226,5226
1508563686,5222,5222
1508564165,5232,5232
1508564648,5211,5211
1508565124,5221,5221
1508565611,5221,5221
1508566087,5224,5224
1508566565,5220,5220
1508567045,5218,5218
1508567530,5220,5220
1508568489,5213,5213
1508569221,5224,5224
1508569687,5214,5214
1508570170,5226,5226
1508570644,5218,5218
1508571128,5234,5234
1508571604,5219,5219
1508572090,5221,5221
1508572566,5223,5223
1508573290,5224,5224
1508573769,5223,5223
1508574490,5228,5228
1508574965,5225,5225
1508575449,5213,5213
1508575924,5220,5220
1508576423,5234,5234
1508576889,5222,5222
1508577367,5229,5229
1508577848,5225,5225
1508578329,5215,5215
1508578808,5222,5222
1508579285,5225,5225
1508579769,5224,5224
1508580251,5227,5227
1508580724,5207,5207
1508581446,5223,5223
1508581926,5225,5225
1508582650,5225,5225
1508583126,5224,5224
1508583607,5226,5226
1508584088,5226,5226
1508584564,5223,5223
1508585045,5215,5215
1508585525,5217,5217
1508586009,5223,5223
1508586488,5232,5232
1508586968,5224,5224
1508587446,5219,5219
1508587931,5226,5226
1508588405,5213,5213
1508589130,5224,5224
1508589604,5212,5212
1508590086,5219,5219
1508590566,5220,5220
1508591051,5231,5231
1508591525,5222,5222
1508592004,5219,5219
1508592489,5226,5226
1508592965,5225,5225
1508593448,5220,5220
1508593927,5222,5222
1508594408,5221,5221
1508594886,5220,5220
1508595365,5225,5225
1508595851,5209,5209
1508596327,5218,5218
1508596806,5222,5222
1508597288,5214,5214
1508597773,5221,5221
1508598247,5220,5220
1508598725,5235,5235
1508599208,5214,5214
1508599689,5211,5211
1508600164,5223,5223
1508600645,5214,5214
1508601124,5219,5219
1508601622,5221,5221
1508602087,5215,5215
1508602566,5218,5218
1508603045,5228,5228
1508603533,5220,5220
1508604004,5224,5224
1508604484,5212,5212
1508604966,5220,5220
1508605451,5222,5222
1508605925,5216,5216
1508606408,5221,5221
1508606888,5219,5219
1508607367,5211,5211
1508607847,5219,5219
1508608324,5218,5218
1508608812,5222,5222
1508609291,5218,5218
1508609768,5224,5224
1508610245,5222,5222
1508610728,5220,5220
1508611208,5221,5221
1508611685,5222,5222
1508612165,5224,5224
1508612646,5220,5220
1508613134,5213,5213
1508613609,5213,5213
1508614086,5217,5217
1508614564,5210,5210
1508615050,5218,5218
1508615525,5217,5217
1508616007,5222,5222
1508616485,5211,5211
1508616973,5222,5222
1508617445,5224,5224
1508617930,5220,5220
1508618405,5223,5223
1508618887,5212,5212
1508619369,5217,5217
1508619845,5227,5227
1508620327,5214,5214
1508620809,5220,5220
1508621289,5220,5220
1508621765,5221,5221
1508622249,5221,5221
1508622729,5222,5222
1508623209,5224,5224
1508623689,5221,5221
1508624165,5215,5215
1508624893,5223,5223
1508625365,5213,5213
1508625849,5223,5223
1508626325,5212,5212
1508626826,5219,5219
1508627287,5225,5225
1508627768,5217,5217
1508628244,5218,5218
1508628727,5213,5213
1508629206,5217,5217
1508629689,5222,5222
1508630164,5214,5214
1508630648,5219,5219
1508631365,5213,5213
1508631846,5220,5220
1508632325,5223,5223
1508632806,5214,5214
1508633285,5223,5223
1508633765,5219,5219
1508634490,5212,5212
1508634964,5210,5210
1508635449,5202,5202
1508635925,5211,5211
1508636410,5210,5210
1508636885,5214,5214
1508637365,5209,5209
1508637847,5210,5210
1508638326,5203,5203
1508638804,5210,5210
1508639287,5212,5212
1508640007,5211,5211
1508640492,5211,5211
1508640965,5221,5221
1508641452,5207,5207
1508641928,5212,5212
1508642406,5221,5221
1508642891,5213,5213
1508643365,5205,5205
1508643849,5216,5216
1508644330,5211,5211
1508644810,5210,5210
1508645289,5209,5209
1508645770,5216,5216
1508646246,5215,5215
1508646726,5213,5213
1508647206,5213,5213
1508647687,5213,5213
1508648169,5209,5209
1508648648,5217,5217
1508649125,5216,5216
1508649609,5214,5214
1508650090,5210,5210
1508650566,5213,5213
1508651047,5216,5216
1508651527,5222,5222
1508652021,5220,5220
1508652487,5213,5213
1508652968,5212,5212
1508653445,5211,5211
1508653932,5228,5228
1508654405,5210,5210
1508654889,5216,5216
1508655365,5208,5208
1508655854,5223,5223
1508656326,5210,5210
1508656815,5213,5213
1508657286,5209,5209
1508657768,5218,5218
1508658245,5208,5208
1508658727,5213,5213
1508659209,5218,5218
1508659690,5213,5213
1508660169,5216,5216
1508660644,5215,5215
1508661128,5208,5208
1508661607,5216,5216
1508662085,5210,5210
1508662566,5211,5211
1508663047,5215,5215
1508663527,5225,5225
1508664005,5216,5216
1508664487,5213,5213
1508664965,5228,5228
1508665446,5214,5214
1508665925,5211,5211
1508666416,5215,5215
1508666889,5213,5213
1508667368,5215,5215
1508667845,5208,5208
1508668326,5209,5209
1508668810,5215,5215
1508669296,5205,5205
1508669766,5218,5218
1508670247,5214,5214
1508670728,5216,5216
1508671207,5211,5211
1508671687,5216,5216
1508672166,5212,5212
1508672647,5217,5217
1508673127,5213,5213
1508673611,5219,5219
1508674086,5213,5213
1508674564,5206,5206
1508675052,5216,5216
1508675525,5225,5225
1508676005,5215,5215
1508676485,5214,5214
1508676972,5224,5224
1508678411,5216,5216
1508678891,5218,5218
1508679364,5214,5214
1508679850,5214,5214
1508680324,5224,5224
1508680822,5215,5215
1508681285,5212,5212
1508681767,5214,5214
1508682246,5219,5219
1508682734,5219,5219
1508683204,5214,5214
1508683689,5212,5212
1508684165,5211,5211
1508684652,5213,5213
1508685126,5218,5218
1508685604,5217,5217
1508686084,5215,5215
1508686572,5216,5216
1508687045,5214,5214
1508687528,5215,5215
1508688015,5216,5216
1508688486,5219,5219
1508688967,5218,5218
1508689446,5217,5217
1508689925,5214,5214
1508690412,5211,5211
1508690885,5214,5214
1508691368,5220,5220
1508691846,5212,5212
1508692326,5217,5217
1508692808,5215,5215
1508693284,5217,5217
1508693764,5218,5218
1508694249,5208,5208
1508694725,5217,5217
1508695215,5208,5208
1508695687,5214,5214
1508696168,5218,5218
1508696644,5208,5208
1508697128,5217,5217
1508697606,5213,5213
1508698097,5213,5213
1508698566,5218,5218
1508699047,5225,5225
1508699525,5212,5212
1508700010,5215,5215
1508700494,5219,5219
1508700964,5214,5214
1508701448,5214,5214
1508701929,5211,5211
1508702482,5214,5214
1508702887,5207,5207
1508703364,5218,5218
1508703847,5216,5216
1508704324,5214,5214
1508705049,5211,5211
1508705524,5213,5213
1508706032,5218,5218
1508706727,5219,5219
1508707210,5217,5217
1508707689,5219,5219
1508708165,5217,5217
1508708648,5211,5211
1508709125,5212,5212
1508709617,5209,5209
1508710084,5216,5216
1508710568,5204,5204
1508711047,5215,5215
1508712012,5208,5208
1508712485,5207,5207
1508712966,5215,5215
1508713449,5225,5225
1508713931,5216,5216
1508714406,5213,5213
1508714888,5213,5213
1508715364,5218,5218
1508715847,5215,5215
1508716324,5210,5210
1508716827,5219,5219
1508717286,5213,5213
1508717769,5213,5213
1508718489,5217,5217
1508718968,5214,5214
1508719445,5214,5214
1508719930,5223,5223
1508720419,5214,5214
1508720886,5210,5210
1508721367,5211,5211
1508721848,5208,5208
1508722330,5210,5210
1508722804,5211,5211
1508723285,5209,5209
1508723768,5209,5209
1508724247,5209,5209
1508724730,5213,5213
1508725205,5211,5211
1508725693,5206,5206
1508726165,5211,5211
1508726649,5218,5218
1508727365,5216,5216
1508727849,5213,5213
1508728324,5208,5208
1508728811,5214,5214
1508729286,5208,5208
1508729764,5212,5212
1508730244,5213,5213
1508730725,5213,5213
1508731214,5215,5215
1508731691,5211,5211
1508732165,5216,5216
1508732650,5210,5210
1508733125,5210,5210
1508733608,5214,5214
1508734086,5211,5211
1508734565,5211,5211
1508735050,5208,5208
1508735530,5213,5213
1508736004,5214,5214
1508736488,5217,5217
1508736964,5213,5213
1508737448,5210,5210
1508737924,5216,5216
1508738417,5209,5209
1508738885,5213,5213
1508739367,5210,5210
1508739844,5208,5208
1508740331,5214,5214
1508740805,5210,5210
1508741292,5207,5207
1508741765,5210,5210
1508742250,5213,5213
1508742725,5213,5213
1508743210,5209,5209
1508743685,5211,5211
1508744174,5211,5211
1508744645,5213,5213
1508745131,5208,5208
1508745617,5216,5216
1508746087,5212,5212
1508746569,5213,5213
1508747047,5214,5214
1508747528,5215,5215
1508748007,5209,5209
1508748487,5216,5216
1508748970,5210,5210
1508749449,5213,5213
1508749927,5215,5215
1508750405,5214,5214
1508750891,5206,5206
1508751365,5209,5209
1508751848,5213,5213
1508752325,5226,5226
1508752827,5216,5216
1508753288,5205,5205
1508753769,5203,5203
1508754244,5211,5211
