DateTime,Entries,UniqueIPs
1487168025,149,149
1487207384,151,151
1487254448,151,151
1487295237,151,151
1487340686,148,148
1487381275,150,150
1487427028,150,150
1487467397,150,150
1487514757,151,151
1487554074,152,152
1487600011,150,150
1487641058,152,152
1487686201,149,149
1487726920,151,151
1487773318,152,152
1487813642,151,151
1487860349,152,152
1487898606,151,151
1487944718,151,151
1487986039,151,151
1488030903,151,151
1488071116,152,152
1488117025,151,151
1488157120,152,152
1488204797,152,152
1488245355,150,150
1488288781,148,148
1488332273,148,148
1488372673,148,148
1488417294,148,148
1488464871,147,147
1488504243,148,148
1488550390,147,147
1488591551,147,147
1488636925,143,143
1488672111,146,146
1488724408,147,147
1488766344,144,144
1488810254,145,145
1488852094,150,150
1488898421,152,152
1488938971,148,148
1488983271,148,148
1489024193,144,144
1489070266,145,145
1489110379,148,148
1489155459,143,143
1489196132,145,145
1489240398,143,143
1489283797,142,142
1489327595,140,140
1489359583,145,145
1489411781,147,147
1489451898,146,146
1489497676,148,148
1489537222,149,149
1489583519,145,145
1489625546,143,143
1489669845,144,144
1489709754,143,143
1489755810,145,145
1489797677,146,146
1489843769,145,145
1489881984,148,148
1489929358,146,146
1489967756,143,143
1490016909,142,142
1490052839,142,142
1490103239,142,142
1490143604,145,145
1490183560,148,148
1490229359,146,146
1490274159,148,148
1490314326,149,149
1490361430,150,150
1490394936,150,150
1490447525,148,148
1490487926,149,149
1490534186,147,147
1490574522,148,148
1490619920,141,141
1490660055,141,141
1490706045,143,143
1490747025,148,148
1490791684,143,143
1490832575,144,144
1490878492,145,145
1490916185,142,142
1490965244,141,141
1491000664,143,143
1491051463,144,144
1491091051,152,152
1491137404,144,144
1491177542,146,146
1491223404,143,143
1491264148,144,144
1491309984,144,144
1491350984,147,147
1491396165,146,146
1491437445,148,148
1491482283,144,144
1491523736,149,149
1491568073,149,149
1491610641,148,148
1491655931,147,147
1491697069,150,150
1491742137,148,148
1491783132,152,152
1491828217,150,150
1491868764,148,148
1491915804,145,145
1491956938,148,148
1492002928,148,148
1492037917,149,149
1492088587,149,149
1492129561,149,149
1492173869,148,148
1492215562,148,148
1492260516,148,148
1492301936,150,150
1492347470,145,145
1492388809,149,149
1492434094,145,145
1492474202,147,147
1492521557,145,145
1492560906,150,150
1492607093,146,146
1492647131,146,146
1492694088,145,145
1492735522,152,152
1492775518,148,148
1492821279,151,151
1492865258,150,150
1492906518,151,151
1492952369,150,150
1492992983,148,148
1493038305,151,151
1493079684,146,146
1493119637,146,146
1493160172,147,147
1493211181,146,146
1493252408,150,150
1493296825,148,148
1493332708,148,148
1493383604,151,151
1493424099,152,152
1493469195,152,152
1493509316,151,151
1493556088,151,151
1493597688,150,150
1493642594,148,148
1493683940,152,152
1493729441,150,150
1493768680,149,149
1493814452,149,149
1493856399,150,150
1493901558,151,151
1493942207,151,151
1493987964,149,149
1494028335,152,152
1494074020,151,151
1494114726,150,150
1494160565,151,151
1494196125,149,149
1494243436,149,149
1494282442,148,148
1494328315,149,149
1494370103,150,150
1494420202,147,147
1494455721,149,149
1494506190,148,148
1494546729,151,151
1494591442,151,151
1494631220,150,150
1494677990,150,150
1494719155,151,151
1494764243,148,148
1494805317,151,151
1494849691,151,151
1494891035,151,151
1494937217,151,151
1494972498,151,151
1495023380,151,151
1495063640,150,150
1495109816,150,150
1495151894,150,150
1495196607,150,150
1495236846,150,150
1495282305,149,149
1495323538,151,151
1495368092,152,152
1495410074,152,152
1495453911,152,152
1495495298,150,150
1495535165,147,147
1495575334,150,150
1495621744,150,150
1495661606,151,151
1495707933,148,148
1495754333,151,151
1495795093,149,149
1495840928,152,152
1495886786,151,151
1495928319,152,152
1495973240,149,149
1496015327,151,151
1496061237,148,148
1496100530,152,152
1496146250,148,148
1496185268,149,149
1496229854,150,150
1496272783,151,151
1496318878,152,152
1496359982,151,151
1496406050,149,149
1496447873,152,152
1496492903,148,148
1496532999,151,151
1496579267,149,149
1496619770,152,152
1496665322,150,150
1496705748,152,152
1496752615,150,150
1496791915,151,151
1496838429,151,151
1496879202,151,151
1496924145,152,152
1496965412,151,151
1497010671,150,150
1497050618,150,150
1497097717,150,150
1497137878,150,150
1497183901,149,149
1497223871,151,151
1497270800,149,149
1497310617,151,151
1497356798,150,150
1497396899,151,151
1497443561,151,151
1497482936,151,151
1497528269,148,148
1497568058,152,152
1497616635,151,151
1497654596,148,148
1497701707,147,147
1497741667,152,152
1497787602,150,150
1497828126,151,151
1497873555,150,150
1497914438,152,152
1497960576,151,151
1497995244,150,150
1498040038,152,152
1498086140,152,152
1498127628,152,152
1498166073,151,151
1498212525,150,150
1498255078,150,150
1498300195,150,150
1498338402,151,151
1498385559,150,150
1498430284,152,152
1498477781,152,152
1498511899,152,152
1498558647,152,152
1498598384,152,152
1498644304,151,151
1498684461,151,151
1498730536,150,150
1498771188,150,150
1498817476,150,150
1498857486,151,151
1498904776,151,151
1498943881,151,151
1498990723,151,151
1499031020,151,151
1499076882,151,151
1499117734,150,150
1499163398,150,150
1499204305,151,151
1499250134,150,150
1499290813,151,151
1499344338,150,150
1499385044,150,150
1499424780,148,148
1499469047,149,149
1499512170,149,149
1499556862,150,150
1499598152,149,149
1499638390,150,150
1499688274,150,150
1499730159,149,149
1499770852,148,148
1499815322,151,151
1499861699,150,150
1499896704,148,148
1499947388,146,146
1499988300,150,150
1500029290,149,149
1500075716,152,152
1500121410,151,151
1500157223,149,149
1500207263,151,151
1500248155,152,152
1500294728,151,151
1500328804,152,152
1500381120,149,149
1500420755,150,150
1500460863,151,151
1500507777,150,150
1500548305,150,150
1500593018,150,150
1500639400,150,150
1500678820,153,153
1500721238,150,150
1500765329,149,149
1500809176,147,147
1500851250,150,150
1500895033,148,148
1500937368,148,148
1500982996,148,148
1501023325,147,147
1501069265,148,148
1501110519,149,149
1501155050,149,149
1501196543,148,148
1501241891,147,147
1501281088,147,147
1501327524,148,148
1501368466,148,148
1501414146,149,149
1501454667,149,149
1501500731,150,150
1501541233,149,149
1501586496,147,147
1501627874,149,149
1501674232,149,149
1501714384,150,150
1501759898,150,150
1501801122,150,150
1501846379,150,150
1501887457,150,150
1501932584,149,149
1501972721,147,147
1502019418,147,147
1502059774,148,148
1502104926,147,147
1502146275,149,149
1502191872,148,148
1502230691,148,148
1502277761,147,147
1502318309,148,148
1502364693,148,148
1502405217,149,149
1502451041,148,148
1502492061,147,147
1502536692,149,149
1502578040,149,149
1502622250,150,150
1502664062,150,150
1502709522,147,147
1502747246,147,147
1502796023,147,147
1502836995,150,150
1502884035,151,151
1502925223,151,151
1502968507,151,151
1503011814,152,152
1503058653,150,150
1503096386,150,150
1503141571,148,148
1503184933,148,148
1503230381,148,148
1503271758,152,152
1503313944,148,148
1503357384,152,152
1503400380,151,151
1503441339,152,152
1503486055,151,151
1503527937,149,149
1503574621,149,149
1503613153,149,149
1503661617,149,149
1503702263,152,152
1503750926,151,151
1503789151,152,152
1503834396,149,149
1503871822,150,150
1503921337,150,150
1503960596,148,148
1504006844,148,148
1504044769,151,151
1504094784,151,151
1504131132,149,149
1504178631,150,150
1504218334,150,150
1504267668,151,151
1504308092,151,151
1504350924,150,150
1504391198,151,151
1504439288,152,152
1504476553,151,151
1504525662,151,151
1504566385,151,151
1504609169,150,150
1504649917,152,152
1504696037,151,151
1504736934,151,151
1504784747,152,152
1504822984,152,152
1504869498,151,151
1504909434,151,151
1504957596,152,152
1504973956,151,151
1505044755,152,152
1505060691,151,151
1505131957,152,152
1505168901,151,151
