DateTime,AddedIPs,RemovedIPs
1497934682,25,43
1497960569,36,27
1497973697,18,26
1497995238,36,0
1498019581,25,54
1498040033,32,0
1498060009,28,48
1498086135,25,0
1498106873,27,33
1498127619,45,55
1498145740,21,0
1498166066,38,15
1498192589,26,27
1498212516,40,15
1498232639,54,47
1498255073,50,0
1498279216,62,46
1498300190,28,0
1498318762,45,41
1498338397,52,22
1498365708,43,65
1498385552,44,0
1498405001,22,36
1498430279,39,21
1498453004,42,37
1498477775,44,14
1498491965,72,30
1498511894,78,16
1498538423,57,20
1498558637,42,12
1498577822,44,51
1498598378,81,0
1498624876,44,39
1498644297,37,20
1498664335,16,36
1498684455,60,13
1498711086,49,35
1498730529,44,16
1498750623,20,45
1498771183,43,0
1498797684,50,38
1498817471,39,18
1498837160,8,30
1498857481,33,12
1498884240,51,26
1498904770,46,19
1498923361,8,36
1498943875,31,16
1498970206,50,48
1498990715,45,14
1499009959,5,26
1499031016,33,13
1499057105,44,49
1499076876,36,7
1499095930,6,31
1499117727,27,6
1499142989,46,59
1499163390,27,12
1499182786,8,36
1499204299,26,16
1499229517,48,24
1499250129,44,14
1499269003,3,29
1499290807,32,14
1499316844,48,35
1499344333,39,35
1499357160,8,39
1499385041,36,83
1499404535,46,0
1499424775,43,20
1499443153,9,32
1499469041,40,14
1499490786,41,86
1499512162,38,0
1499530048,10,41
1499556856,46,13
1499577262,26,71
1499598146,40,15
1499616782,15,33
1499638384,50,18
1499663154,28,73
1499688267,35,14
1499703017,11,30
1499730150,37,68
1499750023,32,14
1499770846,35,0
1499789216,6,48
1499815317,41,0
1499836148,15,28
1499861694,41,67
1499876027,11,0
1499896700,66,28
1499922148,19,46
1499947384,44,27
1499961890,9,30
1499988294,47,27
1500009151,13,54
1500029281,49,30
1500048518,8,63
1500075709,57,37
1500095459,18,23
1500121406,28,29
1500135579,40,25
1500157218,76,0
1500180866,36,67
1500207257,33,0
1500220523,39,45
1500248150,73,33
1500268222,50,26
1500294721,51,27
1500308034,49,22
1500328796,73,0
1500354662,39,30
1500381112,40,54
1500394174,32,20
1500420749,68,32
1500441449,43,34
1500460859,53,0
1500480273,37,83
1500507770,72,36
1500527602,41,32
1500548298,68,0
1500566775,21,31
1500593009,49,63
1500613878,43,38
1500639391,48,31
1500652819,4,27
1500678816,36,35
1500700558,43,28
1500721232,56,35
1500739185,9,26
1500765324,41,35
1500786860,42,27
1500809171,32,60
1500826049,9,38
1500851245,30,64
1500873365,39,25
1500895026,22,56
1500912450,7,31
1500937362,26,57
1500959387,37,0
1500982990,28,67
1500998380,10,40
1501023317,43,37
1501045416,35,33
1501069258,38,0
1501085379,7,146
1501110512,25,75
1501131918,37,32
1501155043,31,64
1501171692,7,52
1501196537,38,68
1501218409,32,17
1501241885,27,44
1501257585,8,29
1501281084,41,74
1501304463,30,17
1501327497,56,47
1501344556,6,21
1501368463,41,79
1501391043,25,9
1501414141,40,38
1501430467,11,13
1501454661,29,69
1501477603,15,16
1501500726,55,37
1501517265,7,15
1501541227,30,71
1501563669,31,23
1501586490,47,40
1501603264,14,12
1501627869,33,71
1501650516,20,15
1501674225,32,37
1501689957,7,15
1501714378,53,73
1501736931,23,12
1501759890,33,35
1501776296,6,9
1501801117,46,66
1501823293,25,14
1501846371,48,45
1501862887,10,16
1501887450,61,70
1501909380,7,24
1501932576,32,0
1501948838,16,51
1501972713,63,0
1501995975,32,79
1502019409,64,42
1502035110,17,18
1502059765,61,0
1502081665,26,54
1502104917,59,16
1502121233,9,63
1502146270,64,0
1502168844,27,47
1502191867,55,14
1502207480,14,60
1502230683,57,47
1502255110,21,22
1502277754,50,0
1502294236,16,59
1502318304,46,0
1502341346,26,56
1502364688,51,50
1502380822,19,0
1502405210,56,21
1502427791,21,35
1502451035,47,18
1502467217,9,56
1502491982,44,40
1502514304,22,0
1502536689,45,24
1502553491,10,58
1502578034,45,0
1502599928,27,38
1502622241,69,19
1502639899,23,44
1502664054,63,24
1502686440,21,44
1502709514,41,8
1502725510,17,55
1502747236,37,40
1502772969,20,73
1502796014,46,11
1502812572,14,95
1502836988,48,0
1502859400,20,70
1502884022,64,34
1502899382,16,66
1502925216,48,117
1502946882,32,19
1502968499,37,0
1502986123,15,58
1503011806,40,110
1503033239,41,0
1503058634,42,77
1503072286,10,0
1503096379,41,40
1503119419,38,68
1503141565,46,35
1503158784,8,92
1503184925,42,0
1503205751,34,55
1503230375,51,25
1503245324,27,46
1503271749,48,66
1503292313,37,21
1503313938,55,0
1503331531,27,49
1503357376,40,47
1503379013,37,0
1503400373,61,54
1503418785,14,0
1503441330,44,24
1503465206,49,64
1503486045,33,0
1503503942,17,25
1503527930,42,5
1503550940,39,60
1503574614,41,0
1503591248,11,34
1503613148,37,28
1503637590,34,55
1503661608,43,40
1503677272,11,0
1503702256,38,15
1503724148,33,32
1503750912,37,61
1503763733,10,18
1503789142,46,47
1503810446,11,17
1503834388,35,37
1503850301,8,25
1503871814,47,0
1503896873,12,47
1503921329,41,83
1503936476,10,0
1503960592,38,11
1503983380,12,33
1504006837,29,43
1504023535,7,18
1504044762,41,0
1504069437,16,46
1504094779,33,37
1504109638,15,0
1504131125,31,15
1504156802,9,69
1504178623,48,48
1504196588,16,0
1504218327,37,18
1504242364,10,61
1504267661,38,0
1504282016,8,42
1504308087,48,66
1504329451,20,19
1504350918,31,30
1504368926,10,0
1504391189,44,14
1504415158,15,67
1504439283,34,0
1504455290,49,54
1504476547,70,0
1504501656,39,48
1504525655,31,39
1504541154,42,26
1504566379,58,54
1504588467,55,0
1504609163,34,27
1504627809,8,45
1504649912,26,25
1504674783,11,79
1504696029,28,42
1504714544,46,0
1504736926,62,18
1504760501,52,80
1504784738,43,45
1504800569,19,19
1504822940,49,0
1504847755,57,52
1504869490,39,78
1504887164,35,0
1504909429,49,21
1504933694,49,77
1504957588,38,45
1504973326,12,0
1504973948,2,32
1505020136,53,71
1505044749,31,43
1505060685,15,16
1505106407,55,50
1505131950,47,67
1505146357,16,0
1505168893,25,23
1505192722,48,88
1505216798,37,55
1505232819,13,34
1505254861,39,0
1505279446,13,80
1505304168,35,42
1505319335,9,0
1505341667,40,70
1505365421,6,33
1505388853,36,43
1505405666,21,31
1505427232,51,0
1505452094,53,75
1505476645,53,50
1505491664,18,23
1505515857,39,52
1505538896,58,0
1505559878,33,44
1505577944,9,0
1505602593,43,25
1505624880,57,51
1505649212,32,24
1505664531,10,62
1505689805,31,0
1505711867,44,74
1505733024,48,0
1505750561,14,42
1505775966,35,68
1505797884,48,0
1505818051,44,27
1505837058,9,50
1505860367,29,28
1505884015,45,79
1505908328,35,40
1505923865,12,14
1505945511,31,0
1505970345,16,56
1505994453,42,78
1506010411,12,32
1506032116,28,47
1506056403,29,0
1506079665,41,57
1506096091,12,30
1506121021,43,49
1506143219,44,0
1506166921,36,23
1506182729,12,36
1506206841,37,47
1506229673,37,0
1506252615,32,16
1506268988,8,29
1506292295,36,23
1506316332,18,56
1506336569,33,0
1506355596,8,27
1506379669,42,29
1506402585,17,27
1506425642,42,41
1506442416,14,0
1506464652,29,24
1506489081,17,51
1506509894,34,0
1506528593,11,48
1506552243,32,0
1506575231,39,31
1506598812,29,16
1506615102,11,34
1506636786,33,13
1506661811,12,56
1506685006,30,27
1506701334,12,15
1506725239,36,26
1506748486,16,0
1506769136,33,20
1506788173,19,27
1506810485,51,14
1506834073,17,53
1506857946,39,28
1506874198,28,27
1506898868,37,33
1506921380,9,0
1506942226,35,47
1506961008,12,0
1506982687,43,24
1507007480,10,37
1507028728,32,13
1507047855,20,111
1507070475,44,0
1507093295,15,62
1507117371,33,28
1507133317,15,95
1507157752,43,0
1507180201,23,61
1507205124,39,47
1507219457,33,7
1507244228,54,27
1507266524,19,0
1507290867,28,82
1507306328,29,38
1507329450,53,72
1507352552,19,19
1507377596,37,35
1507392753,30,0
1507416071,52,95
1507439582,31,19
1507462250,34,0
1507478925,14,87
1507505645,43,67
1507526062,42,14
1507548418,29,0
1507565471,21,35
1507588955,49,50
1507612430,38,17
1507634490,36,0
1507651569,11,38
1507677137,33,53
1507698488,32,22
1507723351,33,38
1507738528,25,0
1507761210,44,85
1507784769,50,19
1507809242,31,0
1507824332,23,29
1507850053,32,45
1507871008,45,0
1507895200,34,12
1507910600,6,41
1507935404,33,42
1507957957,44,0
1507978809,26,22
1507996976,9,27
1508021336,32,95
1508044283,37,0
1508064816,33,27
1508083228,8,33
1508108194,34,19
1508130603,46,68
1508148621,36,19
1508170315,12,46
1508188238,32,0
1508217185,46,83
1508234805,42,0
1508256691,15,27
1508275141,40,16
1508303348,22,93
1508324452,48,0
1508343266,27,37
1508361442,37,25
1508390207,40,87
1508412283,42,35
1508429171,10,12
1508453585,33,0
1508476355,40,68
1508498246,32,17
1508515224,15,30
1508540055,33,57
1508562626,37,0
1508583382,36,26
1508601763,7,31
1508626553,53,71
1508648834,20,0
1508669724,32,17
1508688804,18,28
1508710438,40,25
1508734853,12,80
