DateTime,Entries,UniqueIPs
1497934682,139,139
1497960569,140,140
1497973697,139,139
1497995238,141,141
1498019581,141,141
1498040033,136,136
1498060009,137,137
1498086135,137,137
1498106873,137,137
1498127619,138,138
1498145740,136,136
1498166066,139,139
1498192589,137,137
1498212516,139,139
1498232639,139,139
1498255073,145,145
1498279216,143,143
1498300190,144,144
1498318762,143,143
1498338397,144,144
1498365708,145,145
1498385552,144,144
1498405001,143,143
1498430279,142,142
1498453004,142,142
1498477775,142,142
1498491965,144,144
1498511894,144,144
1498538423,144,144
1498558637,143,143
1498577822,144,144
1498598378,144,144
1498624876,142,142
1498644297,143,143
1498664335,141,141
1498684455,143,143
1498711086,142,142
1498730529,143,143
1498750623,142,142
1498771183,142,142
1498797684,143,143
1498817471,144,144
1498837160,141,141
1498857481,143,143
1498884240,142,142
1498904770,144,144
1498923361,143,143
1498943875,144,144
1498970206,142,142
1498990715,143,143
1499009959,141,141
1499031016,143,143
1499057105,143,143
1499076876,144,144
1499095930,142,142
1499117727,143,143
1499142989,141,141
1499163390,144,144
1499182786,141,141
1499204299,143,143
1499229517,141,141
1499250129,144,144
1499269003,139,139
1499290807,141,141
1499316844,142,142
1499344333,144,144
1499357160,143,143
1499385041,141,141
1499404535,143,143
1499424775,142,142
1499443153,137,137
1499469041,141,141
1499490786,139,139
1499512162,142,142
1499530048,139,139
1499556856,143,143
1499577262,138,138
1499598146,142,142
1499616782,138,138
1499638384,139,139
1499663154,138,138
1499688267,141,141
1499703017,137,137
1499730150,141,141
1499750023,141,141
1499770846,143,143
1499789216,140,140
1499815317,143,143
1499836148,140,140
1499861694,143,143
1499876027,139,139
1499896700,142,142
1499922148,141,141
1499947384,143,143
1499961890,141,141
1499988294,143,143
1500009151,141,141
1500029281,141,141
1500048518,139,139
1500075709,141,141
1500095459,140,140
1500121406,140,140
1500135579,141,141
1500157218,145,145
1500180866,142,142
1500207257,141,141
1500220523,142,142
1500248150,145,145
1500268222,143,143
1500294721,141,141
1500308034,142,142
1500328796,145,145
1500354662,143,143
1500381112,144,144
1500394174,143,143
1500420749,145,145
1500441449,142,142
1500460859,143,143
1500480273,142,142
1500507770,144,144
1500527602,142,142
1500548298,144,144
1500566775,142,142
1500593009,143,143
1500613878,143,143
1500639391,142,142
1500652819,137,137
1500678816,143,143
1500700558,138,138
1500721232,142,142
1500739185,142,142
1500765324,143,143
1500786860,142,142
1500809171,143,143
1500826049,141,141
1500851245,142,142
1500873365,141,141
1500895026,144,144
1500912450,139,139
1500937362,142,142
1500959387,142,142
1500982990,143,143
1500998380,141,141
1501023317,142,142
1501045416,143,143
1501069258,142,142
1501085379,139,139
1501110512,143,143
1501131918,141,141
1501155043,142,142
1501171692,141,141
1501196537,142,142
1501218409,142,142
1501241885,142,142
1501257585,139,139
1501281084,142,142
1501304463,141,141
1501327497,143,143
1501344556,140,140
1501368463,141,141
1501391043,142,142
1501414141,143,143
1501430467,142,142
1501454661,142,142
1501477603,141,141
1501500726,144,144
1501517265,143,143
1501541227,144,144
1501563669,143,143
1501586490,142,142
1501603264,141,141
1501627869,142,142
1501650516,142,142
1501674225,142,142
1501689957,144,144
1501714378,145,145
1501736931,143,143
1501759890,142,142
1501776296,142,142
1501801117,143,143
1501823293,141,141
1501846371,143,143
1501862887,141,141
1501887450,144,144
1501909380,141,141
1501932576,143,143
1501948838,138,138
1501972713,145,145
1501995975,137,137
1502019409,143,143
1502035110,138,138
1502059765,142,142
1502081665,139,139
1502104917,142,142
