DateTime,Entries,UniqueIPs
1485184800,14254,14254
1486102801,25329,25329
1486146000,25994,25994
1486189201,25613,25613
1486232401,25725,25725
1486275600,25232,25232
1486318800,25437,25437
1486362000,24972,24972
1487455200,25027,25027
1487498400,25012,25012
1487541601,25168,25168
1487584800,25158,25158
1487628001,24867,24867
1487671200,24871,24871
1487714401,24647,24647
1487757600,24589,24589
1487800801,25437,25437
1487844000,24570,24570
1487887202,24642,24642
1487930402,24643,24643
1487973602,24183,24183
1488016802,24176,24176
1488060001,24158,24158
1488103201,24150,24150
1488146401,24247,24247
1488189602,24241,24241
1488232802,24055,24055
1488276001,24059,24059
1488319201,23825,23825
1488362402,23829,23829
1488405601,23475,23475
1488448802,23477,23477
1488492001,23284,23284
1488535201,23286,23286
1488578402,23260,23260
1488621602,23254,23254
1488664801,23299,23299
1488708001,23304,23304
1488751202,23364,23364
1488794402,23355,23355
1488837604,23412,23412
1488880801,23413,23413
1488924004,24036,24036
1488967202,23445,23445
1489010401,22910,22910
1489053601,22941,22941
1489096802,22511,22511
1489140001,22512,22512
1489183202,23782,23782
1489226401,23791,23791
1489269601,25916,25916
1489312801,25950,25950
1489356001,25993,25993
1489399201,25979,25979
1489442402,26124,26124
1489485601,26127,26127
1489528801,26086,26086
1489572001,26114,26114
1489615801,26811,26811
1489659601,26814,26814
1489702801,26879,26879
1489746601,26880,26880
1489790401,26657,26657
1489833601,26663,26663
1489876801,26809,26809
1489920001,26808,26808
1489963201,26853,26853
1490006401,26845,26845
1490049601,26953,26953
1490092801,26970,26970
1490136001,27236,27236
1490179201,27227,27227
1490222401,27409,27409
1490265601,27416,27416
1490308801,27646,27646
1490352001,27654,27654
1490395201,27120,27120
1490438401,27119,27119
1490481601,25311,25311
1490524801,25302,25302
1490568001,25322,25322
1490611201,25320,25320
1490654401,25403,25403
1490697601,25416,25416
1490740801,25392,25392
1490784001,25387,25387
1490827201,24644,24644
1490870401,24651,24651
1490913601,24602,24602
1490956801,24613,24613
1491000001,24689,24689
1491043201,24715,24715
1491086401,24558,24558
1491129601,24565,24565
1491172801,24421,24421
1491216001,24426,24426
1491259201,24339,24339
1491302401,24334,24334
1491346801,24109,24109
1491390002,24110,24110
1491433201,23346,23346
1491476401,23350,23350
1491519602,23192,23192
1491563401,23217,23217
1491607201,22811,22811
1491650401,22790,22790
1491693601,22570,22570
1491736801,22578,22578
1491780001,22358,22358
1491823201,22350,22350
1491866401,22136,22136
1491909601,22132,22132
1491952801,21998,21998
1491996601,22091,22091
1492040401,21765,21765
1492083601,22049,22049
1492126801,22056,22056
1492170001,22128,22128
1492213201,21683,21683
1492256401,21689,21689
1492299601,21439,21439
1492342801,21424,21424
1492386001,21236,21236
1492429201,21218,21218
1492472401,21147,21147
1492515601,21148,21148
1492559401,21139,21139
1492603202,21133,21133
1492646401,21789,21789
1492689601,21762,21762
1492732801,23006,23006
1492776001,22998,22998
1492819202,23229,23229
1492862401,23224,23224
1492906201,22937,22937
1492950001,22937,22937
1492993201,22882,22882
1493037001,22878,22878
1493080801,22246,22246
1493124001,22243,22243
1493167201,22420,22420
1493211001,22414,22414
1493254802,22360,22360
1493298002,21634,21634
1493341201,22211,22211
1493384401,21746,21746
1493427602,21439,21439
1493470804,21432,21432
1493514001,21502,21502
1493557801,21494,21494
1493601601,21429,21429
1493645401,21435,21435
1493689201,21295,21295
1493732401,21281,21281
1493775601,21160,21160
1493818801,21142,21142
1493862001,21259,21259
1493905201,21253,21253
1493948401,19651,19651
1493991601,20112,20112
1494034801,19430,19430
1494078001,19416,19416
1494121801,19261,19261
1494165601,19250,19250
1494208801,19373,19373
1494252002,19362,19362
1494295201,19932,19932
1494339001,19922,19922
1494382801,19976,19976
1494426001,19983,19983
1494469201,20757,20757
1494512401,20754,20754
1494555383,20893,20893
1494598577,20889,20889
1494641779,21119,21119
1494684984,21120,21120
1494728179,21268,21268
1494771377,21256,21256
1494836173,21479,21479
1494879382,21772,21772
1494922583,21774,21774
1494965781,21576,21576
1495008986,21573,21573
1495052186,22107,22107
1495095383,21603,21603
1495138582,21778,21778
1495181782,21140,21140
1495224983,20873,20873
1495268178,21125,21125
1495312285,21146,21146
1495355478,21150,21150
1495398683,21818,21818
1495441884,21279,21279
1495485084,21231,21231
1495528281,21241,21241
1495571487,21270,21270
1495614689,21270,21270
1495657890,21208,21208
1495701081,21189,21189
1495744286,20518,20518
1495787481,21166,21166
1495830683,20710,20710
1495873887,20693,20693
1495917079,20715,20715
1495960276,20717,20717
1496003476,20615,20615
1496046673,20614,20614
1496112372,20437,20437
1496155572,20438,20438
1496198773,20682,20682
1496241977,20677,20677
1496285198,21373,21373
1496328375,21371,21371
1496371577,21371,21371
1496414777,21362,21362
1496458888,20835,20835
1496502978,21587,21587
1496546171,20848,20848
1496589375,21529,21529
1496632575,20833,20833
1496675774,21630,21630
1496718982,21217,21217
1496762177,21217,21217
1496805375,21365,21365
1496848584,21366,21366
1496891769,21298,21298
1496934975,21294,21294
1496978172,21281,21281
1497021378,20926,20926
1497064572,20205,20205
1497107771,20202,20202
1497150972,19353,19353
1497194170,19343,19343
1497237373,18467,18467
1497280568,18469,18469
1497323775,17737,17737
1497366970,17730,17730
1497410169,17722,17722
1497453370,17728,17728
1497496570,15970,15970
1497539769,15967,15967
1497582965,14800,14800
1497626172,14806,14806
1497669367,14795,14795
1497712569,13230,13230
1497755769,13234,13234
1497798963,11439,11439
1497842163,11435,11435
1497885364,9389,9389
1497928564,9406,9406
1497971767,9405,9405
1498014967,7160,7160
1498058158,7151,7151
1498101367,7390,7390
1498144565,8617,8617
1498187761,8613,8613
1498230963,10259,10259
1498274165,10280,10280
1498317371,10288,10288
1498360568,12140,12140
1498403784,12141,12141
1498446985,13601,13601
1498490206,13610,13610
1498533404,14754,14754
1498576600,14753,14753
1498619800,12740,12740
1498663003,12734,12734
1498706202,14287,14287
1498749405,14281,14281
1498792603,14306,14306
1498835806,16155,16155
1498879008,16697,16697
1498922204,16753,16753
1498965408,17598,17598
1499008606,17597,17597
1499051799,18360,18360
1499095004,18763,18763
1499138199,19134,19134
1499181404,19652,19652
1499224611,20011,20011
1499267807,20008,20008
1499311012,18106,18106
1499354208,16896,16896
1499397400,18174,18174
1499440607,17583,17583
1499483802,18048,18048
1499527004,18915,18915
1499570220,17070,17070
1499613419,17064,17064
1499656622,15615,15615
1499699820,15609,15609
1499743026,14459,14459
1499788959,14837,14837
1499832164,16278,16278
1499875365,14741,14741
1499918563,15244,15244
1499961762,15252,15252
1500004961,15133,15133
1500048158,13296,13296
1500091357,12669,12669
1500134565,13942,13942
1500177764,13106,13106
1500220964,13093,13093
1500264162,12320,12320
1500307361,12320,12320
1500350564,11574,11574
1500393763,11578,11578
1500436962,10693,10693
1500480167,10696,10696
1500523371,11094,11094
1500564780,11096,11096
1500607951,9813,9813
1500651150,8772,8772
1500694350,8693,8693
1500737551,7957,7957
1500780748,7358,7358
1500823950,7345,7345
1500867137,7345,7345
1500910342,7344,7344
1500953544,7350,7350
1500996729,5946,5946
1501039928,4447,4447
1501083101,4440,4440
1501126308,3631,3631
1501169500,3642,3642
1501212704,3644,3644
1501255909,3653,3653
1501299104,3659,3659
1501342304,2657,2657
1501385499,2645,2645
1501428696,2628,2628
1501471902,2614,2614
1501515099,2604,2604
1501558307,2612,2612
1501601501,2609,2609
1501644707,2614,2614
1501687904,2616,2616
1501731097,1605,1605
1501774311,1609,1609
1501817501,1600,1600
1501860700,1599,1599
1501903910,3712,3712
1501947130,4189,4189
1501990350,5065,5065
1502033545,5061,5061
1502076746,5056,5056
1502119947,5067,5067
1502163126,6291,6291
1502206340,6297,6297
1502249552,6898,6898
1502292753,6895,6895
1502335991,7834,7834
1502379142,7836,7836
1502422361,8937,8937
1502434057,8937,8937
1502477262,8945,8945
1502520455,8927,8927
1502563662,9702,9702
1502606864,9698,9698
1502650061,9707,9707
1502693258,9708,9708
1502736456,9728,9728
1502779672,10588,10588
1502822869,10596,10596
1502866062,11443,11443
1502909255,11453,11453
1502952458,11452,11452
1502995663,12293,12293
1503038866,12290,12290
1503082065,10668,10668
1503125265,10030,10030
1503168464,10029,10029
1503211661,9254,9254
1503254864,9256,9256
1503298061,9255,9255
1503341269,9376,9376
1503384467,9205,9205
1503427659,8693,8693
1503470870,9778,9778
1503514062,8935,8935
1503557272,10047,10047
1503600461,9019,9019
1503643665,9015,9015
1503686875,9926,9926
1503730074,9918,9918
1503773272,8927,8927
1503816476,8929,8929
1503859679,8920,8920
1503902876,8908,8908
1503946065,8909,8909
1503989271,7424,7424
1504032464,7428,7428
1504075672,6583,6583
1504118870,6580,6580
1504162063,6577,6577
1504205268,5787,5787
1504248476,5830,5830
1504291670,6421,6421
1504334878,6424,6424
1504378075,6428,6428
1504421275,6414,6414
1504464470,6413,6413
1504507669,6403,6403
1504550859,5392,5392
1504594047,5393,5393
1504637267,6728,6728
1504680464,5638,5638
1504723656,5645,5645
1504766863,4533,4533
1504810063,4544,4544
1504853266,5950,5950
1504896462,5050,5050
1504939669,5050,5050
1504982868,5059,5059
1505026057,5068,5068
1505069255,5056,5056
1505112454,5050,5050
1505155656,5043,5043
1505198849,5047,5047
1505242063,6208,6208
1505285268,6213,6213
1505329398,6226,6226
1505372558,5878,5878
1505429210,5882,5882
1505472411,5887,5887
1505516532,5304,5304
1505559735,5302,5302
1505602927,5280,5280
1505646128,5274,5274
1505689330,5274,5274
1505732525,5265,5265
1505775725,5266,5266
1505818932,5265,5265
1505862179,5338,5338
1505905374,5343,5343
1505948575,5351,5351
1505991776,5356,5356
1506035836,3936,3936
1506079045,3929,3929
1506122238,3925,3925
1506165440,3927,3927
1506209541,3922,3922
1506252736,3909,3909
1506295934,3911,3911
1506339132,3903,3903
1506382329,3913,3913
1506425540,3912,3912
1506468743,3961,3961
1506513776,3959,3959
1506556976,3967,3967
1506600183,3979,3979
1506643374,3971,3971
1506686581,3982,3982
1506729778,3997,3997
1506772975,3992,3992
1506816178,3965,3965
1506859381,3939,3939
1506902572,3929,3929
1506945778,3937,3937
1506988971,3953,3953
1507032171,3965,3965
1507075382,4015,4015
