DateTime,AddedIPs,RemovedIPs
1508359321,14,3
1508360522,6,3
1508361122,9,72
1508361721,3,0
1508362921,13,7
1508364122,2,0
1508364722,26,9
1508365322,17,0
1508365921,7,0
1508366521,23,9
1508368322,17,18
1508368921,10,3
1508370121,7,0
1508370721,8,10
1508371322,5,0
1508372522,20,74
1508373121,18,0
1508373722,3,22
1508374322,7,0
1508374921,22,10
1508376121,20,5
1508377322,11,3
1508377921,9,14
1508378521,17,2
1508379122,2,0
1508379721,6,31
1508380322,11,0
1508380921,6,0
1508381521,3,62
1508382121,2,5
1508383321,14,6
1508384522,5,33
1508385122,17,0
1508385721,8,0
1508386922,7,9
1508388122,2,18
1508389321,7,26
1508389921,19,0
1508390521,9,0
1508391122,16,2
1508391721,12,11
1508392922,4,36
1508393522,4,6
1508394123,11,10
1508394722,10,0
1508395322,9,0
1508395921,7,38
1508396522,2,0
1508397122,3,0
1508397721,1,6
1508398322,5,7
1508398922,5,0
1508399522,2,48
1508400121,3,39
1508400722,4,4
1508401322,16,0
1508401921,11,5
1508402522,2,6
1508403721,1,2
1508404321,12,0
1508404922,1,3
1508405522,4,6
1508406121,1,0
1508406721,7,8
1508407322,6,40
1508408522,7,3
1508409121,5,0
1508409721,6,3
1508410921,10,32
1508411521,0,4
1508412122,5,0
1508412722,5,4
1508413321,3,58
1508414522,9,30
1508415721,22,14
1508416922,0,53
1508418121,8,0
1508419321,7,20
1508420522,17,15
1508421722,11,0
1508422322,17,2
1508422921,3,16
1508424122,2,21
1508424722,3,0
1508425322,5,6
1508426522,6,12
1508427121,20,15
1508427721,13,0
1508428922,2,28
1508429521,5,5
1508430121,17,7
1508430721,4,41
1508431321,11,7
1508432522,2,5
1508433122,3,0
1508433722,4,57
1508434922,3,60
1508435521,18,3
1508436121,6,0
1508436723,3,12
1508437321,10,16
1508437922,15,0
1508438522,14,5
1508439722,2,45
1508440922,13,0
1508441522,3,17
1508442122,7,0
1508442721,9,27
1508443322,9,25
1508443921,14,34
1508445122,21,8
1508445722,11,6
1508446322,3,0
1508446922,5,8
1508448122,4,1
1508449922,8,47
1508450522,10,9
1508451721,6,46
1508452321,1,1
1508452921,2,0
1508454121,2,8
1508455321,0,5
1508455921,19,3
1508456521,15,53
1508457722,6,7
1508458322,3,1
1508458921,3,0
1508460121,9,29
1508460722,0,5
1508461322,3,0
1508462522,5,33
1508463721,0,25
1508464922,4,42
1508465521,15,1
1508466121,11,0
1508466722,14,38
1508467321,0,6
1508468522,11,1
1508469121,1,0
1508469721,10,17
1508470322,8,0
1508470921,5,0
1508471522,3,26
1508472121,2,64
1508472722,1,0
1508473321,10,4
1508473922,1,0
1508474522,5,3
1508475721,10,0
1508476922,7,36
1508478121,3,11
1508479322,7,2
1508479921,5,12
1508480522,7,0
1508481722,5,59
1508482921,11,38
1508483522,4,2
1508484121,4,0
1508484721,8,1
1508485322,2,14
1508485921,7,21
1508486522,2,4
1508488321,8,13
1508488922,4,26
1508489522,2,0
1508490122,3,1
1508491322,2,9
1508492521,3,48
1508493123,0,53
1508493722,6,0
1508494922,2,19
1508496121,4,20
1508496721,8,0
1508497322,3,4
1508497921,4,0
1508498521,1,5
1508499122,17,29
1508499722,7,0
1508500321,5,0
1508500923,3,1
1508501521,8,0
1508502121,2,0
1508502722,5,4
1508503322,2,0
1508503922,9,3
1508504522,2,34
1508505721,8,12
1508506922,14,0
1508508121,10,31
1508509322,14,8
1508509922,3,0
1508510522,3,0
1508511121,3,5
1508511722,2,31
1508512322,3,0
1508512921,4,1
1508514122,7,14
1508514721,3,1
1508515322,2,12
1508515922,0,28
1508516522,7,0
1508517121,4,18
1508517722,3,6
1508518322,11,0
1508518922,5,2
1508520122,5,16
1508520721,6,0
1508521322,3,20
1508521922,5,0
1508522522,7,22
1508524921,4,32
1508526122,4,0
1508527322,17,29
1508528522,6,41
1508529722,7,19
1508530321,2,25
1508530921,13,19
1508531522,8,26
1508532121,7,0
1508532721,8,2
1508533322,6,35
1508533922,7,0
1508534522,5,18
1508535722,8,0
1508536921,0,1
1508538121,8,10
1508538722,3,1
1508539322,12,5
1508539921,4,1
1508540522,4,66
1508541122,11,0
1508541721,5,0
1508542921,4,20
1508543521,2,1
1508544122,2,0
1508544722,9,0
1508545922,6,4
1508546523,2,0
1508547122,3,2
1508547722,2,0
1508548321,6,0
1508548921,2,0
1508550122,0,68
1508550722,6,0
1508551322,6,0
1508552522,0,18
1508553721,1,9
1508554321,8,0
1508554922,5,0
1508556121,4,4
1508556722,9,1
1508557322,8,0
1508558522,5,11
1508559721,5,7
1508560322,0,3
1508560922,6,0
1508561521,1,3
1508562122,1,9
1508562721,3,0
1508563321,2,0
1508563921,1,1
1508565721,1,21
1508566321,5,0
1508566922,0,19
1508568121,5,2
1508568722,1,0
