DateTime,AddedIPs,RemovedIPs
1508320922,1,8
1508322122,3,0
1508322722,4,6
1508323321,1,3
1508324521,3,20
1508325721,3,2
1508326322,0,4
1508326922,1,0
1508328122,17,6
1508328722,2,1
1508329322,1,0
1508329922,1,4
1508330521,3,2
1508331721,0,2
1508332921,1,1
1508333522,0,4
1508334122,1,2
1508335321,12,2
1508335921,1,0
1508336521,3,0
1508337121,8,8
1508337721,2,4
1508338322,5,0
1508338921,1,0
1508340122,1,4
1508341322,6,5
1508341922,1,0
1508342521,3,11
1508343122,3,4
1508343721,4,9
1508344921,5,0
1508345521,1,8
1508346121,5,1
1508346722,4,0
1508347323,22,5
1508347921,11,4
1508348522,2,0
1508349121,2,7
1508349721,0,11
1508350922,10,0
1508351521,4,12
1508352122,1,0
1508353322,4,9
1508353922,4,0
1508354521,3,0
1508355722,4,5
1508356321,2,5
1508356922,8,0
1508357522,10,3
1508358121,2,0
1508359321,2,0
1508360522,1,4
1508361721,26,13
1508362921,0,27
1508364122,12,0
1508365322,11,16
1508365921,1,0
1508366521,6,11
1508368322,7,9
1508368921,6,8
1508370121,3,2
1508371322,5,9
1508372521,9,23
1508373722,1,3
1508374322,5,0
1508374921,0,3
1508375522,3,14
1508376121,7,0
1508377322,4,12
1508377921,5,6
1508378521,4,4
1508379721,7,26
1508380921,18,0
1508381521,2,4
1508382121,0,6
1508383321,5,10
1508383922,2,0
1508384522,1,18
1508385721,28,0
1508386922,4,16
1508387521,1,1
1508388122,0,13
1508389321,3,3
1508390521,3,3
1508391721,9,10
1508392922,1,21
1508394123,13,11
1508395322,14,10
1508395921,7,11
1508396522,1,0
1508397721,2,8
1508398322,1,0
1508398922,4,0
1508399522,2,4
1508400121,3,2
1508400722,0,11
1508401921,28,4
1508402522,6,6
1508403721,6,6
1508404922,1,1
1508405522,6,3
1508406121,2,0
1508407322,2,21
1508408522,34,5
1508409721,5,0
1508410322,2,2
1508410921,6,7
1508411521,0,2
1508413321,2,17
1508414522,1,0
1508415721,10,2
1508416922,4,8
1508418121,7,2
1508419321,1,3
1508420522,2,7
1508421722,23,0
1508422322,3,1
1508422921,0,9
1508423522,1,0
1508424122,13,9
1508425322,0,2
1508426522,3,0
1508427121,0,4
1508428322,0,3
1508428922,6,4
1508430121,7,11
1508431321,7,2
1508432522,45,7
1508433122,5,0
1508433722,9,3
1508434922,6,6
1508435521,6,9
1508436121,3,0
1508437321,8,14
1508438522,1,12
1508439721,3,0
1508440922,20,5
1508442122,7,12
1508443322,6,13
1508443921,7,9
1508444522,6,0
1508445722,8,12
1508446322,3,0
1508446922,3,6
1508447521,3,0
1508448122,2,11
1508449922,5,9
1508450522,1,3
1508451721,5,0
1508452921,7,11
1508454121,23,10
1508454721,4,0
1508455321,3,6
1508456521,15,11
1508457722,7,0
1508458322,5,10
1508458921,1,0
1508460121,3,9
1508460721,4,12
1508461322,11,0
1508461921,0,3
1508462522,11,0
1508463122,19,8
1508463721,11,2
1508464321,9,0
1508464922,6,10
1508465521,2,0
1508466121,3,0
1508467321,6,13
1508468522,4,9
1508469721,4,3
1508470921,4,3
1508472121,4,13
1508473321,3,0
1508474522,4,14
1508475122,1,0
1508475721,2,0
1508476922,46,16
1508478121,8,1
1508479322,5,9
1508479921,2,0
1508480522,2,0
1508481722,4,5
1508482921,19,9
1508483522,3,0
1508484121,3,0
1508484721,1,3
1508485322,2,2
1508486522,4,10
1508487122,1,0
1508488321,3,10
1508488921,1,0
1508490122,2,21
1508491921,2,7
1508492521,2,4
1508493123,1,4
1508493722,15,0
1508494922,47,19
1508495521,6,0
1508496121,3,12
1508496721,1,8
1508497322,34,3
1508497921,13,0
1508498521,7,4
1508499122,4,0
1508499722,1,0
1508500923,4,10
1508502121,4,0
1508503322,6,7
1508503922,2,5
1508504522,1,4
1508505721,1,5
1508506922,1,0
1508507521,2,8
1508508121,3,2
1508509322,7,5
1508509922,9,3
1508510522,4,0
1508511722,0,1
1508512322,2,7
1508512921,1,4
1508514122,25,1
1508514721,9,1
1508515322,2,19
1508516522,10,0
1508517121,1,3
1508517721,2,12
1508518922,2,9
1508520122,3,14
1508521321,4,2
1508522522,8,13
1508523121,6,0
1508524921,27,13
1508525521,7,0
1508526122,0,4
1508527322,6,9
1508528522,4,0
1508529722,3,9
1508530321,17,2
1508530921,4,10
1508532121,6,0
1508533321,5,13
1508534522,10,7
1508535722,4,5
1508536322,6,0
1508536921,1,2
1508538121,15,12
1508539322,7,7
1508540522,1,11
1508541122,10,5
1508541721,5,0
1508542322,4,6
1508542921,4,0
1508544122,4,12
1508544722,3,8
1508545322,9,5
1508545922,3,0
1508546523,12,0
1508547722,4,21
1508548321,11,0
1508548921,2,3
1508550122,5,18
1508550721,1,12
1508551322,4,0
1508552522,4,20
1508553721,4,7
1508554321,1,0
1508554922,1,0
1508556121,8,9
1508557322,3,9
1508557921,2,3
1508558522,1,4
1508559721,3,9
1508560322,5,0
1508560922,3,0
1508562122,7,19
1508563321,4,0
1508563921,1,16
1508564522,6,0
1508565121,3,5
1508565721,1,0
1508566321,5,0
1508566922,2,15
1508567522,1,0
1508568121,0,12
1508568722,2,0
1508569322,19,0
1508569921,12,2
1508570521,1,9
1508571722,14,16
1508572921,2,2
1508574122,8,0
1508574721,0,1
1508575322,2,0
1508576522,16,6
1508577122,5,3
1508577722,0,4
1508578922,5,5
1508580122,2,6
1508581322,57,5
1508582522,21,11
1508583122,9,6
1508583721,3,14
1508584921,4,27
1508586121,1,17
1508587321,6,0
1508587921,0,15
1508588521,1,0
1508589721,9,20
1508590922,5,2
1508592123,43,5
1508592721,5,4
1508593321,4,1
1508594521,3,1
1508595721,3,9
1508596921,1,8
1508598123,11,0
1508599322,6,14
1508600521,7,10
1508601122,0,5
1508601721,4,0
1508602322,2,8
1508602921,3,4
1508604122,33,3
1508605322,13,8
1508606521,7,2
1508607121,3,1
1508607721,4,5
1508608921,5,1
1508609522,1,11
1508610122,1,0
1508611322,2,0
1508611922,3,7
1508612522,0,5
1508613721,19,9
1508614921,5,6
1508616121,5,0
1508616721,3,11
1508617322,6,0
1508618521,4,21
1508619721,3,0
1508620921,7,13
1508621521,12,0
1508622122,19,5
1508623321,9,7
1508623921,7,0
1508624522,8,8
1508625121,1,0
1508625722,1,6
1508626921,2,1
1508627521,2,2
1508628121,1,8
1508628722,14,4
1508629321,13,12
1508630521,4,1
1508631121,0,7
1508631721,1,0
1508632922,20,24
1508634121,9,4
1508635322,4,7
1508636522,1,0
1508637121,1,10
1508637722,4,7
1508638921,22,0
1508640122,6,7
1508640722,2,0
1508641323,3,11
1508642522,5,0
1508643121,14,7
1508643722,3,1
1508644921,6,6
1508646122,3,0
1508646721,1,3
1508647322,3,3
1508647922,1,6
1508648521,12,0
1508649722,6,9
1508650321,1,1
1508652121,10,6
1508652721,1,1
1508653322,2,0
1508653922,17,3
1508654522,2,0
1508655722,2,17
1508656921,1,8
1508658121,8,15
1508658721,2,7
1508659322,12,0
1508659921,0,7
1508660521,1,0
1508661721,4,4
1508662321,0,16
1508662922,10,0
1508664122,8,6
1508665321,23,7
1508666521,3,0
1508667722,3,13
1508668921,1,29
1508670122,21,18
1508671321,14,0
1508671921,2,8
1508672522,2,0
1508673722,5,10
1508674922,2,13
1508676122,18,11
1508677922,14,5
1508678521,0,8
1508679122,2,15
1508679721,1,10
1508680921,2,0
1508681521,5,8
1508682121,1,0
1508682722,0,5
1508683321,0,11
1508684522,0,8
1508685721,24,0
1508686322,0,11
1508686922,2,1
1508687521,2,7
1508688121,2,1
1508688722,19,2
1508689321,20,0
1508690521,11,15
1508691121,2,0
1508691721,3,0
1508692921,6,16
1508693521,1,4
1508694121,0,8
1508695321,3,0
1508695922,5,6
1508696522,7,0
1508697721,5,9
1508698321,0,6
1508698922,0,5
1508700122,1,0
1508700721,1,7
1508701322,4,0
1508701922,1,14
1508702521,0,5
1508703722,8,19
1508704921,4,6
1508706122,4,5
1508706722,4,0
1508707321,24,0
1508708522,17,18
1508709722,7,19
1508710922,3,17
1508711522,0,11
1508712122,4,0
1508712722,1,9
1508713321,3,0
1508713921,1,7
1508714522,3,5
1508715721,11,10
1508716922,4,19
1508717522,1,7
1508718121,5,8
1508718722,5,0
1508719322,2,9
1508719922,4,0
1508720522,1,0
1508721722,9,22
1508722922,5,14
1508724122,0,6
1508724722,1,14
1508725322,3,0
1508725921,9,6
1508726522,6,0
1508727122,2,7
1508727722,4,0
