DateTime,AddedIPs,RemovedIPs
1508334122,8,8
1508335321,24,24
1508335921,9,9
1508336521,13,13
1508337121,19,19
1508337721,6,6
1508338322,16,16
1508338921,6,6
1508340122,8,8
1508341322,15,15
1508341922,9,9
1508342521,18,18
1508343122,12,12
1508343721,26,26
1508344921,32,32
1508345521,13,13
1508346121,30,30
1508346722,30,30
1508347323,38,38
1508347921,28,28
1508348522,16,16
1508349121,9,9
1508349721,18,18
1508350922,49,49
1508351521,24,24
1508352122,33,33
1508353322,43,43
1508353922,26,26
1508354521,24,24
1508355722,36,36
1508356321,22,22
1508356922,29,29
1508357522,48,48
1508358121,24,24
1508359321,22,22
1508360522,41,41
1508361721,68,68
1508362921,37,37
1508364122,55,55
1508365322,51,51
1508365921,18,18
1508366521,37,37
1508368322,53,53
1508368921,34,34
1508370121,42,42
1508371322,43,43
1508372521,63,63
1508373722,42,42
1508374322,26,26
1508374921,28,28
1508375522,18,18
1508376121,20,20
1508377322,38,38
1508377921,18,18
1508378521,29,29
1508379721,36,36
1508380921,36,36
1508381521,17,17
1508382121,3,3
1508383321,35,35
1508383922,16,16
1508384522,14,14
1508385721,42,42
1508386922,26,26
1508387521,9,9
1508388122,8,8
1508389321,31,31
1508390521,20,20
1508391721,34,34
1508392922,8,8
1508394123,24,24
1508395322,31,31
1508395921,12,12
1508396522,14,14
1508397721,15,15
1508398322,5,5
1508398922,11,11
1508399522,8,8
1508400121,11,11
1508400722,3,3
1508401322,6,6
1508401921,35,35
1508402522,14,14
1508403721,46,46
1508404922,24,24
1508405522,26,26
1508406121,22,22
1508407322,19,19
1508408522,62,62
1508409121,8,8
1508409721,27,27
1508410322,21,21
1508410921,34,34
1508411521,13,13
1508412121,8,8
1508413321,20,20
1508414522,20,20
1508415721,18,18
1508416922,31,31
1508418121,32,32
1508419321,24,24
1508420522,24,24
1508421722,42,42
1508422322,10,10
1508422921,12,12
1508423522,9,9
1508424122,25,25
1508424721,2,2
1508425322,3,3
1508425922,5,5
1508426522,15,15
1508427121,8,8
1508427721,5,5
1508428322,5,5
1508428922,20,20
1508430121,33,33
1508431321,29,29
1508432522,61,61
1508433122,16,16
1508433722,28,28
1508434922,49,49
1508435521,36,36
1508436121,30,30
1508437321,44,44
1508437922,14,14
1508438522,19,19
1508439721,41,41
1508440922,58,58
1508442122,51,51
1508443322,43,43
1508443921,45,45
1508444522,29,29
1508445722,57,57
1508446322,21,21
1508446922,21,21
1508447521,39,39
1508448122,29,29
1508449922,56,56
1508450522,20,20
1508451721,60,60
1508452921,55,55
1508454121,70,70
1508454721,23,23
1508455321,25,25
1508456521,55,55
1508457722,62,62
1508458322,40,40
1508458921,25,25
1508460121,58,58
1508460721,44,44
1508461322,47,47
1508461921,30,30
1508462522,24,24
1508463122,36,36
1508463721,25,25
1508464321,62,62
1508464922,42,42
1508465521,33,33
1508466121,23,23
1508467321,38,38
1508468522,28,28
1508469721,54,54
1508470921,36,36
1508472121,21,21
1508473321,28,28
1508474522,29,29
1508475122,9,9
1508475721,27,27
1508476922,62,62
1508478121,42,42
1508479322,25,25
1508479921,5,5
1508480522,32,32
1508481722,28,28
1508482921,43,43
1508483522,18,18
1508484121,34,34
1508484721,23,23
1508485322,10,10
1508486522,39,39
1508487122,24,24
1508488321,12,12
1508488921,24,24
1508490122,41,41
1508491322,23,23
1508491921,22,22
1508492521,26,26
1508493123,32,32
1508493722,23,23
1508494922,71,71
1508495521,25,25
1508496121,20,20
1508496721,17,17
1508497322,64,64
1508497921,53,53
1508498521,53,53
1508499122,34,34
1508499722,13,13
1508500923,43,43
1508502121,48,48
1508503322,56,56
1508503922,9,9
1508504522,5,5
1508505721,25,25
1508506922,22,22
1508507521,11,11
1508508121,9,9
1508509322,41,41
1508509922,25,25
1508510522,15,15
1508511722,12,12
1508512322,13,13
1508512921,24,24
1508514122,55,55
1508514721,42,42
1508515322,22,22
1508516522,64,64
1508517121,16,16
1508517721,15,15
1508518922,40,40
1508520122,35,35
1508521321,11,11
1508522522,51,51
1508523121,21,21
1508524921,57,57
1508525521,24,24
1508526122,22,22
1508527322,56,56
1508528522,52,52
1508529722,35,35
1508530321,49,49
1508530921,37,37
1508532121,50,50
1508533321,61,61
1508534522,53,53
1508535722,54,54
1508536322,29,29
1508536921,17,17
1508538121,73,73
1508539322,65,65
1508540522,58,58
1508541122,38,38
1508541721,28,28
1508542322,33,33
1508542921,48,48
1508544122,62,62
1508544722,34,34
1508545322,40,40
1508545922,42,42
1508546523,46,46
1508547722,56,56
1508548321,20,20
1508548921,8,8
1508550122,59,59
1508550721,19,19
1508551322,20,20
1508552522,47,47
1508553721,41,41
1508554321,29,29
1508554922,22,22
1508556121,37,37
1508557322,33,33
1508557921,27,27
1508558522,8,8
1508559721,30,30
1508560322,25,25
1508560922,23,23
1508562122,30,30
1508563321,33,33
1508563921,9,9
1508564522,17,17
1508565121,14,14
1508565721,15,15
1508566321,17,17
1508566922,11,11
1508567522,14,14
1508568121,12,12
1508568722,21,21
1508569322,34,34
1508569921,25,25
1508570521,16,16
1508571722,53,53
1508572921,22,22
1508573521,6,6
1508574122,26,26
1508574721,13,13
1508575322,16,16
1508576522,54,54
1508577122,17,17
1508577722,7,7
1508578922,20,20
1508580122,20,20
1508581322,84,84
1508582522,66,66
1508583122,42,42
1508583721,28,28
1508584921,54,54
1508586121,42,42
1508587321,32,32
1508587921,17,17
1508588521,23,23
1508589721,59,59
1508590922,50,50
1508592123,61,61
1508592721,25,25
1508593321,30,30
1508594521,36,36
1508595721,38,38
1508596921,20,20
1508598123,53,53
1508599322,43,43
1508600521,38,38
1508601122,10,10
1508601721,50,50
1508602322,25,25
1508602921,30,30
1508604122,61,61
1508605322,45,45
1508606521,47,47
1508607121,26,26
1508607721,26,26
1508608921,65,65
1508609522,41,41
1508610122,27,27
1508611322,53,53
1508611922,30,30
1508612522,37,37
1508613721,63,63
1508614921,50,50
1508616121,54,54
1508616721,35,35
1508617322,55,55
1508618521,67,67
1508619721,44,44
1508620921,58,58
1508621521,55,55
1508622122,62,62
1508623321,70,70
1508623921,39,39
1508624522,39,39
1508625121,33,33
1508625722,37,37
1508626921,42,42
1508627521,34,34
1508628121,28,28
1508628722,59,59
1508629321,49,49
1508630521,66,66
1508631121,48,48
1508631721,19,19
1508632922,56,56
1508634121,33,33
1508635322,52,52
1508635921,40,40
1508636522,28,28
1508637121,19,19
1508637722,28,28
1508638921,68,68
1508640122,36,36
1508640722,22,22
1508641323,21,21
1508642522,46,46
1508643121,30,30
1508643722,20,20
1508644921,50,50
1508645521,14,14
1508646122,18,18
1508646721,16,16
1508647322,23,23
1508647922,10,10
1508648521,38,38
1508649722,17,17
1508650321,7,7
1508650922,6,6
1508652121,36,36
1508652721,6,6
1508653322,24,24
1508653922,40,40
1508654522,15,15
1508655722,33,33
1508656921,27,27
1508658121,51,51
1508658721,16,16
1508659322,48,48
1508659921,19,19
1508660521,9,9
1508661721,44,44
1508662321,15,15
1508662922,25,25
1508664122,27,27
1508665321,46,46
1508665921,21,21
1508666521,33,33
1508667722,34,34
1508668921,57,57
1508669521,13,13
1508670122,36,36
1508671321,44,44
1508671921,23,23
1508672522,19,19
1508673722,35,35
1508674922,24,24
1508676122,51,51
1508677922,44,44
1508678521,18,18
1508679122,23,23
1508679721,10,10
1508680921,24,24
1508681521,31,31
1508682121,15,15
1508682722,17,17
1508683321,7,7
1508684522,12,12
1508685721,43,43
1508686322,14,14
1508686922,22,22
1508687521,11,11
1508688121,9,9
1508688722,49,49
1508689321,50,50
1508690521,66,66
1508691121,22,22
1508691721,34,34
1508692921,45,45
1508693521,20,20
1508694121,24,24
1508695321,61,61
1508695922,34,34
1508696522,38,38
1508697721,54,54
1508698321,27,27
1508698922,28,28
1508700122,37,37
1508700721,23,23
1508701322,38,38
1508701922,19,19
1508702521,19,19
1508703722,66,66
1508704921,61,61
1508706122,53,53
1508706722,27,27
1508707321,36,36
1508708522,64,64
1508709722,53,53
1508710922,36,36
1508711522,40,40
1508712122,25,25
1508712722,28,28
1508713321,24,24
1508713921,26,26
1508714522,23,23
1508715721,44,44
1508716922,48,48
1508717522,24,24
1508718121,45,45
1508718722,31,31
1508719322,22,22
1508719922,43,43
1508720522,29,29
1508721722,45,45
1508722922,55,55
1508724122,21,21
1508724722,30,30
1508725322,17,17
1508725921,37,37
1508726522,37,37
1508727122,19,19
1508727722,25,25
1508728922,36,36
1508729521,28,28
1508730122,34,34
1508731322,32,32
1508732521,34,34
1508733722,70,70
1508734322,20,20
1508734921,31,31
1508736121,39,39
1508737322,34,34
1508737922,21,21
1508738521,19,19
1508739121,27,27
1508739721,18,18
1508740322,10,10
1508740921,24,24
1508741522,26,26
1508742122,19,19
1508742722,14,14
1508743322,17,17
1508743922,15,15
1508744521,32,32
1508745122,14,14
1508745721,6,6
1508746921,44,44
1508748122,54,54
1508749322,44,44
1508750522,51,51
1508751721,44,44
1508752922,47,47
1508753521,25,25
1508754121,31,31
