DateTime,AddedIPs,RemovedIPs
1506950188,88,0
1506953787,144,0
1506957388,218,0
1506960987,88,0
1506964588,82,0
1506968188,66,0
1506971788,146,0
1506975388,198,0
1506978988,74,0
1506982588,85,0
1506986188,85,0
1506989788,74,2090
1506993388,97,0
1506996988,76,0
1507000588,84,0
1507004188,56,0
1507007788,183,0
1507011388,104,0
1507014988,119,0
1507018588,118,0
1507022189,191,0
1507025788,143,0
1507029388,101,0
1507032988,120,0
1507036588,111,0
1507040188,108,0
1507043788,120,0
1507047388,149,0
1507050989,132,0
1507054588,57,0
1507058188,95,0
1507061788,67,0
1507065389,72,0
1507068988,77,0
1507072588,62,0
1507076188,62,2881
1507079788,81,0
1507083388,67,0
1507086988,61,0
1507090588,76,0
1507094188,182,0
1507097788,229,0
1507101388,113,0
1507104988,129,0
1507108588,125,0
1507112189,114,0
1507115788,153,1
1507119388,134,0
1507122988,126,0
1507126588,167,0
1507130188,92,0
1507133788,212,0
1507137388,129,0
1507140988,78,0
1507144588,102,0
1507148189,107,0
1507151789,68,0
1507155389,80,0
1507158989,66,0
1507162589,59,2437
1507166189,81,0
1507169789,77,0
1507173388,73,0
1507176989,88,0
1507180589,81,0
1507184188,175,0
1507187789,139,0
1507191389,141,0
1507194989,205,0
1507198589,199,0
1507202188,158,0
1507205788,106,0
1507209389,376,0
1507212989,225,0
1507216589,196,0
1507220189,264,0
1507223789,91,0
1507227389,114,0
1507230988,83,0
1507234589,84,0
1507238189,74,0
1507241789,81,0
1507245389,87,0
1507248989,87,2698
1507252589,100,0
1507256189,181,0
1507259789,206,0
1507263389,61,0
1507266989,98,0
1507270589,159,0
1507274189,112,1
1507277789,178,0
1507281389,182,0
1507284989,182,0
1507288589,107,0
1507292189,114,0
1507295789,101,0
1507299389,117,0
1507302989,396,0
1507306589,137,0
1507310190,74,0
1507313789,110,0
1507317389,119,0
1507320989,90,0
1507324589,88,0
1507328189,80,0
1507331789,58,0
1507335390,80,3180
1507338989,81,0
1507342589,75,0
1507346190,69,0
1507349789,82,0
1507353389,98,0
1507356989,92,0
1507360590,162,0
1507364189,121,0
1507367790,106,0
1507371389,100,0
1507374989,129,0
1507378590,125,0
1507382189,102,0
1507385789,89,0
1507389390,95,0
1507392990,124,0
1507396589,143,0
1507400190,70,0
1507403789,84,0
1507407390,93,0
1507410990,76,0
1507414589,59,0
1507418189,83,0
1507421790,84,3350
1507425389,68,0
1507428989,68,0
1507432590,101,0
1507436189,70,0
1507439790,71,0
1507443390,68,0
1507446989,89,0
1507450589,82,0
1507454189,78,0
1507457790,103,0
1507461389,127,0
1507464990,183,0
1507468590,80,0
1507472189,111,0
1507475790,102,0
1507479390,68,0
1507482990,115,0
1507486589,147,0
1507490190,63,0
1507493790,93,0
1507497390,82,0
1507500990,84,0
1507504590,119,0
1507508190,77,2211
1507511790,88,0
1507515390,156,0
1507518990,225,0
1507522590,70,0
1507526190,168,0
1507529790,132,0
1507533389,160,0
1507536990,163,0
1507540590,144,0
1507544190,437,0
1507547790,478,0
1507551390,351,0
1507554990,267,0
1507558590,181,0
1507562190,268,0
1507565790,197,0
1507569390,103,0
1507572991,143,0
1507576590,125,0
1507580190,79,0
1507583790,85,0
1507587391,93,0
1507590990,128,0
1507594590,61,2214
1507598191,97,0
1507601790,166,0
1507605390,243,0
1507608990,105,0
1507612590,115,0
1507616190,120,0
1507619790,144,0
1507623391,165,0
1507626991,184,0
1507630590,153,0
1507634191,121,0
1507637791,140,0
1507641390,157,0
1507644990,142,0
1507648590,287,0
1507652191,107,0
1507655790,115,0
1507660290,105,0
1507663890,124,0
1507667491,68,0
1507671090,78,0
1507674690,102,0
1507678291,71,0
1507681890,59,4227
1507685490,107,0
1507689091,161,0
1507692690,208,0
1507696291,160,0
1507699891,85,0
1507703490,109,0
1507707091,121,0
1507710690,128,0
1507714290,135,0
1507717890,133,0
1507721491,137,0
1507725091,119,0
1507728691,137,0
1507732290,95,0
1507735891,148,0
1507739491,125,0
1507743090,91,0
1507747591,166,0
1507751191,90,0
1507754791,90,0
1507758391,89,0
1507761991,82,0
1507765591,73,0
1507769191,68,3262
1507772791,79,0
1507776391,99,0
1507779990,81,0
1507783591,118,0
1507787191,111,0
1507790791,137,0
1507794391,143,0
1507797991,106,0
1507801591,118,1
1507805191,158,0
1507808791,125,0
1507812391,134,0
1507815991,113,0
1507819591,134,0
1507823191,63,0
1507826791,92,0
1507830391,190,0
1507833991,99,0
1507837591,88,0
1507841191,76,0
1507844791,69,0
1507848391,75,0
1507851992,61,0
1507855591,54,2844
1507859191,96,0
1507862791,85,0
1507866391,110,0
1507869991,188,0
1507873591,113,0
1507877191,136,0
1507880791,121,0
1507884391,120,0
