DateTime,Entries,UniqueIPs
1506950188,4881,4881
1506953787,5025,5025
1506957388,5243,5243
1506960987,5331,5331
1506964588,5413,5413
1506968188,5479,5479
1506971788,5625,5625
1506975388,5823,5823
1506978988,5897,5897
1506982588,5982,5982
1506986188,6067,6067
1506989788,4051,4051
1506993388,4148,4148
1506996988,4224,4224
1507000588,4308,4308
1507004188,4364,4364
1507007788,4547,4547
1507011388,4651,4651
1507014988,4770,4770
1507018588,4888,4888
1507022189,5079,5079
1507025788,5222,5222
1507029388,5323,5323
1507032988,5443,5443
1507036588,5554,5554
1507040188,5662,5662
1507043788,5782,5782
1507047388,5931,5931
1507050989,6063,6063
1507054588,6120,6120
1507058188,6215,6215
1507061788,6282,6282
1507065389,6354,6354
1507068988,6431,6431
1507072588,6493,6493
1507076188,3674,3674
1507079788,3755,3755
1507083388,3822,3822
1507086988,3883,3883
1507090588,3959,3959
1507094188,4141,4141
1507097788,4370,4370
1507101388,4483,4483
1507104988,4612,4612
1507108588,4737,4737
1507112189,4851,4851
1507115788,5003,5003
1507119388,5137,5137
1507122988,5263,5263
1507126588,5430,5430
1507130188,5522,5522
1507133788,5734,5734
1507137388,5863,5863
1507140988,5941,5941
1507144588,6043,6043
1507148189,6150,6150
1507151789,6218,6218
1507155389,6298,6298
1507158989,6364,6364
1507162589,3986,3986
1507166189,4067,4067
1507169789,4144,4144
1507173388,4217,4217
1507176989,4305,4305
1507180589,4386,4386
1507184188,4561,4561
1507187789,4700,4700
1507191389,4841,4841
1507194989,5046,5046
1507198589,5245,5245
1507202188,5403,5403
1507205788,5509,5509
1507209389,5885,5885
1507212989,6110,6110
1507216589,6306,6306
1507220189,6570,6570
1507223789,6661,6661
1507227389,6775,6775
1507230988,6858,6858
1507234589,6942,6942
1507238189,7016,7016
1507241789,7097,7097
1507245389,7184,7184
1507248989,4573,4573
1507252589,4673,4673
1507256189,4854,4854
1507259789,5060,5060
1507263389,5121,5121
1507266989,5219,5219
1507270589,5378,5378
1507274189,5489,5489
1507277789,5667,5667
1507281389,5849,5849
1507284989,6031,6031
1507288589,6138,6138
1507292189,6252,6252
1507295789,6353,6353
1507299389,6470,6470
1507302989,6866,6866
1507306589,7003,7003
1507310190,7077,7077
1507313789,7187,7187
1507317389,7306,7306
1507320989,7396,7396
1507324589,7484,7484
1507328189,7564,7564
1507331789,7622,7622
1507335390,4522,4522
1507338989,4603,4603
1507342589,4678,4678
1507346190,4747,4747
1507349789,4829,4829
1507353389,4927,4927
1507356989,5019,5019
1507360590,5181,5181
1507364189,5302,5302
1507367790,5408,5408
1507371389,5508,5508
1507374989,5637,5637
1507378590,5762,5762
1507382189,5864,5864
1507385789,5953,5953
1507389390,6048,6048
1507392990,6172,6172
1507396589,6315,6315
1507400190,6385,6385
1507403789,6469,6469
1507407390,6562,6562
1507410990,6638,6638
1507414589,6697,6697
1507418189,6780,6780
1507421790,3514,3514
1507425389,3582,3582
1507428989,3650,3650
1507432590,3751,3751
1507436189,3821,3821
1507439790,3892,3892
1507443390,3960,3960
1507446989,4049,4049
1507450589,4131,4131
1507454189,4209,4209
1507457790,4312,4312
1507461389,4439,4439
1507464990,4622,4622
1507468590,4702,4702
1507472189,4813,4813
1507475790,4915,4915
1507479390,4983,4983
1507482990,5098,5098
1507486589,5245,5245
1507490190,5308,5308
1507493790,5401,5401
1507497390,5483,5483
1507500990,5567,5567
1507504590,5686,5686
1507508190,3552,3552
1507511790,3640,3640
1507515390,3796,3796
1507518990,4021,4021
1507522590,4091,4091
1507526190,4259,4259
1507529790,4391,4391
1507533389,4551,4551
1507536990,4714,4714
1507540590,4858,4858
1507544190,5295,5295
1507547790,5773,5773
1507551390,6124,6124
1507554990,6391,6391
1507558590,6572,6572
1507562190,6840,6840
1507565790,7037,7037
1507569390,7140,7140
1507572991,7283,7283
1507576590,7408,7408
1507580190,7487,7487
1507583790,7572,7572
1507587391,7665,7665
1507590990,7793,7793
1507594590,5640,5640
1507598191,5737,5737
1507601790,5903,5903
1507605390,6146,6146
1507608990,6251,6251
1507612590,6366,6366
1507616190,6486,6486
1507619790,6630,6630
1507623391,6795,6795
1507626991,6979,6979
1507630590,7132,7132
1507634191,7253,7253
1507637791,7393,7393
1507641390,7550,7550
1507644990,7692,7692
1507648590,7979,7979
1507652191,8086,8086
1507655790,8201,8201
1507660290,8306,8306
1507663890,8430,8430
1507667491,8498,8498
1507671090,8576,8576
1507674690,8678,8678
1507678291,8749,8749
1507681890,4581,4581
1507685490,4688,4688
1507689091,4849,4849
1507692690,5057,5057
1507696291,5217,5217
1507699891,5302,5302
1507703490,5411,5411
1507707091,5532,5532
1507710690,5660,5660
1507714290,5795,5795
1507717890,5928,5928
1507721491,6065,6065
1507725091,6184,6184
1507728691,6321,6321
1507732290,6416,6416
1507735891,6564,6564
1507739491,6689,6689
1507743090,6780,6780
1507747591,6946,6946
1507751191,7036,7036
1507754791,7126,7126
1507758391,7215,7215
1507761991,7297,7297
1507765591,7370,7370
1507769191,4176,4176
1507772791,4255,4255
1507776391,4354,4354
1507779990,4435,4435
1507783591,4553,4553
1507787191,4664,4664
1507790791,4801,4801
1507794391,4944,4944
1507797991,5050,5050
1507801591,5167,5167
1507805191,5325,5325
1507808791,5450,5450
1507812391,5584,5584
1507815991,5697,5697
1507819591,5831,5831
1507823191,5894,5894
1507826791,5986,5986
1507830391,6176,6176
1507833991,6275,6275
1507837591,6363,6363
1507841191,6439,6439
1507844791,6508,6508
1507848391,6583,6583
1507851992,6644,6644
1507855591,3854,3854
1507859191,3950,3950
1507862791,4035,4035
1507866391,4145,4145
1507869991,4333,4333
1507873591,4446,4446
1507877191,4582,4582
1507880791,4703,4703
1507884391,4823,4823
1507887992,4930,4930
1507891592,5104,5104
1507895191,5230,5230
1507898791,5353,5353
1507902391,5458,5458
1507905991,5568,5568
1507910492,5705,5705
1507914092,5800,5800
1507917691,5875,5875
1507921292,5955,5955
1507924891,6037,6037
1507928492,6126,6126
1507932091,6202,6202
1507935692,6264,6264
1507939292,3804,3804
1507942891,3871,3871
1507946491,3959,3959
1507950092,4028,4028
1507953692,4127,4127
1507957292,4244,4244
1507960891,4350,4350
1507964492,4478,4478
1507968092,4703,4703
1507971692,4799,4799
1507975291,4913,4913
1507978892,5399,5399
1507982492,5618,5618
1507986092,5857,5857
1507989692,6070,6070
1507993291,6693,6693
1507996892,6810,6810
1508000492,6894,6894
1508004091,6963,6963
1508007692,7055,7055
1508011292,7119,7119
