DateTime,AddedIPs,RemovedIPs
1506711794,1,1
1506715394,4,2
1506718994,1,3
1506722594,3,0
1506726194,0,5
1506733334,1,0
1506736936,0,6
1506740595,1,0
1506744195,1,3
1506747795,0,5
1506751394,1,0
1506754935,2,1
1506758594,2,2
1506765794,1,4
1506769394,0,3
1506776595,2,0
1506780135,1,0
1506783795,1,2
1506787335,2,0
1506790995,1,1
1506794595,4,0
1506798195,1,0
1506801735,1,3
1506808996,1,2
1506812535,2,0
1506816196,4,1
1506819736,1,0
1506823396,7,0
1506826995,2,1
1506834196,3,1
1506837796,7,5
1506841396,2,0
1506844996,2,1
1506848596,1,2
1506852196,2,1
1506855796,0,1
1506859397,3,3
1506862997,1,0
1506866596,2,1
1506870196,2,1
1506873796,3,0
1506877337,0,2
1506880997,2,0
1506888137,1,0
1506891796,1,2
1506895337,1,0
1506898936,2,2
1506906136,0,3
1506909736,2,0
1506913397,1,6
1506916997,5,0
1506920597,3,2
1506924197,1,0
1506927797,4,5
1506931397,1,0
1506934997,4,0
1506938537,1,0
1506942197,0,3
1506949397,0,5
1506956597,1,0
1506960137,3,7
1506963737,3,2
1506967397,0,2
1506970937,1,0
1506974597,4,3
1506981737,4,3
1506985337,3,0
1506988937,2,2
1506996198,1,2
1506999798,2,0
1507003398,4,3
1507006998,1,0
1507010598,1,4
1507014198,1,1
1507017798,2,0
1507021398,1,0
1507024938,0,1
1507028598,7,0
1507032138,4,3
1507035738,1,0
1507039398,0,1
1507042998,2,3
1507046598,3,3
1507050198,2,0
1507053738,2,2
1507057338,4,1
1507064598,6,6
1507068198,3,4
1507071798,2,2
1507075345,1,0
1507078945,1,0
1507082605,2,1
1507086205,1,3
1507089805,1,0
1507093405,1,1
1507096945,3,0
1507100612,2,3
1507104212,1,0
1507107812,0,1
1507111412,1,0
1507115012,0,1
1507118552,3,0
1507125812,1,4
1507129412,3,0
1507133012,1,2
1507136612,1,0
1507143752,0,2
1507147412,2,1
1507151012,1,0
1507154612,3,0
1507161753,1,2
1507172613,1,1
1507176153,0,2
1507179753,1,1
1507183413,2,3
1507187013,1,0
1507190613,2,0
1507194213,1,0
1507197813,1,4
1507201413,2,1
1507205013,2,1
1507212153,0,3
1507215813,3,0
1507222953,1,0
1507226613,1,4
1507233754,2,0
1507240954,3,2
1507244554,2,0
1507248154,2,5
1507251754,2,0
1507255354,1,2
1507258954,1,0
1507262554,2,1
1507266154,2,1
1507269814,3,0
1507273414,0,4
1507277014,2,3
1507284154,0,1
1507287814,0,3
1507291414,1,0
1507295014,0,1
1507298554,1,0
1507302154,1,2
1507305814,3,0
1507309354,1,0
1507313014,4,2
1507316614,0,7
1507320154,0,1
1507323815,2,0
1507327415,2,7
1507334555,1,1
1507338215,1,2
1507341755,3,0
1507345355,3,7
1507348955,0,1
1507356215,0,9
1507359755,5,0
1507363355,3,3
1507367015,1,3
1507370555,1,1
1507377755,2,2
1507384955,3,1
1507388615,2,0
1507392155,0,1
1507395815,3,2
1507399355,0,1
1507403015,2,1
1507413816,2,0
1507417416,1,3
1507424556,3,2
1507428156,1,0
1507431816,2,1
1507435356,4,3
1507438956,5,0
1507446156,3,4
1507449756,2,0
1507453356,1,2
1507456956,1,0
1507460556,4,1
1507464156,3,0
1507467816,0,2
1507471356,2,0
1507475016,0,3
1507478556,3,0
1507482156,3,3
1507485816,1,0
1507489416,1,1
1507492956,2,0
1507496557,2,1
1507500157,0,2
1507503817,1,0
1507507357,1,0
1507510957,2,2
1507514557,2,0
1507518217,1,1
1507521757,1,0
1507525417,3,4
1507528957,2,0
1507532557,1,4
1507536217,1,1
1507540263,0,4
1507543382,14,0
1507546984,0,1
1507554124,1,2
1507557783,3,0
1507561383,1,2
1507564983,4,2
1507568583,1,0
1507572183,1,1
1507575783,1,4
1507579383,3,1
1507582924,1,4
1507586524,1,2
1507590124,1,1
1507597384,1,4
1507604584,0,3
1507608184,2,0
1507611784,1,4
1507615384,3,0
1507618984,1,2
1507622584,1,1
1507626124,3,0
1507629784,2,0
1507633385,0,4
1507633924,3,0
1507644184,2,3
1507651384,3,1
1507654984,0,1
1507658524,3,1
1507662184,1,4
1507665784,2,0
1507669384,2,4
1507672985,1,0
1507676584,2,0
1507680185,0,1
1507687385,1,4
1507690985,2,0
1507694585,2,2
1507698185,2,0
1507701786,1,6
1507705385,4,0
1507712585,3,0
1507716185,3,2
1507719725,1,0
1507723445,0,2
1507726985,2,6
1507730585,1,0
1507734185,1,1
1507737786,1,1
1507741386,3,1
