DateTime,Entries,UniqueIPs
1506711794,1027,1112
1506715394,1029,1114
1506718994,1027,1112
1506722594,1030,1115
1506726194,1025,1110
1506733334,1026,1111
1506736936,1023,1105
1506740595,1024,1106
1506744195,1023,1104
1506747795,1018,1099
1506751394,1019,1100
1506754935,1020,1101
1506758594,1020,1101
1506765794,1017,1098
1506769394,1014,1095
1506776595,1016,1097
1506780135,1017,1098
1506783795,1017,1097
1506787335,1019,1099
1506790995,1019,1099
1506794595,1023,1103
1506798195,1024,1104
1506801735,1023,1102
1506808996,1022,1101
1506812535,1024,1103
1506816196,1027,1106
1506819736,1028,1107
1506823396,1035,1114
1506826995,1036,1115
1506834196,1038,1117
1506837796,1040,1119
1506841396,1042,1121
1506844996,1043,1122
1506848596,1042,1121
1506852196,1043,1122
1506855796,1042,1121
1506859397,1042,1121
1506862997,1043,1122
1506866596,1044,1123
1506870196,1045,1124
1506873796,1048,1127
1506877337,1046,1125
1506880997,1048,1127
1506888137,1049,1128
1506891796,1048,1127
1506895337,1049,1128
1506898936,1049,1128
1506906136,1046,1125
1506909736,1048,1127
1506913397,1043,1122
1506916997,1048,1127
1506920597,1049,1128
1506924197,1050,1129
1506927797,1049,1128
1506931397,1050,1129
1506934997,1054,1133
1506938537,1055,1134
1506942197,1052,1131
1506949397,1047,1126
1506956597,1048,1127
1506960137,1047,1123
1506963737,1048,1124
1506967397,1046,1122
1506970937,1047,1123
1506974597,1048,1124
1506981737,1049,1125
1506985337,1051,1128
1506988937,1051,1128
1506996198,1050,1127
1506999798,1052,1129
1507003398,1053,1130
1507006998,1054,1131
1507010598,1051,1128
1507014198,1051,1128
1507017798,1053,1130
1507021398,1054,1131
1507024938,1053,1130
1507028598,1056,1137
1507032138,1057,1138
1507035738,1057,1139
1507039398,1056,1138
1507042998,1055,1137
1507046598,1055,1137
1507050198,1057,1139
1507053738,1057,1139
1507057338,1060,1142
1507064598,1062,1142
1507068198,1061,1141
1507071798,1061,1141
1507075345,1062,1142
1507078945,1063,1143
1507082605,1064,1144
1507086205,1062,1142
1507089805,1063,1143
1507093405,1063,1143
1507096945,1066,1146
1507100612,1065,1145
1507104212,1066,1146
1507107812,1065,1145
1507111412,1066,1146
1507115012,1065,1145
1507118552,1068,1148
1507125812,1065,1145
1507129412,1068,1148
1507133012,1067,1147
1507136612,1068,1148
1507143752,1066,1146
1507147412,1067,1147
1507151012,1068,1148
1507154612,1071,1151
1507161753,1070,1150
1507172613,1070,1150
1507176153,1068,1148
1507179753,1068,1148
1507183413,1067,1147
1507187013,1068,1148
1507190613,1070,1150
1507194213,1071,1151
1507197813,1068,1148
1507201413,1070,1149
1507205013,1071,1150
1507212153,1068,1147
1507215813,1071,1150
1507222953,1072,1151
1507226613,1070,1148
1507233754,1072,1150
1507240954,1073,1151
1507244554,1075,1153
1507248154,1072,1150
1507251754,1074,1152
1507255354,1073,1151
1507258954,1074,1152
1507262554,1075,1153
1507266154,1076,1154
1507269814,1079,1157
1507273414,1075,1153
1507277014,1074,1152
1507284154,1073,1151
1507287814,1070,1148
1507291414,1071,1149
1507295014,1070,1148
1507298554,1071,1149
1507302154,1070,1148
1507305814,1073,1151
1507309354,1074,1152
1507313014,1076,1154
1507316614,1070,1147
1507320154,1069,1146
1507323815,1071,1148
1507327415,1066,1143
1507334555,1066,1143
1507338215,1065,1142
1507341755,1068,1145
1507345355,1070,1141
1507348955,1069,1140
1507356215,1060,1131
1507359755,1065,1136
1507363355,1066,1136
1507367015,1064,1134
1507370555,1064,1134
1507377755,1064,1134
1507384955,1066,1136
1507388615,1068,1138
1507392155,1067,1137
1507395815,1068,1138
1507399355,1067,1137
1507403015,1068,1138
1507413816,1070,1140
1507417416,1068,1138
1507424556,1068,1139
1507428156,1069,1140
1507431816,1070,1141
1507435356,1071,1142
1507438956,1073,1147
1507446156,1072,1146
1507449756,1074,1148
1507453356,1073,1147
1507456956,1074,1148
1507460556,1077,1151
1507464156,1080,1154
1507467816,1078,1152
1507471356,1080,1154
1507475016,1077,1151
1507478556,1080,1154
1507482156,1080,1154
1507485816,1081,1155
1507489416,1081,1155
1507492956,1083,1157
1507496557,1084,1158
1507500157,1082,1156
1507503817,1083,1157
1507507357,1084,1158
1507510957,1084,1158
1507514557,1086,1160
1507518217,1086,1160
1507521757,1087,1161
1507525417,1086,1160
1507528957,1088,1162
1507532557,1085,1159
1507536217,1085,1159
1507540263,1081,1155
1507543382,1093,1169
1507546984,1092,1168
1507554124,1091,1167
1507557783,1094,1170
1507561383,1093,1169
1507564983,1094,1171
1507568583,1095,1172
1507572183,1095,1172
1507575783,1092,1169
1507579383,1094,1171
1507582924,1091,1168
1507586524,1090,1167
1507590124,1090,1167
1507597384,1087,1164
1507604584,1084,1161
1507608184,1086,1163
1507611784,1083,1160
1507615384,1086,1163
1507618984,1085,1162
1507622584,1085,1162
1507626124,1088,1165
1507629784,1090,1167
1507633385,1086,1163
1507633924,1089,1166
1507644184,1088,1165
1507651384,1090,1167
1507654984,1089,1166
1507658524,1091,1168
1507662184,1088,1165
1507665784,1090,1167
1507669384,1088,1165
1507672985,1089,1166
1507676584,1091,1168
1507680185,1090,1167
1507687385,1087,1164
1507690985,1089,1166
1507694585,1089,1166
1507698185,1091,1168
1507701786,1086,1163
1507705385,1090,1167
1507712585,1093,1170
1507716185,1094,1171
1507719725,1095,1172
1507723445,1093,1170
1507726985,1090,1166
1507730585,1091,1167
1507734185,1091,1167
1507737786,1091,1167
1507741386,1093,1169
1507744926,1092,1168
1507748586,1091,1167
1507752126,1094,1170
1507755786,1092,1168
1507759386,1093,1169
1507762986,1093,1169
1507766587,1094,1170
1507770127,1095,1171
1507773786,1094,1170
1507777387,1098,1174
1507780986,1096,1172
1507784587,1091,1167
1507788186,1091,1167
1507791727,1094,1170
1507795327,1094,1171
1507798988,1093,1170
1507802589,1087,1164
1507806198,1087,1164
1507813396,1089,1166
1507816996,1088,1165
1507820593,1089,1166
1507824195,1088,1165
1507831393,1088,1165
1507834933,1090,1167
1507838594,1092,1169
1507842194,1093,1170
1507845794,1094,1171
1507849395,1093,1170
1507852994,1092,1169
1507860135,1090,1167
1507863794,1090,1167
1507867396,1091,1168
1507874596,1089,1166
1507878195,1088,1165
1507888995,1091,1168
1507892595,1090,1167
1507896195,1092,1169
1507899795,1101,1178
1507903395,1104,1182
1507906995,1105,1183
1507910596,1107,1185
1507914195,1103,1181
1507917795,1104,1182
1507921395,1105,1183
1507924995,1105,1183
1507928535,1108,1186
1507932195,1107,1185
1507935795,1107,1183
1507939395,1107,1182
1507946604,1103,1178
1507950196,1105,1180
1507953796,1103,1178
1507957336,1104,1179
1507960936,1098,1173
1507964536,1112,1187
1507968196,1110,1184
1507975396,1111,1185
1507978936,1110,1184
1507982596,1109,1183
1507986196,1105,1178
1507989796,1103,1176
1507993336,1104,1177
1507996937,1102,1175
1508000597,1103,1176
1508004196,1114,1187
1508007797,1125,1198
1508011397,1124,1197
1508014997,1126,1199
1508018597,1125,1198
1508022197,1127,1200
1508025736,1130,1203
1508032999,1131,1204
1508036598,1133,1206
1508040197,1131,1204
1508043797,1132,1205
1508047397,1119,1192
1508050997,1123,1196
1508054537,1122,1195
1508058197,1124,1197
1508061797,1124,1197
1508065398,1126,1199
1508068937,1122,1195
1508076197,1121,1194
1508079737,1119,1192
1508083399,1117,1190
1508086937,1118,1191
1508090597,1116,1189
1508097798,1114,1187
1508101338,1115,1188
1508104938,1115,1188
1508108597,1116,1189
1508112197,1116,1189
1508115798,1117,1190
1508119338,1115,1188
1508122938,1116,1189
1508126538,1111,1184
1508133798,1108,1181
1508137338,1110,1183
1508140938,1109,1182
1508144599,1112,1185
1508148199,1111,1184
1508155399,1112,1185
1508158998,1112,1185
1508162599,1116,1189
1508166199,1118,1192
1508169739,1119,1193
1508173339,1115,1189
1508180540,1113,1187
1508187799,1114,1188
1508191399,1113,1187
1508202200,1111,1185
1508205739,1111,1185
1508209340,1112,1186
1508212939,1109,1182
1508216599,1111,1184
1508220199,1108,1181
1508223799,1110,1183
1508227400,1110,1182
1508231000,1108,1180
1508234540,1105,1177
1508238141,1107,1179
1508241740,1108,1180
1508245340,1106,1178
1508249000,1106,1177
1508252600,1103,1174
1508256200,1103,1174
1508259800,1109,1183
1508263341,1105,1179
1508267000,1106,1180
1508270600,1104,1178
1508274140,1107,1181
1508277741,1104,1178
1508281400,1104,1178
1508284940,1105,1179
1508288601,1103,1177
1508292140,1104,1178
1508295741,1105,1179
1508297480,1102,1176
1508299342,1099,1173
1508302940,1097,1171
1508310201,1095,1169
1508313800,1098,1172
1508317341,1093,1167
1508324541,1090,1164
1508328201,1092,1166
1508331801,1092,1166
1508335401,1094,1168
1508338942,1098,1172
1508342601,1098,1172
1508349741,1095,1169
1508353401,1097,1171
1508357001,1095,1169
1508360601,1098,1180
1508364201,1097,1179
1508367741,1095,1177
1508371402,1098,1180
1508375005,1099,1181
1508378602,1102,1184
1508382202,1103,1185
1508385802,1100,1182
1508389402,1101,1183
1508393002,1098,1180
1508396542,1100,1182
1508400142,1099,1181
1508407342,1094,1176
1508411002,1095,1177
1508414542,1093,1175
1508418203,1094,1176
1508421802,1093,1175
1508425342,1091,1173
1508428942,1092,1174
1508432543,1095,1177
1508436203,1093,1175
1508439802,1092,1174
1508443402,1094,1176
1508447002,1097,1177
1508450543,1094,1174
1508454203,1093,1173
1508457802,1095,1175
1508461344,1095,1174
1508464942,1092,1171
1508468542,1094,1173
1508472203,1091,1170
1508475803,1090,1169
1508479343,1091,1170
1508483003,1091,1170
1508486603,1093,1172
1508490203,1090,1169
1508497403,1091,1170
1508501003,1091,1169
1508504603,1091,1169
1508511803,1088,1166
1508515403,1089,1167
1508519003,1086,1164
1508519864,1084,1165
1508526203,1084,1165
1508529803,1083,1164
1508533403,1080,1161
1508537003,1082,1163
1508540543,1085,1166
1508544203,1086,1167
1508547805,1088,1169
1508551404,1089,1170
1508554944,1087,1168
1508558604,1088,1169
1508562204,1087,1168
1508565804,1087,1168
1508569404,1087,1168
1508573004,1086,1167
1508576544,1085,1166
1508580144,1086,1167
1508583744,1084,1165
1508590944,1083,1164
1508594604,1083,1164
1508601804,1084,1164
1508605344,1087,1167
1508609005,1086,1166
1508612545,1087,1167
1508616145,1092,1172
1508619805,1091,1171
1508623406,1091,1170
1508627005,1088,1167
1508634204,1085,1164
1508641404,1084,1163
1508648607,1081,1160
1508652206,1078,1157
1508655745,1078,1157
1508659345,1081,1160
1508662945,1091,1170
1508666606,1090,1168
1508670205,1092,1170
1508673806,1093,1171
1508677345,1094,1172
1508684546,1095,1173
1508688205,1098,1176
1508691806,1100,1178
1508695406,1092,1170
1508699005,1093,1171
1508702605,1095,1173
1508706206,1093,1171
1508713346,1091,1169
1508717006,1089,1167
1508720546,1085,1163
1508724146,1087,1165
1508727746,1082,1160
1508731406,1079,1157
1508738606,1077,1155
1508742146,1072,1150
1508745806,1071,1149
1508749406,1068,1146
