DateTime,AddedIPs,RemovedIPs
1502933807,1,0
1502945327,1,0
1502953020,1,0
1502980131,1,0
1502991639,1,86
1503006986,3,0
1503014952,1,0
1503018780,3,0
1503026465,1,0
1503030288,1,0
1503041815,1,0
1503045662,1,0
1503049473,1,0
1503107566,3,0
1503111420,1,0
1503142096,1,0
1503153811,1,0
1503169318,1,0
1503173084,2,0
1503184607,1,0
1503192273,1,0
1503196101,1,0
1503199960,1,0
1503203799,2,0
1503215323,1,0
1503242202,1,0
1503261414,1,0
1503272941,1,0
1503280947,1,0
1503303916,3,0
1503315405,1,0
1503334616,1,0
1503342288,1,0
1503346116,1,0
1503353792,1,0
1503357634,1,0
1503365325,1,0
1503372989,2,0
1503376846,1,0
1503450285,1,0
1503458007,1,0
1503473329,1,0
1503484833,1,0
1503496526,2,0
1503508105,1,0
1503515559,1,0
1503523244,1,0
1503530918,1,0
1503534753,3,0
1503546276,1,0
1503557808,1,0
1503565503,3,0
1503649468,1,0
1503653325,1,0
1503699406,1,0
1503703478,1,0
1503707322,1,0
1503711163,1,0
1503714975,2,0
1503722693,1,0
1503741866,0,72
1503749568,2,0
1503753410,2,0
1503776451,1,0
1503795644,2,0
1503810997,1,0
1503814828,1,0
1503826356,1,0
1503830187,1,0
1503860677,2,0
1503879938,1,0
1503883706,1,0
1503887568,1,0
1503899300,2,0
1503918749,1,0
1503926426,1,0
1503937969,1,0
1503949473,1,0
1503972500,2,0
1503976372,1,0
1503987863,1,0
1503991717,1,0
1504010901,1,0
1504018580,1,0
1504022425,1,0
1504046422,1,0
1504050262,1,0
1504057961,2,0
1504088664,1,0
1504104041,1,0
1504111722,1,0
1504115544,1,0
1504123471,1,0
1504127324,1,0
1504146510,1,0
1504150359,1,0
1504165716,1,0
1504169558,2,0
1504173399,1,0
1504177250,1,0
1504192839,1,0
1504196670,2,0
1504204349,2,0
1504208211,2,0
1504212045,2,0
1504223543,1,0
1504231237,1,0
1504235069,2,0
1504242757,3,0
1504296757,1,0
1504315952,1,0
1504323631,1,0
1504331305,1,0
1504354357,1,0
1504358189,2,0
1504369718,1,0
1504408587,3,0
1504416269,1,0
1504420120,2,0
1504439553,1,0
1504454927,1,0
1504538667,1,0
1504550193,3,0
1504581643,1,0
1504593145,1,0
1504612612,1,0
1504624115,1,0
1504627964,1,0
1504631817,1,0
1504662762,1,0
1504666596,2,0
1504674276,2,0
1504705258,1,0
1504716379,1,0
1504720097,1,0
1504727792,1,0
1504735482,2,0
1504754662,1,0
1504762371,1,0
1504773884,1,0
1504832907,1,0
1504894595,1,0
1505027315,1,0
1505034972,1,0
1505038842,1,0
1505088757,1,0
1505096431,1,0
1505107955,1,0
1505150447,1,0
1505158354,1,0
1505166066,1,0
1505181394,1,0
1505216198,1,0
1505223879,1,0
1505227719,1,0
1505235648,2,0
1505256023,1,0
1505263715,2,0
1505286768,1,0
1505290592,2,0
1505294434,1,0
1505302115,1,0
1505305963,1,0
1505317461,1,0
1505329793,1,0
1505337397,2,0
1505356848,1,0
1505360677,2,0
1505372193,1,0
1505376033,4,0
1505391419,1,0
1505406767,1,0
1505418263,1,0
1505422361,1,1
1505426194,1,0
1505430071,0,0
1505437715,1,1
1505449242,0,1
1505464631,0,1
1505487848,0,1
1505491972,1,0
1505526947,0,1
1505530828,0,1
1505542372,0,1
1505646288,1,0
1505665498,2,0
1505669330,1,1
1505673151,1,0
1505684914,0,1
1505688753,2,1
1505692621,1,0
1505700514,0,1
1505719729,1,0
1505729340,0,1
1505738073,1,0
1505757161,1,0
1505761257,0,2
