DateTime,AddedIPs,RemovedIPs
1506511721,22,20
1506515566,25,15
1506519395,36,29
1506523243,29,17
1506527071,23,22
1506530940,30,33
1506534761,18,18
1506538611,1,1
1506546287,7,8
1506550134,6,3
1506553973,5,2
1506557794,6,6
1506561667,6,5
1506565719,10,10
1506569615,12,8
1506573415,7,3
1506577265,6,4
1506581081,4,6
1506588767,19,8
1506592986,6,3
1506596933,12,7
1506600777,15,10
1506604606,44,23
1506608469,16,14
1506612291,5,6
1506616112,8,5
1506620010,10,5
1506623820,3,4
1506627642,6,3
1506631485,4,4
1506635316,7,5
1506640022,7,5
1506643976,8,7
1506647804,13,12
1506651682,12,13
1506655481,10,11
1506659314,1,3
1506663231,2,5
1506667237,15,18
1506674939,30,26
1506678801,14,10
1506682594,8,8
1506686497,6,7
1506690309,3,3
1506694137,4,4
1506697966,11,13
1506702054,22,19
1506705875,8,6
1506709736,18,17
1506713570,13,12
1506717418,18,10
1506721237,11,7
1506726002,17,13
1506729893,28,26
1506733994,25,27
1506737825,21,23
1506741687,16,21
1506745503,19,19
1506749332,4,5
1506753187,12,8
1506757035,0,1
1506760842,3,6
1506764706,3,6
1506768783,12,14
1506772599,10,11
1506776485,10,10
1506780305,11,15
1506784141,2,6
1506787976,1,3
1506791816,2,0
1506795674,2,1
1506799483,2,3
1506900797,97,95
1506904634,13,13
1506908454,20,24
1506912278,18,28
1506931523,50,55
1506947111,16,25
1506962478,22,32
1506975216,32,38
1506979291,3,4
1506986980,2,3
1506990776,1,1
1506994619,8,13
1506998485,10,9
1507002278,11,8
1507006129,7,9
1507009959,3,6
1507013817,8,14
1507017705,3,7
1507021517,5,7
1507025378,7,11
1507029173,16,8
1507033018,12,12
1507036832,17,27
1507040710,12,7
1507044543,3,17
1507048416,13,16
1507052214,22,22
1507059883,48,42
1507063754,13,9
1507067810,14,4
1507071666,12,5
1507075509,10,1
1507079357,26,16
1507086992,22,360
1507090838,27,0
1507094668,14,0
1507098506,16,0
1507102352,23,0
1507106198,18,0
1507110039,28,0
1507113868,11,0
1507117954,17,0
1507121805,19,0
1507125739,27,0
1507129512,25,0
1507133339,11,0
1507137378,16,0
1507141254,33,0
1507145063,23,0
1507148903,18,0
1507153017,7,0
1507157456,1,0
1507161170,14,0
1507165250,9,4
1507169068,22,34
1507172915,15,24
1507176772,31,11
1507180609,26,8
1507184422,21,17
1507188264,9,18
1507192109,21,7
1507195953,24,13
1507199812,34,34
1507203627,21,20
1507207459,19,24
1507211295,20,17
1507215150,9,10
1507218977,4,4
1507222871,13,16
1507226685,50,55
1507230774,24,25
1507234612,21,21
1507238725,48,45
1507242551,52,48
1507246612,51,46
1507250428,28,27
1507254262,24,21
1507258125,25,25
1507261972,35,34
1507265810,7,14
1507270209,1,1
1507274087,0,5
1507278046,3,6
1507281768,1,1
1507285714,7,12
1507289568,5,3
1507293385,7,15
1507297247,5,9
1507301072,8,19
1507304912,1,3
1507308742,4,4
1507312599,4,3
1507317578,6,6
1507321467,4,4
1507325303,1,2
1507329169,5,5
1507332982,4,3
1507336826,4,6
1507340663,6,9
1507344523,6,6
1507348342,7,9
1507352192,5,5
1507356276,4,11
1507360105,2,2
1507363963,3,5
1507367789,1,5
1507371637,2,4
1507375478,7,9
1507379327,1,4
1507383189,5,12
1507386990,4,8
1507390837,1,2
1507394685,6,18
1507398514,6,4
1507402361,1,16
1507406174,2,5
1507410052,4,4
1507413866,3,3
1507417720,2,2
1507421574,1,1
1507425417,1,1
1507429247,4,4
1507433088,8,12
1507436911,6,5
1507444591,10,12
1507448423,8,8
1507452271,7,10
1507456126,2,4
1507459941,5,12
1507463796,0,1
1507467638,1,7
1507475313,3,9
1507479168,2,2
1507487098,3,3
1507490920,7,4
1507494771,8,8
1507498617,3,3
1507502429,3,2
1507506508,8,4
1507510343,6,5
1507514231,5,7
1507518058,12,7
1507521873,4,2
