DateTime,AddedIPs,RemovedIPs
1506542465,93,92
1506546296,78,76
1506550141,52,52
1506553983,26,32
1506557804,20,22
1506561675,31,29
1506565731,60,63
1506569650,71,92
1506573434,325,292
1506577283,348,348
1506581092,312,310
1506588778,448,450
1506596949,451,449
1506600795,40,42
1506604626,83,84
1506608493,51,51
1506612310,35,35
1506616122,36,37
1506620032,37,40
1506623838,51,57
1506627649,61,68
1506631495,25,26
1506635324,28,35
1506640030,50,65
1506643983,38,39
1506647818,52,70
1506651689,43,45
1506655497,54,51
1506659322,97,73
1506663267,424,387
1506667245,110,111
1506674953,137,153
1506678823,54,57
1506682606,21,64
1506686555,28,25
1506690317,332,275
1506694162,394,391
1506697977,154,157
1506702064,29,28
1506705886,31,32
1506709748,58,59
1506713581,27,28
1506717431,161,161
1506721249,160,160
1506726011,65,62
1506729907,30,30
1506734015,66,65
1506737844,55,55
1506741717,72,72
1506745538,55,64
1506749349,94,103
1506753203,104,107
1506757061,104,90
1506760850,107,106
1506764746,108,107
1506768795,65,78
1506772617,41,44
1506776504,59,87
1506780336,95,76
1506784167,314,283
1506787987,352,353
1506791842,334,333
1506795706,354,354
1506799497,327,328
1506900820,434,446
1506904654,21,21
1506908464,50,52
1506912287,36,53
1506947143,377,364
1506962515,301,314
1506975249,300,278
1506979325,107,113
1506990803,214,207
1506994629,68,76
1506998518,36,54
1507002290,190,165
1507006141,345,335
1507009970,321,322
1507013837,414,414
1507017748,381,380
1507021540,361,363
1507029184,448,446
1507033034,59,59
1507036840,144,145
1507040740,67,70
1507044568,71,141
1507048451,40,40
1507052236,41,43
1507059894,159,94
1507063769,84,89
1507067822,297,283
1507071698,309,307
1507075528,271,272
1507079372,308,307
1507086998,451,451
1507090841,450,451
1507094672,451,450
1507098510,451,451
1507102357,359,359
1507106206,427,427
1507110047,225,226
1507113874,365,364
1507117958,431,431
1507121814,345,345
1507125745,425,426
1507129522,150,151
1507133345,163,163
1507137385,444,443
1507141260,451,450
1507145075,416,417
1507148912,404,407
1507153024,449,445
1507157461,451,451
1507161174,371,371
1507165256,90,90
1507169074,169,169
1507172923,297,297
1507176779,117,121
1507180615,92,94
1507184432,111,115
1507188275,305,300
1507192115,184,180
1507195958,209,210
1507199816,399,398
1507203632,437,436
1507207464,451,451
1507211299,424,425
1507215157,451,450
1507218982,451,451
1507222890,451,451
1507226690,113,114
1507230783,112,114
1507234618,314,313
1507238740,141,140
1507242558,99,100
1507246622,91,93
1507250434,213,211
1507254266,183,183
1507258128,71,71
1507261979,291,294
1507265814,445,440
1507270212,450,450
1507274090,451,451
1507278049,62,62
1507281771,19,19
1507285717,96,99
1507289571,53,55
1507293390,67,128
1507297252,46,55
1507301074,59,73
1507304914,7,4
1507308745,3,0
1507312602,8,2
1507317580,57,22
1507321471,12,13
1507325305,3,7
1507329174,20,22
1507332988,50,34
1507336832,36,30
1507340667,26,28
1507344529,52,57
1507348347,40,38
1507352197,31,54
1507356278,40,53
1507360111,6,8
1507363966,22,34
1507367792,12,31
1507371640,8,14
1507375493,23,46
1507379336,12,20
1507383194,38,63
1507386992,51,58
1507390840,31,30
1507394688,48,31
1507398520,44,7
1507402365,60,56
1507406176,32,6
1507410055,22,21
1507413869,21,29
1507417726,92,106
1507421583,156,269
1507425426,202,194
1507429257,193,189
1507433099,232,215
1507436922,132,113
1507444599,236,193
1507448431,111,102
1507452277,111,121
1507456138,222,285
1507459948,255,259
1507463804,234,255
1507467646,245,233
1507471490,231,246
1507475317,247,231
1507479173,228,247
1507483004,227,228
1507487106,236,224
1507490928,244,238
1507494779,239,244
1507498628,241,240
1507502437,239,241
1507506515,236,219
1507510352,186,189
1507514238,211,223
1507518072,208,200
1507521880,164,170
1507525728,90,79
1507529564,68,66
1507533415,65,61
1507537241,85,77
1507541090,224,258
1507544925,224,218
1507548790,252,240
1507552598,208,224
1507556676,258,236
1507560522,205,224
1507564377,226,198
1507568200,237,267
1507572058,232,237
1507575900,238,231
1507580390,254,239
1507584289,199,212
1507588145,111,97
1507591986,92,79
1507595826,78,70
1507599641,62,57
1507603471,93,108
1507607325,218,248
1507611159,232,234
1507614992,227,215
1507618857,205,219
1507630625,322,226
1507634467,96,103
1507638312,152,178
1507642127,267,291
1507645981,140,111
1507649823,76,56
1507653588,101,102
1507657481,219,283
1507661578,245,255
1507665415,213,223
1507669276,104,92
1507673106,199,211
1507677191,133,130
1507681007,71,57
1507684856,72,60
1507688712,114,94
1507692512,209,231
1507696391,246,259
1507700234,239,249
1507704055,250,239
1507707903,248,247
1507711741,252,225
1507715572,230,252
1507719407,257,234
1507723282,211,239
1507727097,263,250
1507730933,232,263
1507734775,234,232
1507738610,267,228
1507742448,236,274
1507747150,158,126
1507750866,136,83
1507754697,73,57
1507758523,108,103
1507762373,220,302
1507766208,162,161
1507770072,87,69
1507773907,89,67
1507777722,72,60
1507781573,78,67
1507785404,123,173
1507789251,249,269
1507793093,214,232
1507797177,100,67
1507801016,32,20
1507804831,82,56
1507808678,17,10
1507812529,29,52
1507816357,26,19
1507820201,18,17
1507824951,28,50
1507828837,35,20
1507832686,23,2
1507836568,76,30
1507840378,43,8
1507844194,25,23
1507848046,34,43
1507851880,70,62
1507855715,27,30
1507859548,42,54
1507863379,25,39
1507867225,17,5
1507871080,41,37
1507874941,30,31
1507878753,53,54
1507882600,27,32
1507886427,38,66
1507890275,13,16
1507894112,16,42
1507897997,17,23
1507901841,16,8
1507905642,25,56
1507910169,34,18
1507914097,44,53
1507917888,42,33
1507921974,59,23
1507925810,75,36
1507929693,41,5
1507933485,27,25
1507937318,24,34
1507945020,20,50
1507949319,7,8
1507953314,29,41
1507957051,47,49
1507960734,65,70
1507964462,33,11
1507968339,58,83
1507972150,57,26
1507975822,53,36
1507979846,48,59
1507983680,21,12
1507987525,26,47
1507991331,28,43
1507995188,19,15
1507999051,38,55
1508002851,60,73
1508006702,49,27
1508010779,78,56
1508014648,66,24
1508018464,60,52
1508022303,46,47
1508026149,28,30
1508030005,25,28
1508033830,43,49
1508037706,15,34
1508041517,15,13
1508045346,63,79
1508049210,64,64
1508053026,53,83
1508057084,72,57
1508060926,67,54
1508064758,62,36
1508068601,32,44
1508072422,23,44
1508076297,21,8
1508080116,7,65
1508083980,14,18
1508087794,24,51
1508091631,56,37
1508095484,84,63
1508099322,103,42
1508103189,145,119
1508107010,101,99
1508110829,260,246
1508114666,191,189
1508118520,114,118
1508122339,125,122
1508126202,97,100
1508130024,98,108
1508133879,114,115
1508137729,167,156
1508141566,161,156
1508145394,240,244
1508149196,109,110
1508153081,143,149
1508156933,308,297
1508160804,403,402
1508164604,435,436
1508168443,410,410
1508172280,404,403
1508176118,392,394
1508179983,143,152
1508183768,86,84
1508187670,84,87
1508191488,101,113
1508195330,87,73
1508199187,84,88
1508203299,96,94
1508207078,182,174
1508210958,392,387
1508214802,320,321
1508218636,179,183
1508222481,158,157
1508234009,411,409
1508237831,358,356
1508245531,447,447
1508253214,450,450
1508264691,445,449
1508268555,381,379
1508280307,447,445
1508284151,140,141
1508288269,99,100
1508292086,355,356
1508299752,261,260
1508303591,127,147
1508307416,169,152
1508319217,447,442
1508323076,212,214
1508334563,415,413
1508338635,448,449
1508342685,451,450
1508346527,417,418
1508350383,449,449
1508354212,247,248
1508358037,172,174
1508361902,110,110
1508365742,180,181
1508369561,313,309
1508373479,74,77
1508377246,104,104
1508381074,355,352
1508384929,419,420
1508388766,435,437
1508392601,447,445
1508396423,124,125
1508400293,30,31
1508404121,75,80
1508407950,48,48
1508411792,6,8
1508415638,56,113
1508419491,71,71
1508423335,113,119
1508427196,72,66
1508431030,103,40
1508434841,91,92
1508438679,101,101
1508442526,89,95
1508446363,21,26
1508450268,23,36
1508454080,17,24
1508457948,33,47
1508461702,16,20
1508465842,32,49
1508469693,44,72
1508473476,74,46
1508477603,72,80
1508481658,66,51
1508485502,60,44
1508489581,50,55
1508493448,52,49
1508497336,30,70
1508501127,21,12
1508504936,30,31
1508508763,21,38
1508512617,13,14
1508516485,28,55
1508520317,58,76
1508524907,116,41
1508528687,50,21
1508532515,73,47
1508536384,81,78
1508540203,50,55
1508544119,45,44
1508547879,27,37
1508551726,14,36
1508555572,9,9
1508559389,32,43
1508563252,30,29
1508567094,63,97
1508570805,108,93
1508574659,137,89
1508578391,98,84
1508582231,249,234
1508591808,19,23
1508605480,7,7
1508609326,27,34
1508613328,92,91
1508617016,17,19
1508620851,81,87
1508624955,63,71
1508628768,57,61
1508636436,120,130
1508640574,28,46
1508644396,40,28
1508648206,19,36
1508652074,17,16
1508655889,33,60
1508659738,59,48
1508667406,110,128
1508671237,58,45
1508678932,58,45
1508682806,21,36
1508686639,26,55
1508690453,12,7
1508694275,25,7
1508698146,29,14
1508701992,35,21
1508710100,49,56
1508714013,36,24
1508718059,16,15
1508721900,19,27
1508725746,18,24
1508729565,47,64
1508733410,26,31
1508737475,65,82
1508741356,92,61
1508745199,115,78
1508748996,100,87
1508752859,349,322
