DateTime,AddedIPs,RemovedIPs
1506523283,204,204
1506527098,173,173
1506530997,187,187
1506534776,142,142
1506538626,88,88
1506542473,81,82
1506546309,301,301
1506550152,449,449
1506553996,451,450
1506557813,451,451
1506561687,451,451
1506565750,451,451
1506569688,451,451
1506573461,451,451
1506577302,451,451
1506581104,451,451
1506584931,450,450
1506588790,451,451
1506596975,451,451
1506600814,451,451
1506604639,451,451
1506608520,450,450
1506612326,451,451
1506616133,450,451
1506620059,451,450
1506623856,451,451
1506627657,451,451
1506631504,451,451
1506635337,451,451
1506640043,451,451
1506643995,451,451
1506647828,451,451
1506651701,451,451
1506655515,451,451
1506659333,450,450
1506663309,400,400
1506667257,451,451
1506674973,451,451
1506678848,451,451
1506682616,451,451
1506690340,451,451
1506694189,451,451
1506697990,451,451
1506702076,451,451
1506705903,451,451
1506709770,451,451
1506713596,451,451
1506717448,451,451
1506721263,451,451
1506726026,451,451
1506729925,451,451
1506734036,451,451
1506737863,451,451
1506741750,451,451
1506745576,451,451
1506749369,451,451
1506753225,451,451
1506757087,451,451
1506760860,451,451
1506764788,451,451
1506768807,451,451
1506772637,451,451
1506776528,451,451
1506780369,451,451
1506784196,451,451
1506788002,451,451
1506791867,451,451
1506795731,451,451
1506799512,451,451
1506900841,451,451
1506904676,451,451
1506908475,451,451
1506912299,451,451
1506979370,451,451
1506983146,60,60
1506990836,166,166
1506994643,322,323
1506998547,450,449
1507002304,451,451
1507006154,450,450
1507009983,450,450
1507013859,451,451
1507017798,451,451
1507021557,451,451
1507029196,449,449
1507033055,451,451
1507036850,451,451
1507040766,451,451
1507044586,450,451
1507048486,451,450
1507052264,451,451
1507059909,449,450
1507063788,451,450
1507067837,450,450
1507071739,451,451
1507075548,450,450
1507079392,451,451
1507087003,451,451
1507090847,451,451
1507094678,451,451
1507098515,451,451
1507102362,451,451
1507106213,451,451
1507110055,450,450
1507113881,451,451
1507117965,451,451
1507121827,450,450
1507125753,451,451
1507129532,450,450
1507133353,451,451
1507137391,451,451
1507141267,450,450
1507145087,451,451
1507148921,450,451
1507153031,451,450
1507157466,451,451
1507161178,451,451
1507165268,451,451
1507169077,451,451
1507172930,451,451
1507176787,450,451
1507180620,451,450
1507184443,451,451
1507188284,450,450
1507192121,451,451
1507195965,446,448
1507199823,449,447
1507203635,451,451
1507207467,451,451
1507211303,451,451
1507215161,451,451
1507218988,451,451
1507222908,451,451
1507226697,450,450
1507230790,451,451
1507234626,450,451
1507238755,450,449
1507242565,451,451
1507246629,451,451
1507250438,451,451
1507254270,449,449
1507258136,450,450
1507261985,448,449
1507265819,451,450
1507270216,451,451
1507274094,451,451
