DateTime,AddedIPs,RemovedIPs
1506225909,1,0
1506229736,2,0
1506233676,5,3
1506237783,2,2
1506241629,1,0
1506245449,2,3
1506284069,31,13
1506287936,8,1
1506291891,1,0
1506295759,3,1
1506299584,4,1
1506303500,1,0
1506307259,6,1
1506311102,2,1
1506314965,3,1
1506318784,1,1
1506322653,2,0
1506330332,4,8
1506334200,0,1
1506337976,1,0
1506341809,4,1
1506345660,0,3
1506350123,2,0
1506354066,8,3
1506357943,9,9
1506361764,1,0
1506365594,1,4
1506369458,2,0
1506377112,1,1
1506392480,1,0
1506396345,1,1
1506400228,0,2
1506403990,1,5
1506411672,1,5
1506415507,1,2
1506419389,5,7
1506423196,0,1
1506427077,5,6
1506430926,0,1
1506438580,4,3
1506446260,2,2
1506450377,2,4
1506454155,0,3
1506462032,1,3
1506465718,0,3
1506469623,0,3
1506473432,0,1
1506477253,0,5
1506481161,0,3
1506485057,0,4
1506488819,0,1
1506492580,2,5
1506496473,4,10
1506500256,1,3
1506507940,2,4
1506511760,4,1
1506515623,3,3
1506519454,1,3
1506531052,1,7
1506538634,2,2
1506542488,0,3
1506546321,0,3
1506554008,0,1
1506557826,0,2
1506565772,1,2
1506569751,1,3
1506573497,1,1
1506577342,0,8
1506581121,0,3
1506584956,0,2
1506588806,1,2
1506597006,0,7
1506600837,0,4
1506604658,1,3
1506608562,1,1
1506616155,1,1
1506620098,3,4
1506623886,1,0
1506627665,4,2
1506644007,1,2
1506647843,1,0
1506651723,1,3
1506659347,0,1
1506663375,2,6
1506667269,4,4
1506675015,2,12
1506678869,1,1
1506682629,0,2
1506690357,1,0
1506698007,0,1
1506702092,1,0
1506713612,2,0
1506717469,6,0
1506721279,7,0
1506726041,21,6
1506729949,2,3
1506734067,2,1
1506737881,1,1
1506741788,2,3
1506753256,1,3
1506757128,1,1
1506760874,2,3
1506768822,4,1
1506772657,3,0
1506776557,3,1
1506780418,5,1
1506784237,2,1
1506788018,5,3
1506791897,10,0
1506795785,8,0
1506799541,10,4
1506900869,38,17
1506904696,1,1
1506908487,1,1
1506912312,6,2
1506979432,58,19
1506990886,17,8
1506994655,2,0
1506998584,5,5
1507002323,9,10
1507006174,6,9
1507010000,7,5
1507013899,9,7
1507021582,10,3
1507029208,10,3
1507033071,8,4
1507036863,3,5
1507040795,1,0
1507044605,2,8
1507048543,4,7
1507052302,3,7
1507059925,13,17
1507063805,4,7
1507067854,11,11
1507071814,5,7
1507075574,5,6
1507087010,3,244
1507090852,10,0
1507094683,12,0
1507098519,8,0
1507102366,10,0
1507106219,3,0
1507110060,1,0
1507113888,10,0
1507117969,4,0
1507121835,5,0
1507125759,9,0
1507129540,4,0
1507133357,4,0
1507137399,5,0
1507141274,2,0
1507145096,1,0
1507148928,5,0
1507153036,5,0
1507157472,4,0
1507161185,4,0
1507165279,5,0
1507169082,6,0
1507172938,3,0
1507176795,3,0
1507180628,3,0
1507184451,8,0
1507188294,11,0
1507192128,4,0
1507195972,8,0
1507199830,4,0
1507203644,12,0
1507207473,7,0
1507211312,6,0
1507215171,1,0
1507222929,2,0
1507226704,1,0
1507230798,1,0
1507238770,3,0
1507246637,2,0
1507250444,1,0
1507261991,4,0
1507274098,2,0
1507278056,3,0
1507281778,3,0
1507285726,7,0
1507289579,2,1
1507293398,4,4
1507297263,7,7
1507301082,0,1
1507308751,1,0
1507317587,1,1
1507321478,1,1
1507329188,1,1
1507333002,2,3
1507344548,2,1
1507348355,1,2
1507352205,0,1
1507356285,1,2
1507363977,1,2
1507367802,3,3
1507371646,7,10
1507375526,11,15
1507379361,6,3
1507383204,11,6
1507387000,15,8
1507390854,1,1
1507394697,7,9
1507398536,3,2
1507402376,5,11
1507406187,2,0
1507410063,5,6
1507413876,1,1
1507417739,2,5
1507421606,5,7
1507425441,1,4
1507429273,7,4
1507433125,8,7
1507444616,12,19
1507448454,4,6
1507452300,5,0
1507459969,2,4
1507467685,1,2
1507471504,4,0
1507475330,3,1
1507479187,4,1
1507483025,2,2
1507487126,1,1
1507490946,0,1
1507494799,8,3
1507498655,3,0
1507502466,6,2
1507506533,5,4
1507510374,1,0
1507514255,2,1
1507518108,7,5
1507521898,4,5
1507525745,1,2
1507529583,1,0
1507533428,1,1
1507537255,1,1
1507541109,4,3
1507544948,6,8
1507548810,2,2
1507552610,7,2
1507556697,3,1
1507560539,3,1
1507564401,1,2
1507568219,6,3
1507580410,19,15
1507584313,3,7
1507588163,3,4
1507592013,3,3
1507595861,4,5
1507599655,6,8
1507603491,3,5
1507607349,6,6
1507611185,7,6
1507615009,9,6
1507618874,0,1
1507630652,2,8
1507634493,0,2
1507638341,0,4
1507642152,0,2
1507646003,0,6
1507649857,0,1
1507653611,0,3
1507661603,0,3
1507665430,1,0
1507669307,2,3
1507673122,0,2
1507677212,0,2
1507681029,0,1
1507684880,0,2
1507688743,2,2
1507692547,0,2
1507696421,0,3
1507700258,1,1
1507704079,2,0
1507711772,6,6
1507715601,2,5
1507719427,4,9
1507727122,1,6
1507730949,2,3
1507738635,1,13
1507742476,1,1
1507750888,3,6
1507754720,0,2
1507758548,1,6
1507762395,0,2
1507766232,0,1
1507777739,6,8
1507781593,2,2
1507785427,1,1
1507789266,2,6
1507793128,0,4
1507797186,3,4
1507801047,11,7
1507804839,12,11
1507808688,5,6
1507812539,2,4
1507816366,2,1
1507820211,1,3
1507824963,3,6
1507828864,4,4
1507832698,2,2
1507836587,2,2
1507840393,3,5
1507844215,2,1
1507848057,2,3
1507851891,2,8
1507855727,3,3
1507859560,4,1
1507863389,3,0
1507867254,6,1
1507871094,8,1
1507874964,4,0
1507878792,3,6
1507882617,6,4
1507886447,5,0
1507890293,2,0
1507894137,6,0
1507898044,5,3
1507910192,1,0
1507914155,2,0
1507917915,1,1
1507922002,0,1
1507933505,2,0
1507937335,1,2
1507945059,0,3
1507953351,1,1
1507957097,0,1
1507960769,1,2
1507964490,1,0
1507972186,7,2
1507976234,9,1
1507980288,4,2
1507991820,15,8
1507995672,0,1
1507999505,2,3
1508003349,6,1
1508007364,3,1
1508011271,6,1
1508015116,11,11
1508018964,2,3
1508022801,3,0
1508026621,8,5
1508030472,3,2
1508034309,11,8
1508038131,7,1
1508042007,7,7
1508045871,6,5
1508049655,1,1
1508053502,1,0
1508057361,6,6
1508061186,4,1
1508064998,4,4
1508068859,10,6
1508072900,5,5
1508076756,10,5
1508080599,8,9
1508084677,5,2
1508088544,3,4
1508092374,2,3
1508096202,15,9
1508100047,0,4
1508103888,6,5
1508107741,1,1
1508111575,16,8
1508115402,10,6
1508119269,6,1
1508123077,4,0
1508126940,1,2
1508130760,5,7
1508134616,8,8
1508138465,7,4
1508142298,7,6
1508146156,2,1
1508149979,1,0
1508153829,4,4
1508157648,2,3
1508161482,1,2
1508165562,3,2
1508169397,5,5
1508173252,3,5
1508177104,4,3
1508180919,4,6
1508184778,3,6
1508188631,4,7
1508193109,13,11
1508196778,5,6
1508200609,2,8
1508204439,7,8
1508208544,2,3
1508212402,4,9
1508216232,0,1
1508223939,7,8
1508227727,0,5
1508239263,3,12
1508246952,3,11
1508250794,0,4
1508254655,1,3
1508258480,1,1
1508262291,1,7
1508269999,12,14
1508273812,1,0
1508277688,2,1
1508281492,3,4
1508285328,0,2
1508289191,6,14
1508293019,1,3
1508296879,4,8
1508300712,7,5
1508308406,6,3
1508312486,7,6
1508316281,4,4
1508320147,2,3
1508327814,6,5
1508331658,0,1
1508335764,1,6
1508339590,0,7
1508354928,1,3
1508362655,1,0
1508370279,1,4
1508374129,0,1
1508378002,0,1
1508381796,6,4
1508385677,1,5
1508389503,2,5
1508393335,2,2
1508397145,0,2
1508401015,0,1
1508404855,6,6
1508408677,1,1
1508412516,1,3
1508416377,1,10
1508420216,0,1
1508424060,0,3
1508427869,0,3
1508431733,2,2
1508435565,4,2
1508439400,2,0
1508447086,0,1
1508462697,0,2
1508466768,1,0
1508470852,1,2
1508478528,0,2
1508482416,3,3
1508486213,0,2
1508490050,4,1
1508497732,3,3
1508501559,5,0
1508505404,4,4
1508509241,6,1
1508513081,2,1
1508516926,2,5
1508520773,1,4
1508524922,3,3
1508528700,3,1
1508532528,3,1
1508536398,1,1
1508540232,5,4
1508547890,5,2
1508551741,4,3
1508555583,5,1
1508559402,5,2
1508563280,9,3
1508567121,13,9
1508570826,6,6
1508574693,6,3
1508578427,6,6
1508582305,3,0
1508589917,2,2
1508605491,0,1
1508609342,7,6
1508613348,10,9
1508617027,1,3
1508620866,6,1
1508624971,5,1
1508628797,0,2
1508636452,5,5
1508640616,8,2
1508644407,9,6
1508648221,10,6
1508652086,11,3
1508655907,8,5
1508659764,11,2
1508667420,8,4
1508671263,5,0
1508675070,5,4
1508678987,4,2
1508694288,5,1
1508698158,8,1
1508702019,1,0
1508710113,8,1
1508714043,4,2
1508718076,5,2
1508721929,3,0
1508725795,1,2
1508729579,5,6
1508733424,8,2
1508737490,7,6
1508745234,3,6
1508749017,1,3
1508752893,6,10
