DateTime,Entries,UniqueIPs
1506473529,172,172
1506477295,174,174
1506481258,175,175
1506485184,176,176
1506488939,177,177
1506492610,176,176
1506496551,171,171
1506500284,164,164
1506504102,165,165
1506507983,167,167
1506511800,170,170
1506515676,171,171
1506519505,175,175
1506527205,171,171
1506531156,172,172
1506535042,169,169
1506538848,174,174
1506542566,175,175
1506546359,174,174
1506550199,176,176
1506557853,177,177
1506561760,178,178
1506565818,181,181
1506569868,182,182
1506573568,181,181
1506577395,178,178
1506581161,178,178
1506585055,176,176
1506588844,177,177
1506593033,177,177
1506597075,175,175
1506600884,175,175
1506604698,178,178
1506608655,180,180
1506612407,181,181
1506616194,180,180
1506620183,180,180
1506623929,180,180
1506627695,185,185
1506631548,186,186
1506635382,186,186
1506640085,185,185
1506644035,183,183
1506647871,184,184
1506651802,180,180
1506655581,182,182
1506659377,179,179
1506663511,180,180
1506667300,183,183
1506675063,184,184
1506678910,185,185
1506682661,183,183
1506690397,187,187
1506694315,182,182
1506698043,187,187
1506702146,187,187
1506705964,187,187
1506709883,181,181
1506713638,187,187
1506717507,182,182
1506721312,181,181
1506726146,180,180
1506730000,180,180
1506734140,182,182
1506737919,186,186
1506741883,188,188
1506745667,190,190
1506749433,192,192
1506753341,192,192
1506757189,191,191
1506760905,195,195
1506764928,195,195
1506768860,198,198
1506772694,199,199
1506776658,194,194
1506780535,195,195
1506784299,196,196
1506788061,191,191
1506791946,190,190
1506795905,194,194
1506799584,196,196
1506900933,211,211
1506904745,214,214
1506912340,216,216
1506939514,219,219
1506994686,185,185
1506998670,180,180
1507002407,178,178
1507006213,173,173
1507010042,174,174
1507013985,170,170
1507021629,168,168
1507029241,168,168
1507033106,170,170
1507036901,172,172
1507040870,172,172
1507044667,169,169
1507059964,182,182
1507063851,187,187
1507067893,189,189
1507071963,184,184
1507075980,181,181
1507079820,177,177
1507083633,5,5
1507087472,8,8
1507091316,15,15
1507095167,27,27
1507099009,30,30
1507102841,34,34
1507106677,37,37
1507110534,43,43
1507114372,49,49
1507118194,53,53
1507122287,57,57
1507126128,63,63
1507129957,68,68
1507133808,74,74
1507137900,78,78
1507141936,84,84
1507145795,95,95
1507149654,103,103
1507153487,107,107
1507157482,113,113
1507161202,115,115
1507165307,122,122
1507169095,125,125
1507172957,128,128
1507176816,130,130
1507180646,131,131
1507184477,134,134
1507188320,136,136
1507192143,140,140
1507195988,142,142
1507199849,145,145
1507203659,147,147
1507207486,152,152
1507211325,155,155
1507215189,161,161
1507219009,162,162
1507226717,158,158
1507230817,162,162
1507234656,167,167
1507238803,172,172
1507242593,171,171
1507246657,172,172
1507250461,175,175
1507254296,167,167
1507258154,162,162
1507262006,164,164
1507265850,163,163
1507270233,160,160
1507274111,163,163
1507278065,162,162
1507281788,166,166
1507285737,172,172
1507289588,174,174
1507293408,172,172
1507297275,175,175
1507301092,174,174
1507304928,177,177
1507308759,179,179
1507312625,179,179
1507317595,185,185
1507321486,182,182
1507325321,181,181
1507329203,184,184
1507333011,184,184
1507336865,183,183
1507340684,183,183
1507344570,182,182
1507348365,184,184
1507352214,184,184
1507356293,189,189
1507360127,192,192
1507363985,193,193
1507367812,195,195
1507371661,196,196
1507379389,200,200
1507383217,199,199
1507387012,202,202
1507390871,199,199
1507394739,191,191
