DateTime,AddedIPs,RemovedIPs
1502199182,1,0
1502210728,2,0
1502218794,2,0
1502222707,2,0
1502226532,2,0
1502230378,1,0
1502264686,3,0
1502268535,2,0
1502272480,2,0
1502280170,3,0
1502284155,3,0
1502288000,2,0
1502291809,2,0
1502295664,3,0
1502299474,2,0
1502307173,2,0
1502314851,1,0
1502398392,8,0
1502402227,1,0
1502406134,1,0
1502413995,1,0
1502437340,1,0
1502453270,5,0
1502460821,2,0
1502472317,1,0
1502483864,5,0
1502491534,2,0
1502503066,2,0
1502514872,2,0
1502518621,2,0
1502522464,4,0
1502534294,2,0
1502538061,1,0
1502545754,1,0
1502557322,2,0
1502564951,2,0
1502568810,2,0
1502572641,3,0
1502576750,3,0
1502588458,2,0
1502619181,1,0
1502627142,2,0
1502630951,2,0
1502646547,2,0
1502650357,1,0
1502657873,3,0
1502700813,1,0
1502732150,1,0
1502739723,1,0
1502743545,1,0
1502747377,1,0
1502821464,1,0
1502829201,1,0
1502840754,1,0
1502895260,1,0
1502907144,1,0
1502922573,1,0
1502930476,1,0
1502934349,1,0
1502938164,1,0
1502945834,1,0
1502953531,6,0
1502957397,1,0
1502961233,2,0
1502965095,2,0
1502988065,1,136
1502992178,1,0
1503000141,4,0
1503038469,1,0
1503046159,3,0
1503049989,1,0
1503053820,3,0
1503061533,3,0
1503065360,1,0
1503069223,2,0
1503073056,1,0
1503077107,3,0
1503085030,1,0
1503115768,2,0
1503127311,1,0
1503131338,3,0
1503154635,3,0
1503158566,1,0
1503174095,1,0
1503181739,1,0
1503204785,1,0
1503212493,2,0
1503216330,1,0
1503224008,1,0
1503227864,2,0
1503231688,3,0
1503235539,1,0
1503239351,2,0
1503243231,1,0
1503250883,3,0
1503281859,1,0
1503285689,1,0
1503293362,1,0
1503297206,1,0
1503304909,1,0
1503316398,1,0
1503320069,1,0
1503327933,1,0
1503331754,2,0
1503335619,3,0
1503343035,1,0
1503408813,1,0
1503412647,1,0
1503416456,2,0
1503420309,1,0
1503427998,4,0
1503431820,1,0
1503474281,2,0
1503485789,3,0
1503501161,1,0
1503516507,1,0
1503520367,3,0
1503536682,1,0
1503540508,3,0
1503544369,1,0
1503548187,3,0
1503552060,1,0
1503555883,1,0
1503578946,1,0
1503586614,2,0
1503647589,2,0
1503651394,2,0
1503655282,4,0
1503666757,1,0
1503678296,2,0
1503682142,2,0
1503685997,4,0
1503689813,1,0
1503697465,1,0
1503701324,1,0
1503709320,1,0
1503713099,2,0
1503716963,2,0
1503720804,1,0
1503728483,1,0
1503736130,1,128
1503743819,4,0
1503751490,1,0
1503755322,1,0
1503759144,2,0
1503767089,1,0
1503771049,1,0
1503774753,1,0
1503801649,4,0
1503817020,3,0
1503851581,2,0
1503855418,3,0
1503859261,3,0
1503863090,4,0
1503866915,1,0
1503874603,1,0
1503889955,1,0
1503901475,4,0
1503909158,3,0
1503916852,1,0
1503924510,3,0
1503928373,2,0
1503932179,3,0
1503936061,1,0
1503943838,3,0
1503947573,1,0
1503952392,1,0
1503967710,2,0
1503971562,3,0
1503979260,1,0
1503986915,1,0
1503990756,1,0
1503994603,2,0
1503998443,2,0
1504002292,1,0
1504006129,1,0
1504013792,1,0
1504017662,1,0
1504036862,1,0
1504044505,1,0
1504052202,3,0
1504056048,1,0
1504077165,2,0
1504081010,3,0
1504088677,3,0
1504092525,3,0
1504096352,3,0
1504100255,2,0
1504115583,2,0
1504123513,3,0
1504131194,2,0
1504135059,2,0
1504138872,1,0
1504184949,1,0
1504192888,1,0
1504196717,3,0
1504204416,3,0
1504212086,2,0
1504219762,3,0
1504227416,1,0
1504231291,1,0
1504235106,1,0
1504246880,4,0
1504254571,1,0
1504281454,1,0
1504285313,1,0
1504289126,1,0
1504300635,1,0
1504312187,1,0
1504315993,2,0
1504323685,1,0
1504335194,1,0
1504342876,1,0
1504350567,1,0
1504358255,1,0
1504362105,1,0
1504369793,2,0
1504424001,1,0
1504435777,1,0
1504454964,1,0
1504538712,6,0
1504542751,3,0
1504550250,2,0
1504554079,1,0
1504557919,1,0
1504562291,1,0
1504573766,3,0
1504577617,1,0
1504585524,2,0
1504589396,2,0
1504593203,1,0
1504600918,1,0
1504612718,1,0
1504624200,1,0
1504639549,1,0
1504643385,2,0
1504735559,1,0
1504859870,1,0
1504871341,2,0
1504985354,2,0
1505069578,1,0
1505107990,1,0
1505158398,1,0
1505294482,1,0
1505329840,1,0
1505395308,1,0
1505402974,1,0
1505414683,0,0
1505433957,1,0
1505472370,1,0
1505500017,2,0
1505503773,5,0
1505588826,1,0
1505685022,1,0
1505708257,1,0
1505840106,1,0
1505851764,2,0
1505971077,1,0
1506021239,1,0
1506033102,1,0
1506063758,1,0
1506110067,1,0
1506284100,3,0
1506365602,3,0
1506411677,1,0
1506538639,1,0
1506627670,1,0
1506717479,1,0
1506753274,1,0
1506795811,2,0
1506900883,1,0
1506990916,2,0
1506994662,1,0
1507059935,1,0
1507094686,0,220
1507148931,1,0
1507234640,1,0
1507402378,1,0
1507490950,1,0
1507494803,1,0
1507580414,1,0
1507584319,1,0
1507595867,6,0
1507599659,2,0
1507603494,4,0
1507607353,1,0
1507611206,2,0
1507615012,3,0
1507618878,3,0
1507630660,13,0
1507634501,2,0
1507638349,1,0
1507642158,1,0
1507646007,2,0
1507649864,1,0
1507657502,1,0
1507669314,1,0
1507673127,2,0
1507677215,2,0
1507684887,1,0
1507688753,3,0
1507692554,2,0
1507696429,6,0
1507700264,5,0
1507704084,4,0
1507707944,3,0
1507711780,7,0
1507715605,2,0
1507719431,8,0
1507727127,7,0
1507730957,4,0
1507734801,2,0
1507738639,4,0
1507742483,3,0
1507747202,3,0
1507750894,1,0
1507754726,1,0
1507758556,1,0
1507762400,1,0
1507766238,1,0
1507785432,1,0
1507797188,5,0
1507801054,5,0
1507804841,1,0
1507808690,1,0
1507812542,4,0
1507816368,5,0
1507820216,2,0
1507824966,2,0
1507828874,3,0
1507836591,4,0
1507840397,2,0
1507844220,3,0
1507874968,1,0
1507878803,3,0
1507882622,1,0
1507890299,1,0
1507894144,2,0
1507898053,1,0
1507901890,4,0
1507905670,1,0
1507910199,2,0
1507914170,4,0
1507917925,4,0
1507922011,2,0
1507925846,3,0
1507929724,1,0
1507933509,2,0
1507957107,1,0
1507960777,3,0
1507976245,2,0
1507980293,1,0
1507991825,6,0
1507995685,2,0
1507999520,3,0
1508003355,3,0
1508007373,5,0
1508011297,5,0
1508015128,3,0
1508018977,1,0
1508022817,2,0
1508034319,1,0
1508038140,2,0
1508042019,2,0
1508045891,2,0
1508053513,3,0
1508057379,1,0
1508061191,4,0
1508065004,2,0
1508068862,2,0
1508076759,2,0
1508080602,2,0
1508088553,5,0
1508092378,3,0
1508096209,4,0
1508100052,2,0
1508103894,2,0
1508107745,3,0
1508134620,2,0
1508138478,6,0
1508142307,4,0
1508146171,3,0
1508149986,5,0
1508153842,1,0
1508157653,3,0
1508161489,2,0
1508165573,5,0
1508169408,4,0
1508173266,1,0
1508177111,3,0
1508180927,6,0
1508184784,3,0
1508188642,1,0
1508227737,4,0
1508239275,12,0
1508246968,6,0
1508250800,1,0
1508254669,1,0
1508258501,3,0
1508262300,6,0
1508270010,7,0
1508273819,1,0
1508281504,4,0
1508285341,7,0
1508293025,8,0
1508296902,3,0
1508300727,5,0
1508308424,10,3
1508312507,2,1
1508316295,4,2
1508320160,4,2
1508327824,4,3
1508331665,2,2
1508335791,3,3
1508339604,1,2
1508343443,2,2
1508347273,2,1
1508351120,4,5
1508354939,3,2
1508358782,1,3
1508362676,4,4
1508366493,2,2
1508370286,2,2
1508374141,0,1
1508378007,1,1
1508381801,0,1
1508385685,3,2
1508389512,4,2
1508393352,3,3
1508397152,0,1
1508401021,3,4
1508404866,5,4
1508408680,3,3
1508412520,4,5
1508416381,2,1
1508420220,4,3
1508424066,2,1
1508427873,5,5
1508431738,5,5
1508435570,2,2
1508439410,5,5
1508443255,2,3
1508447090,5,4
1508450917,3,3
1508454775,2,3
1508458860,1,2
1508462705,4,3
1508466773,6,4
1508470862,4,3
1508474675,1,2
1508478539,4,4
1508486225,4,3
1508490057,8,8
1508493901,3,5
1508497736,6,5
1508501565,1,0
1508505408,4,4
1508509245,0,1
1508513086,1,1
1508516934,1,0
1508520777,3,3
1508524930,3,0
1508528704,5,4
1508532536,2,2
1508536402,1,1
1508570832,3,3
1508574701,2,2
1508578440,3,2
1508582322,8,8
1508605494,3,3
1508609349,7,5
1508613353,6,4
1508617031,2,1
1508620870,3,2
1508624977,2,2
1508628807,2,4
1508636462,1,0
1508640625,1,1
1508648228,2,3
1508652092,2,2
1508655912,3,1
1508659778,5,5
1508667424,6,6
1508671306,1,2
1508675077,1,1
1508682848,1,1
1508690476,3,4
1508694292,1,3
1508698162,1,1
1508710117,6,7
1508714047,4,4
1508718079,2,2
1508721936,2,3
1508725803,3,3
1508733429,1,1
1508737495,1,1
1508741423,4,3
1508745239,4,4
1508749025,4,4
1508752909,7,7
