DateTime,AddedIPs,RemovedIPs
1506500277,65,108
1506504094,92,113
1506507973,60,62
1506511792,271,163
1506515654,285,225
1506519491,253,245
1506523351,283,276
1506527186,327,333
1506531136,282,276
1506535016,241,237
1506538836,34,43
1506542542,17,28
1506546351,78,85
1506550188,86,100
1506554031,39,47
1506557846,31,47
1506561746,46,59
1506565809,78,55
1506569843,146,131
1506573551,142,121
1506577382,96,96
1506581150,108,113
1506585028,105,109
1506588835,125,123
1506597061,275,254
1506600872,146,156
1506604689,159,157
1506608635,180,171
1506612398,105,101
1506616186,66,72
1506620166,65,81
1506623922,75,86
1506627683,59,65
1506631541,65,79
1506635375,29,38
1506640078,66,67
1506644028,92,72
1506647864,129,117
1506651780,98,89
1506655573,152,136
1506659370,68,72
1506663477,14,19
1506667293,71,79
1506675056,192,202
1506678901,81,70
1506682652,46,47
1506690385,67,82
1506694293,14,25
1506698034,65,72
1506702128,76,77
1506705946,116,107
1506709864,118,98
1506713630,100,94
1506717498,92,101
1506721304,73,76
1506726110,167,157
1506729988,135,132
1506734120,116,112
1506737909,138,132
1506741857,156,163
1506745649,166,161
1506749424,42,41
1506753323,55,68
1506757172,62,71
1506760898,56,75
1506764917,55,65
1506768847,142,146
1506772685,47,28
1506776628,74,78
1506780503,119,98
1506784287,47,55
1506788048,61,68
1506791935,35,33
1506795871,60,58
1506799571,49,50
1506900917,407,377
1506904734,59,62
1506908509,110,109
1506912333,101,104
1506939482,405,399
1506994678,358,376
1506998646,136,140
1507002386,236,207
1507006202,143,158
1507010032,159,141
1507013961,187,182
1507021619,339,347
1507029233,357,367
1507033098,126,127
1507036884,111,120
1507040848,95,114
1507044646,78,93
1507059955,405,341
1507063838,188,195
1507067883,149,171
1507071922,174,158
1507075620,205,201
1507079525,228,227
1507083630,65,438
1507087469,177,0
1507091313,169,0
1507095165,123,94
1507099006,123,133
1507102840,196,205
1507106675,124,122
1507110530,286,273
1507114369,200,197
1507118191,212,218
1507122282,223,229
1507126124,243,246
1507129953,314,318
1507133804,208,207
1507137896,280,269
1507141929,276,272
1507145787,272,273
1507149650,175,184
1507153482,59,68
1507157480,22,36
1507161197,117,124
1507165299,246,232
1507169091,275,248
1507172952,434,434
1507176809,437,432
1507180641,438,440
1507184470,407,417
1507188311,411,401
1507192138,442,438
1507195984,388,419
1507199846,381,363
1507203654,221,209
1507207481,174,175
1507211321,143,144
1507215182,65,77
1507219004,33,41
1507226712,369,369
1507230813,438,415
1507234650,444,442
1507238792,444,443
1507242587,439,445
1507246651,444,442
1507250455,439,443
1507254288,442,439
1507258152,441,439
1507262001,403,426
1507265842,410,387
1507270230,40,49
1507274106,48,54
1507278061,27,51
1507281784,17,29
1507285733,196,218
1507289585,365,298
1507293405,383,382
1507297271,397,396
1507301089,389,390
1507304926,72,74
1507308757,7,12
1507312620,7,16
1507317592,43,61
1507321483,11,20
1507325319,6,16
1507329198,61,68
1507333008,255,234
1507336860,232,191
1507340682,211,212
1507344562,239,241
1507348362,255,253
1507352212,264,266
1507356290,213,210
1507360125,9,13
1507363983,35,46
1507367809,12,27
1507371655,13,32
1507379380,25,72
1507383215,103,118
1507387008,210,139
1507390868,177,145
1507394734,209,215
1507398550,188,182
1507402385,230,227
1507406193,200,201
1507410072,66,75
1507413881,20,25
1507417749,61,112
1507421624,189,327
1507425456,133,130
1507429287,190,173
1507433152,274,216
1507436962,295,307
1507444634,286,300
1507448474,281,287
1507452322,287,281
1507456190,298,245
1507459987,58,40
1507463846,102,133
1507467725,40,36
1507471513,79,142
1507475343,30,33
1507479198,15,13
1507483040,17,14
1507487140,242,222
1507490961,192,134
1507494815,154,110
1507498678,177,130
1507502490,165,180
1507506545,229,259
1507510396,286,390
1507514269,282,236
1507518139,302,331
1507521915,277,302
1507525760,289,281
1507529597,242,288
1507533438,232,242
1507537266,198,193
1507541133,142,147
1507544959,221,214
1507548825,168,162
1507552622,139,136
1507556710,278,245
1507560556,316,281
1507564420,232,176
1507568237,198,201
1507580423,309,362
1507584331,308,291
1507588177,309,318
1507592032,303,325
1507595888,296,303
1507599672,283,294
1507603503,238,284
1507607366,235,240
1507615021,248,232
1507618894,117,111
1507630674,275,254
1507634521,302,279
