DateTime,Entries,UniqueIPs
1506465843,157,157
1506469760,165,165
1506473568,163,163
1506477317,162,162
1506481310,159,159
1506485234,164,164
1506488998,162,162
1506493013,158,158
1506496847,156,156
1506500700,163,163
1506504531,167,167
1506508432,167,167
1506513480,167,167
1506517255,169,169
1506521151,172,172
1506524935,175,175
1506528782,174,174
1506532616,171,171
1506536695,169,169
1506540513,170,170
1506544409,170,170
1506548257,174,174
1506552091,172,172
1506555892,172,172
1506559738,176,176
1506563570,175,175
1506567405,170,170
1506571252,169,169
1506575125,165,165
1506582794,167,167
1506586859,164,164
1506590692,161,161
1506594535,161,161
1506598378,161,161
1506602223,159,159
1506606029,153,153
1506609877,159,159
1506613739,160,160
1506617573,165,165
1506621399,162,162
1506625235,160,160
1506629093,153,153
1506632925,158,158
1506636887,156,156
1506640887,154,154
1506644944,159,159
1506648782,158,158
1506652679,156,156
1506656458,167,167
1506660287,167,167
1506664378,168,168
1506668227,167,167
1506672099,171,171
1506675909,173,173
1506679794,173,173
1506683575,168,168
1506687419,171,171
1506691267,171,171
1506695129,171,171
1506698977,169,169
1506703084,169,169
1506706862,167,167
1506710695,168,168
1506714534,168,168
1506718383,169,169
1506722221,167,167
1506726220,169,169
1506730025,172,172
1506734178,179,179
1506737939,182,182
1506741940,180,180
1506745694,183,183
1506749449,184,184
1506753387,183,183
1506757219,181,181
1506760921,183,183
1506764950,185,185
1506768899,184,184
1506772711,193,193
1506776727,197,197
1506780586,200,200
1506784324,197,197
1506788081,195,195
1506791967,197,197
1506795977,196,196
1506799936,191,191
1506900987,199,199
1506904765,196,196
1506908531,196,196
1506912361,196,196
1506994701,199,199
1506998709,214,214
1507002455,214,214
1507006249,207,207
1507010064,208,208
1507014094,205,205
1507021649,194,194
1507029258,201,201
1507033122,214,214
1507036932,244,244
1507040906,246,246
1507044724,258,258
1507059988,273,273
1507063873,278,278
1507067921,277,277
1507076034,303,303
1507079848,306,306
1507083638,17,17
1507087477,62,62
1507091320,125,125
1507095173,148,148
1507099015,177,177
1507102849,221,221
1507106684,263,263
1507110552,305,305
1507114388,323,323
1507118205,354,354
1507122300,356,356
1507126138,354,354
1507129975,355,355
1507133819,353,353
1507137910,345,345
1507141967,339,339
1507145824,340,340
1507149665,341,341
1507153499,331,331
1507157491,316,316
1507161215,325,325
1507165325,337,337
1507169103,341,341
1507172981,339,339
1507180658,359,359
1507184493,361,361
1507188339,384,384
1507192153,385,385
1507196000,380,380
1507199860,377,377
1507203671,373,373
1507207494,364,364
1507211336,361,361
1507215203,353,353
1507219024,342,342
1507226727,342,342
1507230834,343,343
1507234667,331,331
1507238823,337,337
1507242606,345,345
1507246672,359,359
1507250470,371,371
1507254310,384,384
1507258164,377,377
1507262021,372,372
1507265865,361,361
1507270240,359,359
1507274118,352,352
1507278070,347,347
1507281821,343,343
1507285744,331,331
1507289594,318,318
1507293414,302,302
1507297284,287,287
1507301098,279,279
1507304933,276,276
1507308766,275,275
1507312638,274,274
1507317600,261,261
1507321491,261,261
1507325326,262,262
1507329209,257,257
1507333018,253,253
1507336877,250,250
1507340693,247,247
1507344586,245,245
1507348390,243,243
1507352221,237,237
1507356298,236,236
1507360132,225,225
1507363991,226,226
1507367820,222,222
1507371670,217,217
1507379408,182,182
1507383225,176,176
1507387021,160,160
1507390882,155,155
1507394751,156,156
1507398562,151,151
1507402396,153,153
1507406204,154,154
1507410101,155,155
1507413890,150,150
1507417763,151,151
1507421648,155,155
1507425474,165,165
1507429306,167,167
1507433176,172,172
1507436987,176,176
1507444654,170,170
1507448504,168,168
1507452358,168,168
1507456227,169,169
1507460003,171,171
1507463862,177,177
1507471533,180,180
1507475358,182,182
1507479216,181,181
1507483058,178,178
1507487159,181,181
1507490985,180,180
1507494836,182,182
1507498705,181,181
1507502526,177,177
1507506565,175,175
1507510445,174,174
1507514289,172,172
1507518179,168,168
1507521932,173,173
1507525791,175,175
1507529614,180,180
1507533452,181,181
1507537280,187,187
1507541155,190,190
1507544979,189,189
1507548848,190,190
1507552638,191,191
1507556732,192,192
1507560584,194,194
1507564456,195,195
1507568259,194,194
1507580448,195,195
1507584355,191,191
1507588197,190,190
1507592070,191,191
1507595928,193,193
1507599688,194,194
1507603523,185,185
1507607420,179,179
1507615040,177,177
1507618920,180,180
1507630703,186,186
1507634564,187,187
1507638411,190,190
1507642196,189,189
1507646051,194,194
1507649917,196,196
1507653665,197,197
1507657530,202,202
1507661638,200,200
1507665462,196,196
1507669380,198,198
1507673154,199,199
1507677249,202,202
1507681061,203,203
1507684940,206,206
1507688814,204,204
1507692606,203,203
1507696469,204,204
1507700309,205,205
1507704115,208,208
1507707990,210,210
1507711844,210,210
1507715644,209,209
1507719468,204,204
1507727164,206,206
1507730986,200,200
1507734842,202,202
1507738668,196,196
1507742537,193,193
1507747277,188,188
1507755183,192,192
1507759020,195,195
1507762869,192,192
1507766716,197,197
1507770535,194,194
1507774366,197,197
1507778468,201,201
1507782535,198,198
1507786394,199,199
1507794063,210,210
1507797873,210,210
1507801731,202,202
1507805572,204,204
1507809404,198,198
1507813243,195,195
1507817340,192,192
1507821166,188,188
1507824986,184,184
1507828899,183,183
1507832720,182,182
1507836608,183,183
1507840424,181,181
1507844262,181,181
1507848085,174,174
1507851916,172,172
1507855751,172,172
1507859583,170,170
1507863431,171,171
1507867329,166,166
1507871126,165,165
1507875013,165,165
1507878872,164,164
1507882651,166,166
1507886506,166,166
1507890333,169,169
1507894188,169,169
1507898100,172,172
1507901938,172,172
1507905724,172,172
1507910243,175,175
1507914268,177,177
1507917978,178,178
1507922065,177,177
1507925886,183,183
1507929804,185,185
1507933551,184,184
1507937372,183,183
1507945138,179,179
1507949403,181,181
1507953440,183,183
1507957161,183,183
1507961131,186,186
1507964967,186,186
1507968789,182,182
1507972676,181,181
1507976746,175,175
1507980788,175,175
1507984660,173,173
1507988458,170,170
1507992291,168,168
1507996143,166,166
