DateTime,AddedIPs,RemovedIPs
1505608033,1,0
1505623424,1,0
1505627187,1,0
1505634840,1,0
1505646426,0,2
1505650243,0,5
1505658014,2,3
1505661905,0,1
1505665662,1,3
1505673266,4,2
1505677343,2,0
1505681160,1,1
1505704519,1,0
1505712128,2,1
1505715977,0,1
1505723720,2,0
1505727615,0,2
1505731455,1,0
1505735288,1,2
1505743053,2,2
1505746785,1,3
1505758601,1,2
1505762297,5,3
1505766107,3,0
1505773792,0,1
1505777576,1,0
1505785526,1,2
1505789575,1,1
1505793314,1,3
1505797219,2,0
1505808652,2,0
1505820189,0,3
1505832418,2,0
1505840212,2,2
1505848077,2,0
1505851814,1,0
1505863387,0,2
1505867315,0,2
1505871182,0,1
1505875058,1,2
1505878836,1,1
1505901908,1,0
1505905744,2,0
1505909539,0,2
1505917098,4,1
1505920998,1,0
1505924875,6,0
1505928827,3,20
1505936437,5,40
1505940263,0,2
1505944186,2,13
1505948193,0,9
1505951940,0,2
1505959677,1,4
1505963472,3,1
1505971156,1,0
1505975270,1,0
1505979163,1,2
1505998273,18,3
1506002252,2,0
1506013911,5,0
1506017639,3,0
1506021407,3,1
1506025512,1,3
1506029639,0,6
1506033427,0,17
1506037270,1,3
1506041094,0,3
1506048820,1,1
1506052657,2,1
1506056483,0,2
1506060294,0,1
1506064142,2,0
1506079510,9,0
1506083355,4,0
1506087217,1,0
1506091041,4,0
1506098707,1,0
1506102540,0,1
1506106274,3,0
1506125489,3,0
1506148704,1,0
1506160343,2,0
1506164145,1,1
1506167989,1,0
1506179730,2,0
1506195130,3,0
1506198965,2,0
1506202733,19,1
1506206684,12,2
1506210441,2,0
1506214443,1,6
1506218240,1,4
1506222146,0,14
1506225968,0,3
1506229771,0,10
1506233812,2,1
1506237957,2,1
1506241791,1,1
1506288077,15,12
1506291929,3,5
1506295799,0,2
1506299621,1,5
1506303585,0,4
1506307309,1,1
1506311154,2,1
1506315024,2,3
1506318832,1,4
1506322730,0,5
1506330384,3,9
1506334248,5,2
1506338015,14,2
1506341845,6,0
1506345696,14,3
1506350297,10,3
1506354112,4,3
1506358007,3,11
1506361814,15,3
1506365645,6,5
1506369507,1,3
1506373435,3,14
1506377148,1,7
1506380993,0,3
1506384906,1,2
1506388674,2,1
1506392534,0,1
1506396394,3,0
1506400339,3,1
1506404038,0,2
1506407887,2,1
1506411717,2,3
1506419505,8,1
1506423265,8,1
1506427160,3,5
1506431077,2,1
1506434920,1,1
1506438676,1,1
1506442491,1,0
1506446313,2,1
1506450446,2,3
1506454214,3,2
1506458071,1,5
1506462112,2,3
1506465872,2,11
1506469786,0,4
1506473585,1,0
1506477327,1,2
1506481334,0,1
1506485250,0,4
1506489029,0,3
1506493021,0,3
1506496856,1,1
1506500723,0,1
1506504540,10,1
1506508452,4,0
1506513485,2,0
1506517270,0,1
1506521182,2,0
1506524953,2,1
1506528792,1,1
1506532642,1,1
1506536703,3,0
1506544445,1,0
1506548294,1,1
1506555898,0,1
1506559759,1,1
1506563577,0,2
1506567416,1,2
1506571270,0,8
1506575153,2,6
1506582824,1,6
1506586876,0,4
1506590705,12,4
1506594545,2,3
1506602240,2,0
1506609890,2,0
1506621410,2,0
1506625242,5,0
1506629105,2,0
1506632940,1,0
1506636906,2,0
1506640933,2,0
1506656469,1,0
1506660294,1,1
1506664401,3,0
1506672111,6,1
1506679821,1,0
1506683584,1,1
1506687426,0,1
1506695162,2,0
1506710705,2,0
1506714549,1,0
1506718394,1,0
1506722234,1,0
1506741964,2,0
1506749456,1,0
1506753412,1,0
1506760930,0,1
1506768919,1,0
1506776764,1,0
1506780607,3,0
1506796007,3,3
1506799973,1,0
1506901011,9,37
1506904770,0,15
1506908539,0,20
1506912369,0,2
1506994709,42,3
1506998727,0,1
1507021663,2,2
1507029265,1,0
1507033130,2,0
1507036948,2,0
1507040924,2,0
1507044758,3,1
1507059998,2,2
1507063885,0,4
1507067934,1,0
1507071994,0,2
1507076059,2,2
1507083641,0,53
1507087479,7,0
1507091324,8,0
1507095176,2,0
1507099018,3,0
1507102853,2,0
1507118208,15,0
1507126142,3,0
1507129981,1,0
1507137916,1,0
1507145834,5,0
1507149670,2,0
1507157494,2,1
1507161224,0,7
1507165328,1,5
1507169108,0,4
1507172990,0,6
1507180663,1,7
1507184500,1,0
1507203676,3,4
1507207500,2,1
1507211340,1,2
1507215206,3,0
1507219031,1,0
1507226731,7,1
1507230839,2,1
1507234674,3,0
1507238831,2,2
1507254321,0,1
1507258169,2,0
1507265872,6,1
1507270246,2,0
1507274121,1,0
1507278073,1,0
1507285746,1,1
1507293418,1,0
1507301102,2,0
1507308768,1,0
1507317603,5,0
1507321493,1,0
1507329212,1,0
1507336883,1,0
1507340696,1,0
1507344601,0,1
1507348405,2,2
1507352224,0,4
1507356300,0,1
1507360135,1,9
1507363993,1,8
1507367822,1,0
1507371675,1,5
1507379419,7,7
1507383229,1,2
1507387023,1,1
1507390890,3,0
1507394756,1,0
1507402400,5,1
1507406208,3,6
1507410112,0,16
1507413893,1,5
1507417768,0,5
1507421653,0,2
1507425481,0,1
1507429312,0,1
1507433182,1,2
1507444664,1,0
1507452372,10,1
1507456234,2,0
1507460009,1,0
1507463869,1,0
1507471539,1,10
1507475364,2,0
1507479222,13,2
1507483065,1,0
1507490992,2,0
1507494839,3,0
1507498712,3,2
1507502535,1,7
1507506574,0,5
1507514295,0,1
1507518197,0,1
1507521939,0,1
1507529620,0,1
1507533459,0,2
1507541162,8,2
1507544986,6,1
1507552643,2,1
1507556739,1,0
1507560594,4,0
1507564468,3,1
1507568268,1,0
1507580455,4,1
1507584361,1,0
1507588207,0,2
1507592084,1,4
1507595946,1,13
1507599694,0,10
1507603531,1,3
1507615045,2,1
1507618934,1,1
1507630713,9,0
1507634577,2,0
1507638419,1,1
1507646058,0,2
1507649923,2,0
1507657540,1,0
1507661648,3,0
1507665468,1,0
1507669393,1,1
1507673158,0,1
1507677254,0,5
1507681068,0,8
1507684952,0,1
1507688818,0,1
1507696480,0,1
1507700320,1,0
1507719476,1,0
1507727172,10,1
1507730992,2,0
1507734850,2,0
1507738675,2,0
1507742580,1,0
1507747296,2,0
1507755192,4,1
1507759028,4,1
1507766730,3,1
1507778483,0,1
1507782547,1,0
1507786425,1,0
1507794079,1,1
1507809409,1,0
1507817343,2,0
1507821169,3,0
1507824990,1,1
1507828902,2,0
1507832724,0,3
1507836617,4,0
1507840427,1,2
1507844272,1,1
1507851923,1,0
1507855756,1,0
1507859586,0,1
1507867341,2,1
1507871132,1,0
1507878887,2,0
1507882657,0,1
1507886519,1,0
1507894199,2,1
1507898106,1,0
1507901946,1,0
1507905732,1,0
1507910252,2,0
1507922076,1,0
1507925895,3,1
1507929818,1,0
1507937378,1,0
1507945166,1,0
1507949413,1,0
1507953455,1,0
1507968795,1,0
1507972686,1,0
1507996150,2,1
1508000059,1,1
1508003880,2,0
1508007937,1,0
1508011800,2,0
1508027133,1,1
1508030967,1,0
1508046329,2,0
1508069359,6,3
1508073427,1,1
1508077245,1,0
1508081091,2,0
1508088783,2,0
1508092602,0,1
1508096453,5,4
1508104163,0,1
1508112158,0,3
1508123574,1,1
1508150475,0,3
1508158187,1,2
1508161985,1,0
1508165832,0,1
1508169658,3,11
1508173517,0,6
1508181208,5,7
1508193186,2,0
1508197052,2,0
1508200831,1,0
1508204695,1,2
1508208603,0,2
1508212511,1,0
1508216320,0,1
1508227790,1,5
1508239358,0,14
1508243156,1,10
1508247038,1,0
1508250852,2,1
1508254746,4,0
1508258617,3,6
1508262386,0,2
1508270094,5,10
1508273875,2,2
1508277791,0,2
1508281573,1,2
1508285419,0,11
1508289259,1,0
1508293080,1,2
1508296999,1,1
1508308516,1,4
1508312584,0,2
1508316385,0,1
1508320267,1,1
1508327885,8,0
1508331763,2,1
1508339673,0,1
1508343503,3,1
1508347341,1,0
1508355028,5,1
1508358826,1,0
1508362749,2,0
1508374198,1,0
1508378050,1,0
1508381857,1,0
1508397176,2,0
1508401043,0,1
1508404926,1,0
1508408702,1,1
1508412551,1,1
1508420250,2,0
1508424111,0,1
1508427902,2,0
1508431768,2,1
1508435602,1,1
1508439463,4,0
1508443279,1,2
1508447114,1,0
1508450943,2,0
1508466803,0,1
1508474703,1,1
1508478569,1,1
1508490102,1,0
1508497766,2,1
1508513108,0,1
1508516976,3,0
1508520818,2,1
1508524997,2,0
1508528782,2,0
1508532570,1,0
1508536431,3,2
1508540277,0,1
1508551773,0,1
1508555615,1,3
1508563356,1,1
1508570875,0,1
1508609381,4,3
1508613375,5,4
1508617060,2,2
1508620904,2,2
1508625007,4,1
1508628865,1,1
1508636521,2,0
1508655941,2,0
1508659855,1,0
1508667455,2,5
1508675132,2,3
1508690514,2,11
1508694315,1,2
1508698186,1,2
1508702091,2,1
1508706322,5,3
1508710141,1,8
1508718104,1,0
1508721969,1,0
1508729608,0,1
1508733457,1,0
1508737531,1,4
1508741515,0,1
1508745316,0,1
1508752978,0,2
