DateTime,Entries,UniqueIPs
1505608033,84,84
1505623424,85,85
1505627187,86,86
1505634840,87,87
1505646426,85,85
1505650243,80,80
1505658014,79,79
1505661905,78,78
1505665662,76,76
1505673266,78,78
1505677343,80,80
1505681160,80,80
1505704519,81,81
1505712128,82,82
1505715977,81,81
1505723720,83,83
1505727615,81,81
1505731455,82,82
1505735288,81,81
1505743053,81,81
1505746785,79,79
1505758601,78,78
1505762297,80,80
1505766107,83,83
1505773792,82,82
1505777576,83,83
1505785526,82,82
1505789575,82,82
1505793314,80,80
1505797219,82,82
1505808652,84,84
1505820189,81,81
1505832418,83,83
1505840212,83,83
1505848077,85,85
1505851814,86,86
1505863387,84,84
1505867315,82,82
1505871182,81,81
1505875058,80,80
1505878836,80,80
1505901908,81,81
1505905744,83,83
1505909539,81,81
1505917098,84,84
1505920998,85,85
1505924875,91,91
1505928827,74,74
1505936437,39,39
1505940263,37,37
1505944186,26,26
1505948193,17,17
1505951940,15,15
1505959677,12,12
1505963472,14,14
1505971156,15,15
1505975270,16,16
1505979163,15,15
1505998273,30,30
1506002252,32,32
1506013911,37,37
1506017639,40,40
1506021407,42,42
1506025512,40,40
1506029639,34,34
1506033427,17,17
1506037270,15,15
1506041094,12,12
1506048820,12,12
1506052657,13,13
1506056483,11,11
1506060294,10,10
1506064142,12,12
1506079510,21,21
1506083355,25,25
1506087217,26,26
1506091041,30,30
1506098707,31,31
1506102540,30,30
1506106274,33,33
1506125489,36,36
1506148704,37,37
1506160343,39,39
1506164145,39,39
1506167989,40,40
1506179730,42,42
1506195130,45,45
1506198965,47,47
1506202733,65,65
1506206684,75,75
1506210441,77,77
1506214443,72,72
1506218240,69,69
1506222146,55,55
1506225968,52,52
1506229771,42,42
1506233812,43,43
1506237957,44,44
1506241791,44,44
1506288077,47,47
1506291929,45,45
1506295799,43,43
1506299621,39,39
1506303585,35,35
1506307309,35,35
1506311154,36,36
1506315024,35,35
1506318832,32,32
1506322730,27,27
1506330384,21,21
1506334248,24,24
1506338015,36,36
1506341845,42,42
1506345696,53,53
1506350297,60,60
1506354112,61,61
1506358007,53,53
1506361814,65,65
1506365645,66,66
1506369507,64,64
1506373435,53,53
1506377148,47,47
1506380993,44,44
1506384906,43,43
1506388674,44,44
1506392534,43,43
1506396394,46,46
1506400339,48,48
1506404038,46,46
1506407887,47,47
1506411717,46,46
1506419505,53,53
1506423265,60,60
1506427160,58,58
1506431077,59,59
1506434920,59,59
1506438676,59,59
1506442491,60,60
1506446313,61,61
