DateTime,AddedIPs,RemovedIPs
1506493981,3,3
1506501181,7,3
1506504781,4,0
1506508381,0,5
1506511982,4,6
1506515581,2,0
1506519181,5,3
1506526382,3,0
1506529981,4,4
1506533581,0,2
1506537181,7,0
1506540781,3,4
1506544381,2,2
1506547982,2,0
1506555181,1,3
1506558781,0,1
1506562381,4,1
1506565981,1,2
1506573181,2,4
1506576781,1,2
1506583981,3,0
1506587581,3,4
1506591181,0,2
1506594781,4,0
1506598381,5,3
1506601981,0,6
1506609181,3,5
1506612781,1,0
1506616381,0,6
1506619981,5,2
1506623581,5,4
1506627181,1,0
1506630781,0,4
1506634381,4,2
1506637981,1,4
1506645181,0,5
1506648781,2,0
1506652381,3,1
1506659581,1,7
1506663181,4,0
1506670382,3,3
1506681182,5,6
1506684781,2,0
1506691981,1,6
1506695581,3,0
1506702781,2,0
1506706381,4,3
1506709981,4,8
1506717181,1,0
1506720781,1,1
1506724381,5,0
1506731581,2,3
1506735181,1,1
1506742381,2,0
1506745981,1,4
1506753181,2,0
1506756782,3,1
1506760382,0,2
1506763981,1,0
1506767581,3,3
1506771181,0,1
1506774782,3,0
1506778381,9,0
1506781981,0,3
1506785581,5,0
1506789181,2,1
1506792781,1,5
1506796381,0,4
1506800426,2,4
1506803581,2,2
1506807181,3,3
1506814381,3,0
1506817981,1,6
1506821581,0,1
1506825181,3,6
1506832381,0,4
1506835982,9,0
1506839581,3,0
1506843181,0,5
1506850381,3,3
1506857581,1,5
1506864781,0,2
1506868381,5,3
1506871981,3,0
1506875581,0,6
1506879181,3,2
1506882781,5,6
1506886381,1,0
1506889982,1,0
1506893581,4,5
1506897181,0,3
1506900781,3,2
1506904381,6,0
1506907981,0,2
1506911581,3,0
1506915181,0,4
1506918781,0,6
1506922382,1,0
1506925981,4,1
1506933181,4,3
1506936781,3,0
1506943981,6,3
1506947581,4,0
1506951181,0,8
1506954782,4,0
1506958381,0,1
1506961981,6,2
1506965581,2,3
1506969181,2,1
1506976381,2,8
1506979981,2,0
1506983581,0,1
1506987181,4,0
1506990782,0,3
1506994381,3,0
1506997981,3,6
1507001581,0,5
1507005182,3,0
1507008781,0,4
1507015982,3,0
1507019581,4,8
1507026781,2,0
1507030381,2,1
1507033981,0,2
1507037581,8,3
1507041181,1,0
1507044781,0,9
1507048381,0,2
1507051981,6,0
1507055581,3,2
1507059181,0,2
1507062781,3,0
1507066381,1,0
1507069981,1,4
1507077181,2,0
1507080781,1,7
1507087981,4,0
1507091582,0,7
1507098781,3,5
1507102381,1,0
1507109582,2,5
1507113181,6,6
1507120381,1,2
1507123981,2,0
1507127581,0,6
1507131181,4,0
1507134781,1,3
1507138381,4,4
1507145581,3,0
1507149181,2,8
1507159981,1,1
1507167181,2,3
1507170782,3,0
1507174381,0,4
