DateTime,AddedIPs,RemovedIPs
1506126781,5,3
1506133981,10,9
1506141181,6,8
1506144781,20,21
1506151981,13,12
1506155581,14,16
1506162781,7,7
1506166381,10,11
1506173581,9,12
1506177181,16,11
1506184381,12,14
1506187981,2,2
1506191581,10,9
1506195181,10,8
1506202381,10,8
1506205981,9,13
1506209581,12,11
1506213181,5,6
1506216781,8,5
1506223981,18,16
1506227581,11,10
1506234781,12,14
1506238381,15,11
1506245581,9,13
1506249181,19,19
1506256381,16,18
1506259982,11,11
1506267181,12,11
1506270781,15,14
1506277981,18,17
1506281581,12,18
1506285181,9,8
1506292381,11,9
1506295981,11,9
1506303181,8,9
1506306781,16,14
1506313981,10,11
1506317581,16,16
1506324781,6,4
1506328381,8,12
1506335581,17,15
1506339181,12,15
1506346381,16,15
1506349981,15,15
1506357181,7,9
1506360781,8,10
1506364381,12,12
1506367981,13,10
1506375182,15,12
1506378781,10,9
1506385981,14,17
1506389581,11,11
1506396781,12,14
1506400381,8,12
1506407581,13,11
1506411181,6,5
1506418381,18,15
1506421981,12,15
1506429181,8,9
1506432781,13,12
1506439981,7,7
1506443581,9,7
1506447181,9,10
1506450781,5,4
1506454381,5,7
1506457981,12,9
1506461581,11,10
1506468781,13,15
1506472381,8,7
1506479581,12,14
1506483181,10,13
1506490381,14,14
1506493981,9,9
1506501181,24,19
1506504781,13,10
1506511982,15,21
1506515581,14,14
1506519181,10,10
1506526382,13,12
1506529981,17,14
1506537181,13,11
1506540781,15,15
1506544381,10,11
1506547982,12,12
1506555181,13,11
1506562381,12,13
1506565981,6,7
1506573181,15,17
1506576781,7,8
1506583981,12,11
1506587581,12,13
1506594781,7,6
1506598381,16,16
1506605581,8,9
1506609181,8,10
1506612781,6,4
1506619981,13,11
1506623581,17,11
1506627181,16,20
1506634381,17,17
1506637981,5,6
1506641581,6,6
1506648781,7,9
1506652381,19,16
1506659581,12,14
1506663181,13,12
1506670382,12,14
1506673982,4,6
1506681182,22,20
1506684781,12,12
1506691981,9,8
1506695581,15,13
1506702781,7,7
1506706381,14,15
1506709981,13,15
1506717181,7,10
1506720781,6,6
1506724381,20,15
1506731581,14,15
1506735181,7,7
1506742381,17,16
1506745981,11,14
1506753181,11,12
1506756782,16,14
1506763981,6,9
1506767581,11,11
1506774782,15,16
1506778381,16,14
1506785581,10,10
1506789181,14,17
1506792781,8,8
1506796381,8,5
1506800426,11,10
1506803581,10,8
1506807181,10,8
1506814381,6,6
1506817981,11,8
1506825181,10,14
1506828781,11,13
1506835982,14,15
1506839581,9,10
1506846782,10,10
1506850381,10,10
1506857581,13,14
1506861181,7,7
1506868381,17,17
1506871981,9,8
1506879181,9,10
1506882781,16,11
